reaction_id,family,source,smiles_r,smiles_p,delta_Ea,charge,multiplicity,n_heavy_atoms,quartile,path_r,path_p,path_ts
dipolar_000387,dipolar,stuyver,[CH3:11][C:12]#[N+:13][CH-:14][CH3:15].[Cl:1][C:2]1([Br:3])[C:4]#[C:5][CH2:6][CH2:7][CH2:8][CH2:9][CH2:10]1,[Cl:1][C:2]1([Br:3])[C:4]2=[C:5]([CH2:6][CH2:7][CH2:8][CH2:9][CH2:10]1)[CH:14]([CH3:15])[N:13]=[C:12]2[CH3:11],8.445662144142863,0,1,15,0,/gpfs/home1/yeseo1ee/projects/eda-asm-prediction/data/raw/dipolar_cycloaddition/extracted/full_dataset_profiles/387/r0_C4H7N.xyz,/gpfs/home1/yeseo1ee/projects/eda-asm-prediction/data/raw/dipolar_cycloaddition/extracted/full_dataset_profiles/387/p0_BrC12ClH17N.xyz,/gpfs/home1/yeseo1ee/projects/eda-asm-prediction/data/raw/dipolar_cycloaddition/extracted/full_dataset_profiles/387/TS_ts_guess_yMb7jI_template_1-6_3-5.xyz
dipolar_000390,dipolar,stuyver,[CH3:11][NH:12][C:13](=[O:14])[C:15]#[N+:16][NH-:17].[N:1]#[C:2][C:3]1=[C:4]([Br:5])[CH:6]2[CH:7]=[CH:8][CH:9]1[O:10]2,[N:1]#[C:2][C:3]1=[C:4]([Br:5])[CH:6]2[CH:7]3[CH:8]([CH:9]1[O:10]2)[C:15]([C:13]([NH:12][CH3:11])=[O:14])=[N:16][NH:17]3,13.214830505606232,0,1,17,0,/gpfs/home1/yeseo1ee/projects/eda-asm-prediction/data/raw/dipolar_cycloaddition/extracted/full_dataset_profiles/390/r0_C3H5N3O.xyz,/gpfs/home1/yeseo1ee/projects/eda-asm-prediction/data/raw/dipolar_cycloaddition/extracted/full_dataset_profiles/390/p0_BrC10H9N4O2.xyz,/gpfs/home1/yeseo1ee/projects/eda-asm-prediction/data/raw/dipolar_cycloaddition/extracted/full_dataset_profiles/390/TS_ts_guess_NN6C_m_template_4-16_6-7.xyz
dipolar_000440,dipolar,stuyver,[CH3:1][O:2][C:3]#[C:4][Cl:5].[CH:6](=[O+:7][N-:8][c:9]1[cH:10][cH:11][cH:12][cH:13][cH:14]1)[c:15]1[cH:16][cH:17][cH:18][cH:19][cH:20]1,[CH3:1][O:2][C:3]1=[C:4]([Cl:5])[CH:6]([c:15]2[cH:16][cH:17][cH:18][cH:19][cH:20]2)[O:7][N:8]1[c:9]1[cH:10][cH:11][cH:12][cH:13][cH:14]1,14.754469248302494,0,1,20,1,/gpfs/home1/yeseo1ee/projects/eda-asm-prediction/data/raw/dipolar_cycloaddition/extracted/full_dataset_profiles/440/r0_C13H11NO_alt.xyz,/gpfs/home1/yeseo1ee/projects/eda-asm-prediction/data/raw/dipolar_cycloaddition/extracted/full_dataset_profiles/440/p0_C16ClH14NO2.xyz,/gpfs/home1/yeseo1ee/projects/eda-asm-prediction/data/raw/dipolar_cycloaddition/extracted/full_dataset_profiles/440/TS_ts_guess_tqbLjC_template_2-13_3-5.xyz
dipolar_000441,dipolar,stuyver,[CH3:1][O:2][C:3]#[C:4][Cl:5].[CH:6](=[O+:7][N-:8][c:9]1[cH:10][cH:11][cH:12][cH:13][cH:14]1)[c:15]1[cH:16][cH:17][cH:18][cH:19][cH:20]1,[CH3:1][O:2][C:3]1=[C:4]([Cl:5])[N:8]([c:9]2[cH:10][cH:11][cH:12][cH:13][cH:14]2)[O:7][CH:6]1[c:15]1[cH:16][cH:17][cH:18][cH:19][cH:20]1,29.60471312701762,0,1,20,3,/gpfs/home1/yeseo1ee/projects/eda-asm-prediction/data/raw/dipolar_cycloaddition/extracted/full_dataset_profiles/441/r0_C13H11NO_alt.xyz,/gpfs/home1/yeseo1ee/projects/eda-asm-prediction/data/raw/dipolar_cycloaddition/extracted/full_dataset_profiles/441/p0_C16ClH14NO2.xyz,/gpfs/home1/yeseo1ee/projects/eda-asm-prediction/data/raw/dipolar_cycloaddition/extracted/full_dataset_profiles/441/TS_ts_guess_BgXIDJ_template_2-13_3-5.xyz
dipolar_000444,dipolar,stuyver,[CH3:14][O:15][C:16](=[O:17])[N-:18][N+:19]#[N:20].[CH3:1][O:2][C:3]1([F:4])[C:5]#[C:6][C:7]([F:8])([F:9])[CH2:10][CH2:11][CH2:12][CH2:13]1,[CH3:1][O:2][C:3]1([F:4])[c:5]2[c:6]([n:20][n:19][n:18]2[C:16]([O:15][CH3:14])=[O:17])[C:7]([F:8])([F:9])[CH2:10][CH2:11][CH2:12][CH2:13]1,30.45547922216556,0,1,20,3,/gpfs/home1/yeseo1ee/projects/eda-asm-prediction/data/raw/dipolar_cycloaddition/extracted/full_dataset_profiles/444/r0_C2H3N3O2.xyz,/gpfs/home1/yeseo1ee/projects/eda-asm-prediction/data/raw/dipolar_cycloaddition/extracted/full_dataset_profiles/444/p0_C11F3H14N3O3.xyz,/gpfs/home1/yeseo1ee/projects/eda-asm-prediction/data/raw/dipolar_cycloaddition/extracted/full_dataset_profiles/444/TS_ts_guess_06aeTc_template_4-8_6-7.xyz
dipolar_000461,dipolar,stuyver,[CH3:1][O:2][C:3]([C:4]#[N:5])=[C:6]([O:7][CH3:8])[O:9][CH3:10].[N:11]#[C:12][N-:13][O+:14]=[CH:15][c:16]1[cH:17][cH:18][cH:19][cH:20][cH:21]1,[CH3:1][O:2][C:3]1([C:4]#[N:5])[C:6]([O:7][CH3:8])([O:9][CH3:10])[CH:15]([c:16]2[cH:17][cH:18][cH:19][cH:20][cH:21]2)[O:14][N:13]1[C:12]#[N:11],23.02005576818364,0,1,21,2,/gpfs/home1/yeseo1ee/projects/eda-asm-prediction/data/raw/dipolar_cycloaddition/extracted/full_dataset_profiles/461/r0_C6H9NO3.xyz,/gpfs/home1/yeseo1ee/projects/eda-asm-prediction/data/raw/dipolar_cycloaddition/extracted/full_dataset_profiles/461/p0_C14H15N3O4.xyz,/gpfs/home1/yeseo1ee/projects/eda-asm-prediction/data/raw/dipolar_cycloaddition/extracted/full_dataset_profiles/461/TS_ts_guess_6nldQy_template_2-5_13-16.xyz
dipolar_000531,dipolar,stuyver,[CH3:1][O:2][C:3](=[O:4])[C:5]1=[CH:6][CH:7]2[CH2:8][CH2:9][CH:10]1[CH2:11]2.[N:12]#[C:13][N-:14][N+:15]#[C:16][c:17]1[cH:18][cH:19][cH:20][cH:21][cH:22]1,[CH3:1][O:2][C:3](=[O:4])[C:5]12[CH:6]([CH:7]3[CH2:8][CH2:9][CH:10]1[CH2:11]3)[N:14]([C:13]#[N:12])[N:15]=[C:16]2[c:17]1[cH:18][cH:19][cH:20][cH:21][cH:22]1,13.224687929067164,0,1,22,0,/gpfs/home1/yeseo1ee/projects/eda-asm-prediction/data/raw/dipolar_cycloaddition/extracted/full_dataset_profiles/531/r0_C9H12O2.xyz,/gpfs/home1/yeseo1ee/projects/eda-asm-prediction/data/raw/dipolar_cycloaddition/extracted/full_dataset_profiles/531/p0_C17H17N3O2.xyz,/gpfs/home1/yeseo1ee/projects/eda-asm-prediction/data/raw/dipolar_cycloaddition/extracted/full_dataset_profiles/531/TS_ts_guess_6zTafr_template_4-5_13-16.xyz
dipolar_000547,dipolar,stuyver,[CH3:19][C:20]#[N+:21][NH-:22].[CH3:1][NH:2][C:3](=[O:4])[C:5]1([C:6]#[N:7])[C:8]#[C:9][C:10]([C:11]#[N:12])([C:13]#[N:14])[CH2:15][CH2:16][CH2:17][CH2:18]1,[CH3:1][NH:2][C:3](=[O:4])[C:5]1([C:6]#[N:7])[c:8]2[c:9]([c:20]([CH3:19])[n:21][nH:22]2)[C:10]([C:11]#[N:12])([C:13]#[N:14])[CH2:15][CH2:16][CH2:17][CH2:18]1,6.71686643498023,0,1,22,0,/gpfs/home1/yeseo1ee/projects/eda-asm-prediction/data/raw/dipolar_cycloaddition/extracted/full_dataset_profiles/547/r0_C2H4N2.xyz,/gpfs/home1/yeseo1ee/projects/eda-asm-prediction/data/raw/dipolar_cycloaddition/extracted/full_dataset_profiles/547/p0_C15H16N6O.xyz,/gpfs/home1/yeseo1ee/projects/eda-asm-prediction/data/raw/dipolar_cycloaddition/extracted/full_dataset_profiles/547/TS_ts_guess_-xsLM__template_16-17_20-21.xyz
dipolar_000588,dipolar,stuyver,[CH2:15]=[O+:16][CH-:17][C:18](=[O:19])[NH:20][CH3:21].[CH3:1][O:2][C:3]1([O:4][CH3:5])[C:6]#[C:7][CH:8]([C:9]#[N:10])[CH2:11][CH2:12][CH2:13][CH2:14]1,[CH3:1][O:2][C:3]1([O:4][CH3:5])[C:6]2=[C:7]([CH:8]([C:9]#[N:10])[CH2:11][CH2:12][CH2:13][CH2:14]1)[CH:17]([C:18](=[O:19])[NH:20][CH3:21])[O:16][CH2:15]2,0.7269610756919094,0,1,21,0,/gpfs/home1/yeseo1ee/projects/eda-asm-prediction/data/raw/dipolar_cycloaddition/extracted/full_dataset_profiles/588/r0_C4H7NO2_alt.xyz,/gpfs/home1/yeseo1ee/projects/eda-asm-prediction/data/raw/dipolar_cycloaddition/extracted/full_dataset_profiles/588/p0_C15H22N2O4.xyz,/gpfs/home1/yeseo1ee/projects/eda-asm-prediction/data/raw/dipolar_cycloaddition/extracted/full_dataset_profiles/588/TS_ts_guess_h_QtIX_template_4-8_6-7.xyz
dipolar_000597,dipolar,stuyver,[CH3:11][NH:12][C:13](=[O:14])[C-:15]([C:16]#[N:17])[NH+:18]=[C:19]([CH3:20])[C:21]#[N:22].[CH3:1][C:2](=[O:3])[C:4]1=[CH:5][CH:6]2[CH2:7][CH2:8][CH:9]1[CH2:10]2,[CH3:1][C:2](=[O:3])[C:4]12[CH:5]([CH:6]3[CH2:7][CH2:8][CH:9]1[CH2:10]3)[C:19]([CH3:20])([C:21]#[N:22])[NH:18][C:15]2([C:13]([NH:12][CH3:11])=[O:14])[C:16]#[N:17],17.105290910930133,0,1,22,1,/gpfs/home1/yeseo1ee/projects/eda-asm-prediction/data/raw/dipolar_cycloaddition/extracted/full_dataset_profiles/597/r0_C9H12O.xyz,/gpfs/home1/yeseo1ee/projects/eda-asm-prediction/data/raw/dipolar_cycloaddition/extracted/full_dataset_profiles/597/p0_C16H20N4O2.xyz,/gpfs/home1/yeseo1ee/projects/eda-asm-prediction/data/raw/dipolar_cycloaddition/extracted/full_dataset_profiles/597/TS_ts_guess_U_ptLJ_template_4-18_8-12.xyz
dipolar_000606,dipolar,stuyver,[CH3:1][C:2](=[O:3])[C:4]#[C:5][c:6]1[cH:7][cH:8][cH:9][cH:10][cH:11]1.[O:12]=[c:13]1[n-:14][nH+:15][c:16](-[c:17]2[cH:18][cH:19][cH:20][cH:21][cH:22]2)[o:23]1,[CH3:1][C:2](=[O:3])[C:4]1=[C:5]([c:6]2[cH:7][cH:8][cH:9][cH:10][cH:11]2)[N:14]2[C:13](=[O:12])[O:23][C:16]1([c:17]1[cH:18][cH:19][cH:20][cH:21][cH:22]1)[NH:15]2,36.19623287058406,0,1,23,3,/gpfs/home1/yeseo1ee/projects/eda-asm-prediction/data/raw/dipolar_cycloaddition/extracted/full_dataset_profiles/606/r0_C10H8O.xyz,/gpfs/home1/yeseo1ee/projects/eda-asm-prediction/data/raw/dipolar_cycloaddition/extracted/full_dataset_profiles/606/p0_C18H14N2O3.xyz,/gpfs/home1/yeseo1ee/projects/eda-asm-prediction/data/raw/dipolar_cycloaddition/extracted/full_dataset_profiles/606/TS_ts_guess_CjORnx_template_3-13_4-11.xyz
dipolar_000611,dipolar,stuyver,[CH3:13][N-:14][O+:15]=[CH:16][C:17](=[O:18])[O:19][CH3:20].[F:1][C:2]([F:3])([F:4])[C:5]1=[C:6]([Cl:7])[CH:8]2[CH:9]=[CH:10][CH:11]1[O:12]2,[F:1][C:2]([F:3])([F:4])[C:5]1=[C:6]([Cl:7])[CH:8]2[CH:9]3[CH:10]([CH:11]1[O:12]2)[CH:16]([C:17](=[O:18])[O:19][CH3:20])[O:15][N:14]3[CH3:13],14.076020933863726,0,1,20,1,/gpfs/home1/yeseo1ee/projects/eda-asm-prediction/data/raw/dipolar_cycloaddition/extracted/full_dataset_profiles/611/r0_C4H7NO3.xyz,/gpfs/home1/yeseo1ee/projects/eda-asm-prediction/data/raw/dipolar_cycloaddition/extracted/full_dataset_profiles/611/p0_C11ClF3H11NO4.xyz,/gpfs/home1/yeseo1ee/projects/eda-asm-prediction/data/raw/dipolar_cycloaddition/extracted/full_dataset_profiles/611/TS_ts_guess_o1yl-l_template_4-19_6-8.xyz
dipolar_000634,dipolar,stuyver,[CH3:10][C:11](=[O+:12][N-:13][C:14]#[N:15])[c:16]1[cH:17][cH:18][cH:19][cH:20][cH:21]1.[Cl:1][CH:2]1[C:3]#[C:4][CH2:5][CH2:6][CH2:7][CH2:8][CH2:9]1,[Cl:1][CH:2]1[C:3]2=[C:4]([CH2:5][CH2:6][CH2:7][CH2:8][CH2:9]1)[N:13]([C:14]#[N:15])[O:12][C:11]2([CH3:10])[c:16]1[cH:17][cH:18][cH:19][cH:20][cH:21]1,9.69724180582848,0,1,21,0,/gpfs/home1/yeseo1ee/projects/eda-asm-prediction/data/raw/dipolar_cycloaddition/extracted/full_dataset_profiles/634/r0_C9H8N2O.xyz,/gpfs/home1/yeseo1ee/projects/eda-asm-prediction/data/raw/dipolar_cycloaddition/extracted/full_dataset_profiles/634/p0_C17ClH19N2O.xyz,/gpfs/home1/yeseo1ee/projects/eda-asm-prediction/data/raw/dipolar_cycloaddition/extracted/full_dataset_profiles/634/TS_ts_guess_oahvaK_template_1-13_9-12.xyz
dipolar_000635,dipolar,stuyver,[CH3:11][NH:12][C:13](=[O:14])[C:15]([C:16]#[N:17])=[N+:18]([CH3:19])[CH-:20][C:21]#[N:22].[CH3:1][NH:2][C:3](=[O:4])[C:5]#[C:6][C:7]([F:8])([F:9])[F:10],[CH3:1][NH:2][C:3](=[O:4])[C:5]1=[C:6]([C:7]([F:8])([F:9])[F:10])[CH:20]([C:21]#[N:22])[N:18]([CH3:19])[C:15]1([C:13]([NH:12][CH3:11])=[O:14])[C:16]#[N:17],15.81625220623332,0,1,22,1,/gpfs/home1/yeseo1ee/projects/eda-asm-prediction/data/raw/dipolar_cycloaddition/extracted/full_dataset_profiles/635/r0_C5F3H4NO.xyz,/gpfs/home1/yeseo1ee/projects/eda-asm-prediction/data/raw/dipolar_cycloaddition/extracted/full_dataset_profiles/635/p0_C12F3H12N5O2.xyz,/gpfs/home1/yeseo1ee/projects/eda-asm-prediction/data/raw/dipolar_cycloaddition/extracted/full_dataset_profiles/635/TS_ts_guess_hpvA2c_template_4-15_5-10.xyz
dipolar_000637,dipolar,stuyver,[CH3:1][O:2][C:3](=[O:4])[C:5]#[C:6][Br:7].[CH3:8][NH:9][C:10](=[O:11])[CH:12]=[O+:13][N-:14][C:15](=[O:16])[NH:17][CH3:18],[CH3:1][O:2][C:3](=[O:4])[C:5]1=[C:6]([Br:7])[N:14]([C:15](=[O:16])[NH:17][CH3:18])[O:13][CH:12]1[C:10]([NH:9][CH3:8])=[O:11],13.229554912774177,0,1,18,0,/gpfs/home1/yeseo1ee/projects/eda-asm-prediction/data/raw/dipolar_cycloaddition/extracted/full_dataset_profiles/637/r0_C5H9N3O3_alt.xyz,/gpfs/home1/yeseo1ee/projects/eda-asm-prediction/data/raw/dipolar_cycloaddition/extracted/full_dataset_profiles/637/p0_BrC9H12N3O5.xyz,/gpfs/home1/yeseo1ee/projects/eda-asm-prediction/data/raw/dipolar_cycloaddition/extracted/full_dataset_profiles/637/TS_LUGOp-_hl_ad_4-13_6-11.xyz
