reaction_id,source,n_atoms_max,n_heavy_atoms,atomic_numbers,n_snapshots,frame_index_first,frame_index_last,ts_frame_idx,ts_position_in_sorted,energy_R,energy_TS,energy_P,activation_energy,ea_relative_to_P,total_charge,formula,source_db_idx,short_traj,interior_ts
T1x_C3H4O2_rxn00744,T1x,9,5,[8 6 6 8 6 1 1 1 1],314,0,313,4,4,-1402.9188380710639,-1399.4311716751913,-1401.3550590150783,3.4876663958725658,1.92388733988696,0.0,C3H4O2,1,False,True
T1x_C3H4O2_rxn00746,T1x,9,5,[6 6 8 6 8 1 1 1 1],2274,0,2273,6,6,-1403.754846168436,-1400.392767697297,-1403.1636895599352,3.362078471139057,2.770921862638261,0.0,C3H4O2,1,False,True
T1x_C3H4O2_rxn00749,T1x,9,5,[6 6 8 6 8 1 1 1 1],1354,0,1353,6,6,-1403.754846168436,-1399.3543278112554,-1402.3888638161843,4.400518357180545,3.0345360049288956,0.0,C3H4O2,1,False,True
T1x_C3H4O2_rxn00750,T1x,9,5,[8 6 6 6 8 1 1 1 1],546,0,545,5,5,-1403.991262283452,-1399.4485654897965,-1402.4853320107861,4.542696793655523,3.0367665209896586,0.0,C3H4O2,1,False,True
T1x_C3H4O2_rxn00752,T1x,9,5,[8 6 6 6 8 1 1 1 1],410,0,409,5,5,-1403.991262283452,-1401.0518113616938,-1402.35176965177,2.93945092175818,1.2999582900761197,0.0,C3H4O2,1,False,True
T1x_C3H4O2_rxn00756,T1x,9,5,[8 6 6 6 8 1 1 1 1],914,0,913,5,5,-1403.991262283452,-1399.850598122291,-1403.60067265569,4.140664161160885,3.7500745333989016,0.0,C3H4O2,1,False,True
T1x_C3H4O3_rxn00797,T1x,10,6,[8 6 6 8 6 8 1 1 1 1],1298,0,1297,6,6,-1841.1293081485805,-1836.8316884690444,-1839.1307960701595,4.297619679536183,2.299107601115111,0.0,C3H4O3,1,False,True
T1x_C3H4O3_rxn00802,T1x,10,6,[8 6 8 6 6 8 1 1 1 1],1130,0,1129,310,310,-1841.5642991489972,-1835.9134591399734,-1837.888786927512,5.650840009023796,1.9753277875386175,0.0,C3H4O3,1,False,True
T1x_C3H5N3_rxn00872,T1x,11,6,[6 7 6 7 6 7 1 1 1 1 1],394,0,393,5,5,-1358.792914335897,-1355.7450431864538,-1356.8868105936922,3.0478711494431536,1.141767407238376,0.0,C3H5N3,1,False,True
T1x_C3H5N3_rxn00903,T1x,11,6,[6 7 7 6 6 7 1 1 1 1 1],530,0,529,5,5,-1358.7867493504837,-1354.657123572827,-1355.4054491331076,4.129625777656656,0.7483255602805912,0.0,C3H5N3,1,False,True
T1x_C3H5NO_rxn01034,T1x,10,5,[6 6 8 6 7 1 1 1 1 1],434,0,433,5,5,-1254.217959599931,-1249.0528271968412,-1252.6699837239742,5.1651324030897285,3.61715652713292,0.0,C3H5NO,1,False,True
T1x_C3H5NO_rxn01041,T1x,10,5,[8 6 6 6 7 1 1 1 1 1],450,0,449,5,5,-1253.446304672515,-1249.2306957976964,-1253.9029259004421,4.215608874818599,4.672230102745743,0.0,C3H5NO,1,False,True
T1x_C3H5NO_rxn01048,T1x,10,5,[8 6 6 6 7 1 1 1 1 1],290,0,289,6,6,-1253.446304672515,-1249.2217319336353,-1252.46296081205,4.224572738879715,3.2412288784146313,0.0,C3H5NO,1,False,True
T1x_C3H5NO_rxn01059,T1x,10,5,[6 6 7 6 8 1 1 1 1 1],394,0,393,6,6,-1254.3094419135246,-1249.3741590709199,-1251.827533376839,4.935282842604693,2.4533743059191693,0.0,C3H5NO,1,False,True
T1x_C3H5NO_rxn01064,T1x,10,5,[6 6 7 6 8 1 1 1 1 1],210,0,209,5,5,-1254.3094419135246,-1250.5399868520224,-1250.9073665536537,3.7694550615021853,0.3673797016313074,0.0,C3H5NO,1,False,True
T1x_C3H5NO2_rxn01106,T1x,11,6,[7 6 8 6 6 8 1 1 1 1 1],3714,0,3713,7,7,-1690.9350904096996,-1686.446613901965,-1691.1122295391745,4.488476507734504,4.665615637209385,0.0,C3H5NO2,1,False,True
T1x_C3H5NO2_rxn01187,T1x,11,6,[6 7 6 8 6 8 1 1 1 1 1],2714,0,2713,6,6,-1691.8373473154859,-1686.9296639410534,-1691.4880490548787,4.907683374432509,4.558385113825352,0.0,C3H5NO2,1,False,True
T1x_C3H6N2_rxn01252,T1x,11,5,[6 6 7 6 7 1 1 1 1 1 1],1386,0,1385,5,5,-1104.9542862158826,-1101.4292069844687,-1104.2089142160678,3.5250792314138835,2.7797072315991045,0.0,C3H6N2,1,False,True
T1x_C3H6N2_rxn01253,T1x,11,5,[6 6 7 6 7 1 1 1 1 1 1],402,0,401,6,6,-1104.9542862104947,-1100.401561956952,-1103.5920041539448,4.552724253542692,3.1904421969927625,0.0,C3H6N2,1,False,True
T1x_C3H6N2O_rxn01277,T1x,12,6,[7 6 8 6 6 7 1 1 1 1 1 1],554,0,553,4,4,-1542.0068718745779,-1538.650863207206,-1539.7127625290939,3.3560086673719525,1.0618993218879496,0.0,C3H6N2O,1,False,True
T1x_C3H6O2_rxn01405,T1x,11,5,[6 6 8 6 8 1 1 1 1 1 1],554,0,553,5,5,-1437.131841165116,-1432.6315872630826,-1435.6982152837434,4.500253902033364,3.0666280206608008,0.0,C3H6O2,1,False,True
T1x_C3H6O2_rxn01412,T1x,11,5,[8 6 6 6 8 1 1 1 1 1 1],354,0,353,5,5,-1436.1777760676466,-1432.667685342548,-1436.9962389136895,3.5100907250985074,4.328553571141356,0.0,C3H6O2,1,False,True
T1x_C3H6O2_rxn01416,T1x,11,5,[6 6 8 6 8 1 1 1 1 1 1],330,0,329,6,6,-1437.3615616323095,-1433.9925426969164,-1436.7776506161372,3.3690189353931146,2.7851079192207635,0.0,C3H6O2,1,False,True
T1x_C3H6O2_rxn01423,T1x,11,5,[8 6 6 8 6 1 1 1 1 1 1],682,0,681,6,6,-1436.0829750292226,-1431.8575034786977,-1433.8177527792689,4.225471550524844,1.9602493005711494,0.0,C3H6O2,1,False,True
T1x_C3H6O2_rxn01433,T1x,11,5,[8 6 6 6 8 1 1 1 1 1 1],218,0,217,5,5,-1436.0656026185766,-1432.7645130317774,-1433.2375964879104,3.3010895867992076,0.4730834561330539,0.0,C3H6O2,1,False,True
T1x_C3H6O2_rxn01446,T1x,11,5,[8 6 6 6 8 1 1 1 1 1 1],2546,0,2545,4,4,-1436.0656026185766,-1422.048154581785,-1434.7199035849767,14.01744803679162,12.671749003191735,0.0,C3H6O2,1,False,True
T1x_C3H6O3_rxn01460,T1x,12,6,[8 6 6 8 6 8 1 1 1 1 1 1],442,0,441,5,5,-1874.3139772819795,-1871.8774665519102,-1874.5730820362637,2.436510730069358,2.6956154843535387,0.0,C3H6O3,1,False,True
T1x_C3H6O3_rxn01461,T1x,12,6,[8 6 6 8 6 8 1 1 1 1 1 1],1578,0,1577,7,7,-1872.9754846839046,-1868.5068442087254,-1870.986905848885,4.4686404751792,2.480061640159647,0.0,C3H6O3,1,False,True
T1x_C3H6O3_rxn01473,T1x,12,6,[8 6 6 8 6 8 1 1 1 1 1 1],3498,0,3497,2,2,-1874.3139772650811,-1865.8409879386195,-1875.0903552454492,8.47298932646163,9.249367306829754,0.0,C3H6O3,1,False,True
T1x_C3H7NO_rxn01503,T1x,12,5,[6 6 6 8 7 1 1 1 1 1 1 1],1026,0,1025,6,6,-1288.76848787248,-1284.8852207212487,-1286.8109645418926,3.8832671512311663,1.925743820643902,0.0,C3H7NO,1,False,True
T1x_C3H7NO_rxn01507,T1x,12,5,[6 6 6 8 7 1 1 1 1 1 1 1],1610,0,1609,5,5,-1288.76848787248,-1283.4242289943784,-1286.87118197816,5.344258878101527,3.446952983781557,0.0,C3H7NO,1,False,True
T1x_C3H7NO_rxn01508,T1x,12,5,[6 6 6 8 7 1 1 1 1 1 1 1],634,0,633,5,5,-1288.76848787248,-1285.5336929479201,-1287.4915627245134,3.2347949245597647,1.9578697765932702,0.0,C3H7NO,1,False,True
T1x_C3H7NO_rxn01519,T1x,12,5,[6 7 6 8 6 1 1 1 1 1 1 1],2298,0,2297,6,6,-1288.5508610810348,-1283.730404045814,-1284.8684264201179,4.82045703522067,1.1380223743037732,0.0,C3H7NO,1,False,True
T1x_C3H7NO_rxn01520,T1x,12,5,[6 7 6 8 6 1 1 1 1 1 1 1],442,0,441,5,5,-1288.5508610852798,-1285.5264570666277,-1287.2559903914478,3.024404018652149,1.7295333248200677,0.0,C3H7NO,1,False,True
T1x_C3H7NO2_rxn01542,T1x,13,6,[8 6 6 8 6 7 1 1 1 1 1 1 1],1250,0,1249,6,6,-1724.4237063726923,-1721.7866894782437,-1725.0762752005214,2.6370168944486068,3.2895857222777067,0.0,C3H7NO2,1,False,True
T1x_C3H8N2O_rxn01612,T1x,14,6,[6 7 6 6 8 7 1 1 1 1 1 1 1 1],1890,0,1889,7,7,-1576.167400805975,-1569.2174472640274,-1574.5813326998018,6.94995354194748,5.363885435774364,0.0,C3H8N2O,1,False,True
T1x_C3H8O2_rxn01632,T1x,13,5,[6 8 6 6 8 1 1 1 1 1 1 1 1],970,0,969,5,5,-1469.9087387834281,-1464.9690821833997,-1469.1572752491054,4.9396566000284565,4.188193065705718,0.0,C3H8O2,1,False,True
T1x_C3H8O2_rxn01644,T1x,13,5,[6 6 8 6 8 1 1 1 1 1 1 1 1],770,0,769,5,5,-1470.4452475835137,-1465.25487921256,-1468.7821577380168,5.19036837095382,3.52727852545695,0.0,C3H8O2,1,False,True
T1x_C3H8O2_rxn01645,T1x,13,5,[6 6 8 6 8 1 1 1 1 1 1 1 1],1258,0,1257,4,4,-1470.4452475835137,-1466.613676342712,-1470.2897180441355,3.8315712408016225,3.676041701423401,0.0,C3H8O2,1,False,True
T1x_C3H8O2_rxn01649,T1x,13,5,[6 6 8 6 8 1 1 1 1 1 1 1 1],1530,0,1529,4,4,-1470.4452475813098,-1459.0018214924185,-1469.9097897762465,11.443426088891329,10.90796828382804,0.0,C3H8O2,1,False,True
T1x_C4H10O_rxn01678,T1x,15,5,[6 6 6 6 8 1 1 1 1 1 1 1 1 1 1],1306,0,1305,5,5,-1221.6645130810396,-1215.7138168813742,-1217.3150852518347,5.9506961996653445,1.6012683704605024,0.0,C4H10O,1,False,True
T1x_C4H10O_rxn01679,T1x,15,5,[6 6 6 6 8 1 1 1 1 1 1 1 1 1 1],474,0,473,5,5,-1221.6645130810396,-1217.5925489731032,-1221.1680734307458,4.07196410793631,3.5755244576425866,0.0,C4H10O,1,False,True
T1x_C4H10O_rxn01682,T1x,15,5,[6 6 6 8 6 1 1 1 1 1 1 1 1 1 1],1522,0,1521,6,6,-1221.138415835378,-1214.102374633742,-1219.3648475581556,7.036041201635953,5.262472924413487,0.0,C4H10O,1,False,True
T1x_C4H10O_rxn01689,T1x,15,5,[6 6 6 6 8 1 1 1 1 1 1 1 1 1 1],2114,0,2113,3,3,-1221.8011885281426,-1213.2271384925066,-1220.9495359061025,8.574050035635992,7.7223974135959,0.0,C4H10O,1,False,True
T1x_C4H10O_rxn01690,T1x,15,5,[6 6 6 6 8 1 1 1 1 1 1 1 1 1 1],3170,0,3169,4,4,-1221.6645130810668,-1203.6318094256837,-1219.3067948929277,18.032703655383102,15.674985467243914,0.0,C4H10O,1,False,True
T1x_C4H3N_rxn01795,T1x,8,5,[6 6 6 6 7 1 1 1],1170,0,1169,6,6,-936.937088201369,-933.2283075409125,-934.3301472931854,3.708780660456455,1.1018397522728947,0.0,C4H3N,1,False,True
T1x_C4H3N_rxn01796,T1x,8,5,[6 6 6 6 7 1 1 1],346,0,345,5,5,-936.937088201369,-932.1100605796522,-933.726998928284,4.827027621716752,1.6169383486318338,0.0,C4H3N,1,False,True
T1x_C4H3NO2_rxn01848,T1x,10,7,[8 6 6 7 6 6 8 1 1 1],1458,0,1457,3,3,-1812.5851246506716,-1804.805294293232,-1809.420795114549,7.77983035743955,4.615500821317028,0.0,C4H3NO2,1,False,True
T1x_C4H4N2_rxn01859,T1x,10,6,[6 6 7 6 6 7 1 1 1 1],146,0,145,5,5,-1226.5533361787561,-1222.4416582431977,-1224.3994335274638,4.1116779355584185,1.957775284266063,0.0,C4H4N2,1,False,True
T1x_C4H4O_rxn01957,T1x,9,5,[6 6 6 6 8 1 1 1 1],634,0,633,6,6,-1118.761302668411,-1115.106270687222,-1117.1104013708064,3.6550319811890404,2.0041306835844352,0.0,C4H4O,1,False,True
T1x_C4H4O_rxn01962,T1x,9,5,[6 6 6 6 8 1 1 1 1],506,0,505,5,5,-1118.761302668411,-1114.9943883411786,-1116.3556873674147,3.766914327232371,1.3612990262361109,0.0,C4H4O,1,False,True
T1x_C4H4O_rxn01963,T1x,9,5,[8 6 6 6 6 1 1 1 1],394,0,393,6,6,-1121.373837125813,-1116.8003773812277,-1119.623961397143,4.573459744585307,2.8235840159152303,0.0,C4H4O,1,False,True
T1x_C4H4O_rxn01964,T1x,9,5,[8 6 6 6 6 1 1 1 1],330,0,329,4,4,-1121.373837125813,-1114.888884629739,-1118.8916657170432,6.484952496073902,4.002781087304129,0.0,C4H4O,1,False,True
T1x_C4H4O2_rxn02000,T1x,10,6,[8 6 6 8 6 6 1 1 1 1],1290,0,1289,4,4,-1556.4845188128736,-1551.4003383067889,-1556.0299607014315,5.084180506084749,4.629622394642638,0.0,C4H4O2,2,False,True
T1x_C4H5N3_rxn02130,T1x,12,7,[6 7 6 6 7 6 7 1 1 1 1 1],626,0,625,4,4,-1512.8714345016942,-1509.1847812076826,-1510.0361274112574,3.6866532940116485,0.8513462035748489,0.0,C4H5N3,2,False,True
T1x_C4H5NO_rxn02452,T1x,11,6,[6 6 7 8 6 6 1 1 1 1 1],1290,0,1289,4,4,-1408.2492381016903,-1402.4402398873835,-1404.4879098715658,5.808998214306712,2.047669984182221,0.0,C4H5NO,2,False,True
T1x_C4H5NO_rxn02463,T1x,11,6,[6 6 6 8 6 7 1 1 1 1 1],3178,0,3177,3,3,-1408.8772671513611,-1397.2144362528848,-1407.0812628383844,11.662830898476386,9.866826585499666,0.0,C4H5NO,2,False,True
T1x_C4H5NO2_rxn02614,T1x,12,7,[7 6 6 6 8 6 8 1 1 1 1 1],3730,0,3729,4,4,-1845.790254346942,-1838.3821255904318,-1844.015057375312,7.408128756510223,5.632931784880157,0.0,C4H5NO2,2,False,True
T1x_C4H6N2_rxn02631,T1x,12,6,[7 6 6 6 6 7 1 1 1 1 1 1],1018,0,1017,7,7,-1258.7068046379154,-1253.4114350055743,-1255.7666670632534,5.295369632341135,2.3552320576791317,0.0,C4H6N2,2,False,True
T1x_C4H6N2_rxn02650,T1x,12,6,[7 6 6 6 6 7 1 1 1 1 1 1],298,0,297,5,5,-1260.0173902288695,-1255.8657463935315,-1256.2017108365335,4.151643835338064,0.33596444300201256,0.0,C4H6N2,2,False,True
T1x_C4H6N2_rxn02683,T1x,12,6,[7 6 6 6 6 7 1 1 1 1 1 1],570,0,569,5,5,-1259.0037447521568,-1254.181291347668,-1257.1912134701613,4.8224534044886695,3.009922122493208,0.0,C4H6N2,2,False,True
T1x_C4H6N2_rxn02752,T1x,12,6,[7 6 6 7 6 6 1 1 1 1 1 1],274,0,273,5,5,-1259.8820196837014,-1255.9420039473114,-1256.5418357298163,3.9400157363900234,0.5998317825049071,0.0,C4H6N2,2,False,True
T1x_C4H6N2O_rxn02785,T1x,13,7,[6 6 6 7 6 7 8 1 1 1 1 1 1],1362,0,1361,5,5,-1697.246915422285,-1693.7873679939307,-1694.878178305803,3.459547428354199,1.0908103118722465,0.0,C4H6N2O,2,False,True
T1x_C4H6N2O_rxn02813,T1x,13,7,[7 6 8 6 6 6 7 1 1 1 1 1 1],258,0,257,5,5,-1695.1467190693156,-1692.0415777254238,-1692.7775871167107,3.1051413438917734,0.7360093912868706,0.0,C4H6N2O,2,False,True
T1x_C4H6N2O_rxn02877,T1x,13,7,[6 6 7 6 6 8 7 1 1 1 1 1 1],394,0,393,4,4,-1697.1695575301515,-1693.7108005809962,-1694.346876973804,3.4587569491552586,0.6360763928078086,0.0,C4H6N2O,2,False,True
T1x_C4H6N2O_rxn02916,T1x,13,7,[6 6 6 7 6 8 7 1 1 1 1 1 1],298,0,297,6,6,-1697.4986833368991,-1692.6796240960196,-1695.3318224565041,4.8190592408795965,2.65219836048459,0.0,C4H6N2O,2,False,True
T1x_C4H6N2O_rxn02946,T1x,13,7,[7 6 6 8 6 6 7 1 1 1 1 1 1],810,0,809,5,5,-1696.775688208782,-1689.5045181955634,-1694.2883758405528,7.27117001321858,4.783857644989439,0.0,C4H6N2O,2,False,True
T1x_C4H6O_rxn02981,T1x,11,5,[8 6 6 6 6 1 1 1 1 1 1],1482,0,1481,6,6,-1153.1932401808454,-1149.6337885269775,-1153.2725149444816,3.5594516538678818,3.638726417504131,0.0,C4H6O,2,False,True
T1x_C4H6O_rxn02982,T1x,11,5,[8 6 6 6 6 1 1 1 1 1 1],402,0,401,7,7,-1153.1932401808454,-1150.3746428053266,-1151.25296057845,2.8185973755187206,0.8783177731233991,0.0,C4H6O,2,False,True
T1x_C4H6O_rxn02990,T1x,11,5,[6 6 6 8 6 1 1 1 1 1 1],266,0,265,5,5,-1152.9978722960388,-1149.5332254962573,-1150.4644547760167,3.464646799781576,0.9312292797594637,0.0,C4H6O,2,False,True
T1x_C4H6O_rxn03016,T1x,11,5,[6 6 6 8 6 1 1 1 1 1 1],234,0,233,4,4,-1153.2137872552169,-1150.3219234733085,-1152.6539256125968,2.8918637819083415,2.3320021392883064,0.0,C4H6O,2,False,True
T1x_C4H6O2_rxn03022,T1x,12,6,[8 6 6 8 6 6 1 1 1 1 1 1],442,0,441,5,5,-1589.8787634533921,-1586.5699045707318,-1588.0199921021772,3.308858882660388,1.4500875314454333,0.0,C4H6O2,2,False,True
T1x_C4H6O2_rxn03266,T1x,12,6,[8 6 6 6 6 8 1 1 1 1 1 1],1090,0,1089,5,5,-1590.987871918365,-1587.147706079657,-1589.2898409672496,3.840165838708117,2.142134887592647,0.0,C4H6O2,2,False,True
T1x_C4H6O2_rxn03276,T1x,12,6,[6 6 6 8 6 8 1 1 1 1 1 1],258,0,257,5,5,-1590.9080475428818,-1587.515014901233,-1587.888718605386,3.393032641648915,0.3737037041530584,0.0,C4H6O2,2,False,True
T1x_C4H6O2_rxn03313,T1x,12,6,[6 6 8 6 6 8 1 1 1 1 1 1],3730,0,3729,5,5,-1591.9301470293035,-1585.6169204946073,-1588.9763270628544,6.313226534696241,3.3594065682470955,0.0,C4H6O2,2,False,True
T1x_C4H6O3_rxn03337,T1x,13,7,[6 6 8 6 8 6 8 1 1 1 1 1 1],2490,0,2489,4,4,-2028.5967413417998,-2018.2095430816923,-2027.1660867005116,10.387198260107425,8.956543618819296,0.0,C4H6O3,2,False,True
T1x_C4H6O3_rxn03352,T1x,13,7,[6 8 6 8 6 6 8 1 1 1 1 1 1],1650,0,1649,589,589,-2029.1407448130374,-2025.68308132015,-2027.3327108211377,3.4576634928873773,1.6496295009876576,0.0,C4H6O3,2,False,True
T1x_C4H6O3_rxn03384,T1x,13,7,[6 6 8 6 8 6 8 1 1 1 1 1 1],626,0,625,3,3,-2028.834297895746,-2025.0228216925466,-2027.2838691109207,3.8114762031993905,2.261047418374119,0.0,C4H6O3,2,False,True
T1x_C4H6O3_rxn03396,T1x,13,7,[6 8 6 6 8 6 8 1 1 1 1 1 1],2138,0,2137,4,4,-2028.2621547022675,-2024.377964643545,-2025.999531739717,3.8841900587224245,1.6215670961719297,0.0,C4H6O3,2,False,True
T1x_C4H7N_rxn03417,T1x,12,5,[6 6 6 6 7 1 1 1 1 1 1 1],330,0,329,5,5,-1005.6162336220217,-1001.1882477783944,-1004.5165346805095,4.427985843627312,3.32828690211511,0.0,C4H7N,2,False,True
T1x_C4H7N_rxn03420,T1x,12,5,[6 6 6 6 7 1 1 1 1 1 1 1],386,0,385,5,5,-1005.6162336220217,-1000.5231330936907,-1004.0542459444496,5.093100528330979,3.531112850758859,0.0,C4H7N,2,False,True
T1x_C4H7N_rxn03421,T1x,12,5,[6 6 6 6 7 1 1 1 1 1 1 1],394,0,393,4,4,-1005.5919132377858,-1001.060085378524,-1004.4735219593613,4.531827859261739,3.413436580837242,0.0,C4H7N,2,False,True
T1x_C4H7N3_rxn03429,T1x,14,7,[6 7 6 6 6 7 7 1 1 1 1 1 1 1],682,0,681,5,5,-1546.7046701823874,-1543.6134326841068,-1546.9146522482952,3.091237498280634,3.3012195641883864,0.0,C4H7N3,2,False,True
T1x_C4H7N3_rxn03431,T1x,14,7,[7 6 6 6 7 6 7 1 1 1 1 1 1 1],794,0,793,5,5,-1547.4594963341867,-1543.3887898518578,-1543.7919456262289,4.070706482328887,0.40315577437104366,0.0,C4H7N3,2,False,True
T1x_C4H7NO_rxn03495,T1x,13,6,[8 6 6 6 7 6 1 1 1 1 1 1 1],322,0,321,5,5,-1440.794162584775,-1438.1262539722065,-1440.856328792834,2.6679086125684535,2.730074820627351,0.0,C4H7NO,2,False,True
T1x_C4H7NO_rxn03516,T1x,13,6,[8 6 6 7 6 6 1 1 1 1 1 1 1],722,0,721,6,6,-1439.8541249018888,-1436.1401990412419,-1436.7340468441466,3.7139258606468957,0.5938478029047474,0.0,C4H7NO,2,False,True
T1x_C4H7NO_rxn03517,T1x,13,6,[8 6 6 7 6 6 1 1 1 1 1 1 1],2442,0,2441,6,6,-1439.8541249018888,-1436.26191726179,-1437.554622123665,3.592207640098877,1.2927048618751087,0.0,C4H7NO,2,False,True
T1x_C4H7NO_rxn03523,T1x,13,6,[6 6 8 7 6 6 1 1 1 1 1 1 1],778,0,777,5,5,-1441.9560391954283,-1437.63568357069,-1442.4390239094482,4.32035562473834,4.803340338758289,0.0,C4H7NO,2,False,True
T1x_C4H7NO_rxn03541,T1x,13,6,[7 6 6 6 6 8 1 1 1 1 1 1 1],714,0,713,4,4,-1442.7426837204177,-1437.0455470798258,-1441.33976691739,5.697136640591907,4.294219837564242,0.0,C4H7NO,2,False,True
