rxn_smiles,dipolarophile_class,dipole_class,reason,reaction_id,sub_source,source_id,reviewed,correct?
[CH3:10][O:11][C:12](=[O:13])[C:14]#[N+:15][N-:16][C:17](=[O:18])[O:19][CH3:20].[CH3:1][C:2]([CH3:3])=[CH:4]/[CH:5]=[CH:6]/[C:7]([CH3:8])=[CH2:9]>>[CH3:1][C:2]1([CH3:3])[CH:4](/[CH:5]=[CH:6]/[C:7]([CH3:8])=[CH2:9])[N:16]([C:17](=[O:18])[O:19][CH3:20])[N:15]=[C:14]1[C:12]([O:11][CH3:10])=[O:13],acyclic_alkene,acyclic_dipole,,dipolar_004446,spec16,4446,,
[CH3:1][C:2](=[O:3])[C:4]([C:5]([CH3:6])=[O:7])=[C:8]([c:9]1[cH:10][cH:11][cH:12][cH:13][cH:14]1)[c:15]1[cH:16][cH:17][cH:18][cH:19][cH:20]1.[CH3:21][O:22][C:23](=[O:24])[C:25]#[N+:26][C-:27]([C:28]#[N:29])[C:30]([CH3:31])=[O:32]>>[CH3:1][C:2](=[O:3])[C:4]1([C:5]([CH3:6])=[O:7])[C:8]([c:9]2[cH:10][cH:11][cH:12][cH:13][cH:14]2)([c:15]2[cH:16][cH:17][cH:18][cH:19][cH:20]2)[C:27]([C:28]#[N:29])([C:30]([CH3:31])=[O:32])[N:26]=[C:25]1[C:23]([O:22][CH3:21])=[O:24],acyclic_alkene,acyclic_dipole,,dipolar_002319,spec16,2319,,
[CH3:10][NH:11][C:12](=[O:13])[C-:14]([CH3:15])[N+:16]([CH3:17])=[C:18]([CH3:19])[c:20]1[cH:21][cH:22][cH:23][cH:24][cH:25]1.[CH3:1][C:2]1=[C:3]([Br:4])[CH:5]2[CH:6]=[CH:7][CH:8]1[O:9]2>>[CH3:1][C:2]12[C:3]([Br:4])([CH:5]3[CH:6]=[CH:7][CH:8]1[O:9]3)[C:18]([CH3:19])([c:20]1[cH:21][cH:22][cH:23][cH:24][cH:25]1)[N:16]([CH3:17])[C:14]2([C:12]([NH:11][CH3:10])=[O:13])[CH3:15],bridged_alkene,acyclic_dipole,,dipolar_001992,spec16,1992,,
[CH3:1][C:2]([CH3:3])=[CH:4][CH:5]=[O:6].[CH3:7][C:8](=[O:9])[N-:10][NH+:11]=[C:12]([C:13]#[N:14])[C:15]#[N:16]>>[CH3:1][C:2]1([CH3:3])[CH:4]([CH:5]=[O:6])[C:12]([C:13]#[N:14])([C:15]#[N:16])[NH:11][N:10]1[C:8]([CH3:7])=[O:9],acyclic_alkene,acyclic_dipole,,dipolar_003561,spec16,3561,,
[CH2:1]=[CH2:2].[CH3:3][O:4][C:5](=[O:6])[C:7](=[O+:8][C-:9]([C:10]([CH3:11])=[O:12])[C:13](=[O:14])[O:15][CH3:16])[c:17]1[cH:18][cH:19][cH:20][cH:21][cH:22]1>>[CH2:1]1[CH2:2][C:9]([C:10]([CH3:11])=[O:12])([C:13](=[O:14])[O:15][CH3:16])[O:8][C:7]1([C:5]([O:4][CH3:3])=[O:6])[c:17]1[cH:18][cH:19][cH:20][cH:21][cH:22]1,acyclic_alkene,acyclic_dipole,,dipolar_004762,spec16,4762,,
[CH3:1][O:2][CH:3]=[C:4]([O:5][CH3:6])[O:7][CH3:8].[CH3:9][NH:10][C:11](=[O:12])[C-:13]([C:14](=[O:15])[O:16][CH3:17])[N+:18]([CH3:19])=[C:20]([CH3:21])[C:22]#[N:23]>>[CH3:1][O:2][CH:3]1[C:4]([O:5][CH3:6])([O:7][CH3:8])[C:20]([CH3:21])([C:22]#[N:23])[N:18]([CH3:19])[C:13]1([C:11]([NH:10][CH3:9])=[O:12])[C:14](=[O:15])[O:16][CH3:17],acyclic_alkene,acyclic_dipole,,dipolar_001090,spec16,1090,,
[CH3:1][NH:2][C:3](=[O:4])[C:5]([C:6](=[O:7])[NH:8][CH3:9])=[C:10]([C:11](=[O:12])[NH:13][CH3:14])[c:15]1[cH:16][cH:17][cH:18][cH:19][cH:20]1.[CH3:21][C:22]#[N+:23][C-:24]([C:25](=[O:26])[NH:27][CH3:28])[C:29](=[O:30])[O:31][CH3:32]>>[CH3:1][NH:2][C:3](=[O:4])[C:5]1([C:6](=[O:7])[NH:8][CH3:9])[C:10]([C:11](=[O:12])[NH:13][CH3:14])([c:15]2[cH:16][cH:17][cH:18][cH:19][cH:20]2)[C:24]([C:25](=[O:26])[NH:27][CH3:28])([C:29](=[O:30])[O:31][CH3:32])[N:23]=[C:22]1[CH3:21],acyclic_alkene,acyclic_dipole,,dipolar_002497,spec16,2497,,
[CH3:17][O:18][C:19](=[O:20])[C:21](=[NH+:22][NH-:23])[C:24](=[O:25])[O:26][CH3:27].[N:1]#[C:2][C:3]1([C:4]([F:5])([F:6])[F:7])[C:8]#[C:9][C:10]([Br:11])([Br:12])[CH2:13][CH2:14][CH2:15][CH2:16]1>>[N:1]#[C:2][C:3]1([C:4]([F:5])([F:6])[F:7])[C:8]2=[C:9]([C:10]([Br:11])([Br:12])[CH2:13][CH2:14][CH2:15][CH2:16]1)[C:21]([C:19]([O:18][CH3:17])=[O:20])([C:24](=[O:25])[O:26][CH3:27])[NH:22][NH:23]2,alkyne_in_ring,acyclic_dipole,,dipolar_002810,spec16,2810,,
[CH3:18][O:19][C:20](=[O:21])[C:22]([C:23]([CH3:24])=[O:25])=[N+:26]([CH3:27])[C-:28]([C:29]([CH3:30])=[O:31])[c:32]1[cH:33][cH:34][cH:35][cH:36][cH:37]1.[CH3:1][NH:2][C:3](=[O:4])[C:5]1([C:6]([CH3:7])=[O:8])[C:9]#[C:10][C:11]([Cl:12])([Cl:13])[CH2:14][CH2:15][CH2:16][CH2:17]1>>[CH3:1][NH:2][C:3](=[O:4])[C:5]1([C:6]([CH3:7])=[O:8])[C:9]2=[C:10]([C:11]([Cl:12])([Cl:13])[CH2:14][CH2:15][CH2:16][CH2:17]1)[C:28]([C:29]([CH3:30])=[O:31])([c:32]1[cH:33][cH:34][cH:35][cH:36][cH:37]1)[N:26]([CH3:27])[C:22]2([C:20]([O:19][CH3:18])=[O:21])[C:23]([CH3:24])=[O:25],alkyne_in_ring,acyclic_dipole,,dipolar_003110,spec16,3110,,
[CH3:10][NH:11][C:12](=[O:13])[C:14](=[O+:15][C-:16]([CH3:17])[C:18]([CH3:19])=[O:20])[C:21](=[O:22])[O:23][CH3:24].[CH3:1][C:2]([CH3:3])=[CH:4]/[CH:5]=[CH:6]/[C:7]([CH3:8])=[CH2:9]>>[CH3:1][C:2]([CH3:3])=[CH:4]/[CH:5]=[CH:6]/[C:7]1([CH3:8])[CH2:9][C:14]([C:12]([NH:11][CH3:10])=[O:13])([C:21](=[O:22])[O:23][CH3:24])[O:15][C:16]1([CH3:17])[C:18]([CH3:19])=[O:20],acyclic_alkene,acyclic_dipole,,dipolar_005324,spec16,5324,,
