r1,r2,kind,sub_from,sub_to
3321,3383,dipole_change,*[C-](C#N)C(=O)NC,*[C-](C)c1ccccc1
3336,3383,dipole_change,*[C-](C(C)=O)C(C)=O,*[C-](C)c1ccccc1
3225,3234,dipole_change,*C#[N+][CH-]C,*C#[N+][CH-]C#N
3225,3300,dipole_change,*C#[N+][CH-]C,*OC(=O)[CH-][N+]#CC
3225,3319,dipole_change,*C#[N+][CH-]C,*NC(=O)C#[N+][CH-]C#N
3225,3333,dipole_change,*C#[N+][CH-]C,*NC(=O)C=[O+][CH-]C#N
3234,3300,dipole_change,*C#[N+][CH-]C#N,*OC(=O)[CH-][N+]#CC
3234,3319,dipole_change,*[CH-][N+]#CC,*[CH-][N+]#CC(=O)NC
3234,3333,dipole_change,*[CH-][N+]#CC,*[CH-][O+]=CC(=O)NC
3300,3319,dipole_change,*OC(=O)[CH-][N+]#CC,*NC(=O)C#[N+][CH-]C#N
3300,3333,dipole_change,*OC(=O)[CH-][N+]#CC,*NC(=O)C=[O+][CH-]C#N
3300,3418,dipole_change,*C(=O)[CH-][N+]#CC,*C(=O)[CH-][N+]#CC(C)=O
3319,3333,dipole_change,*C(=O)C#[N+][CH-]C#N,*C(=O)C=[O+][CH-]C#N
3418,3543,dipole_change,*C(=O)OC,*c1ccccc1
3543,3787,dipole_change,*[N+]#CC(C)=O,*[NH+]=CC(=O)NC
3259,3264,dipole_change,*[C-](C#N)[NH+]=CC,*[CH-][NH+]=C(C)C#N
3259,3266,dipole_change,*[NH+]=CC,*[N+]#CC#N
3259,3308,dipole_change,*[C-](C#N)[NH+]=CC,*[C-](C)[NH+]=CC(C)=O
3259,3379,dipole_change,*[C-](C#N)[NH+]=CC,*[CH-][NH+]=C(C)C(=O)NC
3259,3381,dipole_change,*[C-](C#N)[NH+]=CC,*[C-]([O+]=CC)C(=O)OC
3259,3410,dipole_change,*[C-](C)[NH+]=CC,*[C-](C(C)=O)[N+](C)=CC
3259,3420,dipole_change,*[C-](C)[NH+]=CC,*C(C)=[N+](C)[CH-]C(C)=O
3264,3266,dipole_change,*[CH-][NH+]=C(C)C#N,*[C-](C#N)[N+]#CC#N
3264,3308,dipole_change,*[CH-][NH+]=C(C)C#N,*[C-](C)[NH+]=CC(C)=O
3264,3379,dipole_change,*[CH-][NH+]=C(C)C#N,*[CH-][NH+]=C(C)C(=O)NC
3264,3381,dipole_change,*[CH-][NH+]=C(C)C#N,*[C-]([O+]=CC)C(=O)OC
3264,3410,dipole_change,*C(C)=[NH+][CH-]C,*[C-](C(C)=O)[N+](C)=CC
3264,3420,dipole_change,*C(C)=[NH+][CH-]C,*C(C)=[N+](C)[CH-]C(C)=O
3266,3308,dipole_change,*[C-](C#N)[N+]#CC#N,*[C-](C)[NH+]=CC(C)=O
3266,3379,dipole_change,*[C-](C#N)[N+]#CC#N,*[CH-][NH+]=C(C)C(=O)NC
3266,3381,dipole_change,*[C-](C#N)[N+]#CC#N,*[C-]([O+]=CC)C(=O)OC
3266,3410,dipole_change,*[C-](C)[N+]#CC#N,*[C-](C(C)=O)[N+](C)=CC
3266,3420,dipole_change,*[C-](C)[N+]#CC#N,*C(C)=[N+](C)[CH-]C(C)=O
3308,3379,dipole_change,*[C-](C)[NH+]=CC(C)=O,*[CH-][NH+]=C(C)C(=O)NC
3308,3381,dipole_change,*[C-](C)[NH+]=CC(C)=O,*[C-]([O+]=CC)C(=O)OC
3308,3410,dipole_change,*C=[NH+][C-](C)C,*[C-](C#N)[N+](C)=CC
3308,3420,dipole_change,*C=[NH+][C-](C)C,*[CH-][N+](C)=C(C)C#N
3308,3499,dipole_change,*C=[NH+][C-](C)C,*[C-]([N+]#CC)C(=O)NC
3308,3532,dipole_change,*C=[NH+][C-](C)C,*C(C(C)=O)=[N+](C)[CH-]C
3308,3544,dipole_change,*C=[NH+][C-](C)C,*[CH-][O+]=C(C)C(=O)NC
3308,3549,dipole_change,*C=[NH+][C-](C)C,*[CH-][O+]=C(C)C(=O)OC
3308,3604,dipole_change,*[C-](C)C,*[C-](C#N)C(=O)NC
3379,3381,dipole_change,*[CH-][NH+]=C(C)C(=O)NC,*[C-]([O+]=CC)C(=O)OC
3379,3459,dipole_change,*C(C)=[NH+][CH-]C,*C=[O+][C-](C#N)C#N
3379,3499,dipole_change,*C(C)=[NH+][CH-]C,*[C-]([N+]#CC)C(C)=O
3379,3544,dipole_change,*C(C)=[NH+][CH-]C,*C(C)=[O+][CH-]C(C)=O
3379,3604,dipole_change,*C(C)=[NH+][CH-]C,*[C-](C#N)[NH+]=CC(C)=O
3379,3714,dipole_change,*C(C)=[NH+][CH-]C,*C=[NH+][C-](C)C(=O)NC
3379,3719,dipole_change,*C(C)=[NH+][CH-]C,*[CH-][N+](C)=C(C)C(C)=O
3381,3549,dipole_change,*[C-](C)[O+]=CC,*C(C)=[O+][CH-]C(C)=O
3381,3733,dipole_change,*[C-](C)[O+]=CC,*C=[N+](C)[C-](C)C(C)=O
3410,3420,dipole_change,*[C-](C#N)[N+](C)=CC,*[CH-][N+](C)=C(C)C#N
3410,3499,dipole_change,*[C-](C#N)[N+](C)=CC,*[C-]([N+]#CC)C(=O)NC
3410,3532,dipole_change,*[C-](C#N)[N+](C)=CC,*C(C(C)=O)=[N+](C)[CH-]C
3410,3544,dipole_change,*[C-](C#N)[N+](C)=CC,*[CH-][O+]=C(C)C(=O)NC
3410,3549,dipole_change,*[C-](C#N)[N+](C)=CC,*[CH-][O+]=C(C)C(=O)OC
3420,3499,dipole_change,*[CH-][N+](C)=C(C)C#N,*[C-]([N+]#CC)C(=O)NC
3420,3532,dipole_change,*[CH-][N+](C)=C(C)C#N,*C(C(C)=O)=[N+](C)[CH-]C
3420,3544,dipole_change,*[CH-][N+](C)=C(C)C#N,*[CH-][O+]=C(C)C(=O)NC
3420,3549,dipole_change,*[CH-][N+](C)=C(C)C#N,*[CH-][O+]=C(C)C(=O)OC
3459,3499,dipole_change,*C=[O+][C-](C#N)C#N,*[C-]([N+]#CC)C(C)=O
3459,3544,dipole_change,*C=[O+][C-](C#N)C#N,*C(C)=[O+][CH-]C(C)=O
3459,3604,dipole_change,*C=[O+][C-](C#N)C#N,*[C-](C#N)[NH+]=CC(C)=O
3459,3714,dipole_change,*C=[O+][C-](C#N)C#N,*C=[NH+][C-](C)C(=O)NC
3459,3719,dipole_change,*C=[O+][C-](C#N)C#N,*[CH-][N+](C)=C(C)C(C)=O
3459,4064,dipole_change,*[C-](C#N)C#N,*[C-](C(C)=O)C(=O)OC
3499,3532,dipole_change,*[C-]([N+]#CC)C(=O)NC,*C(C(C)=O)=[N+](C)[CH-]C
3499,3544,dipole_change,*[C-]([N+]#CC)C(=O)NC,*[CH-][O+]=C(C)C(=O)NC
3499,3549,dipole_change,*[C-]([N+]#CC)C(=O)NC,*[CH-][O+]=C(C)C(=O)OC
3499,3604,dipole_change,*[C-]([N+]#CC)C(C)=O,*[C-](C#N)[NH+]=CC(C)=O
3499,3714,dipole_change,*[C-]([N+]#CC)C(C)=O,*C=[NH+][C-](C)C(=O)NC
3499,3719,dipole_change,*[C-]([N+]#CC)C(C)=O,*[CH-][N+](C)=C(C)C(C)=O
3532,3544,dipole_change,*C(C(C)=O)=[N+](C)[CH-]C,*[CH-][O+]=C(C)C(=O)NC
3532,3549,dipole_change,*C(C(C)=O)=[N+](C)[CH-]C,*[CH-][O+]=C(C)C(=O)OC
3544,3549,dipole_change,*[O+]=C(C)C(=O)NC,*[O+]=C(C)C(=O)OC
3544,3604,dipole_change,*C(C)=[O+][CH-]C(C)=O,*[C-](C#N)[NH+]=CC(C)=O
3544,3714,dipole_change,*C(C)=[O+][CH-]C(C)=O,*C=[NH+][C-](C)C(=O)NC
3544,3719,dipole_change,*C(C)=[O+][CH-]C(C)=O,*[CH-][N+](C)=C(C)C(C)=O
3549,3733,dipole_change,*C(C)=[O+][CH-]C(C)=O,*C=[N+](C)[C-](C)C(C)=O
3549,4360,dipole_change,*C,*c1ccccc1
3604,3714,dipole_change,*[C-](C#N)[NH+]=CC(C)=O,*C=[NH+][C-](C)C(=O)NC
3604,3719,dipole_change,*[C-](C#N)[NH+]=CC(C)=O,*[CH-][N+](C)=C(C)C(C)=O
3714,3719,dipole_change,*C=[NH+][C-](C)C(=O)NC,*[CH-][N+](C)=C(C)C(C)=O
3719,4273,dipole_change,*C,*C(=O)NC
3739,4465,dipole_change,*C#N,*c1ccccc1
3989,4573,dipole_change,*C#N,*C(=O)OC
4194,4617,dipole_change,*[C-](C)C(=O)OC,*[C-](C(C)=O)C(=O)NC
3411,3530,dipole_change,*[N-][N+]#CC(=O)OC,*C=[N+](C)[N-]C(=O)NC
3411,3548,dipole_change,*[N+]#CC(=O)OC,*[N+](C)=CC(=O)OC
3530,3548,dipole_change,*C=[N+](C)[N-]C(=O)NC,*[N-][N+](C)=CC(=O)OC
3316,3421,dipole_change,*[C-](C#N)C#N,*[C-](C#N)C(C)=O
3316,3683,dipole_change,*[O+]=C(C)C,*[N+](C)=C(C#N)C(C)=O
3405,3421,dipole_change,*c1oc(=O)[c-](C)[o+]1,*[C-](C#N)[O+]=C(C)C
3405,3737,dipole_change,*C(C)=O,*c1ccccc1
3421,3902,dipole_change,*[O+]=C(C)C,*[NH+]=C(C#N)C(=O)OC
3495,3496,dipole_change,*[C-](C)[NH+]=C(C)C#N,*[c-]1[nH+]c(C)oc1=O
3495,3513,dipole_change,*[C-](C)[NH+]=C(C)C#N,*C(C#N)=[O+][C-](C)C
3495,3569,dipole_change,*[C-](C)[NH+]=C(C)C#N,*C(C#N)=[O+][C-](C)C#N
3496,3513,dipole_change,*[c-]1[nH+]c(C)oc1=O,*C(C#N)=[O+][C-](C)C
3496,3520,dipole_change,*NC,*OC
3496,3569,dipole_change,*[c-]1[nH+]c(C)oc1=O,*C(C#N)=[O+][C-](C)C#N
3496,3716,dipole_change,*C(=O)NC,*c1ccccc1
3512,3520,dipole_change,*C(C)=[O+][C-](C)C#N,*[c-]1[nH+]c(C)oc1=O
3512,3569,dipole_change,*[O+]=C(C)C(=O)OC,*[O+]=C(C#N)C(=O)NC
3513,3569,dipole_change,*C,*C#N
3520,3716,dipole_change,*C(=O)OC,*c1ccccc1
3716,3736,dipole_change,*[c-]1[nH+]c(C)oc1=O,*[C-](C)[O+]=C(C)C#N
3716,3737,dipole_change,*[c-]1[nH+]c(C)oc1=O,*c1oc(=O)[c-](C)[o+]1
3716,3876,dipole_change,*[c-]1[nH+]c(C)oc1=O,*[C-](C#N)[N+](C)=C(C)C
3716,3913,dipole_change,*[c-]1[nH+]c(C)oc1=O,*C(C)=[N+](C)[C-](C)C#N
3736,3737,dipole_change,*[C-](C)[O+]=C(C)C#N,*c1oc(=O)[c-](C)[o+]1
3736,3876,dipole_change,*[C-](C)[O+]=C(C)C#N,*[C-](C#N)[N+](C)=C(C)C
3736,3913,dipole_change,*[C-](C)[O+]=C(C)C#N,*C(C)=[N+](C)[C-](C)C#N
3736,4454,dipole_change,*[O+]=C(C)C#N,*[N+](C)=C(C)C(=O)NC
3737,3876,dipole_change,*c1oc(=O)[c-](C)[o+]1,*[C-](C#N)[N+](C)=C(C)C
3737,3913,dipole_change,*c1oc(=O)[c-](C)[o+]1,*C(C)=[N+](C)[C-](C)C#N
3737,4274,dipole_change,*C,*C(=O)OC
3780,4008,dipole_change,*C#N,*C(C)=O
3866,4266,dipole_change,*C,*C(C)=O
3876,3913,dipole_change,*[C-](C#N)[N+](C)=C(C)C,*C(C)=[N+](C)[C-](C)C#N
3899,4630,dipole_change,*[NH+]=C(C)C,*[NH+]=C(C#N)C(=O)OC
3901,4384,dipole_change,*C#N,*C(=O)OC
3911,4454,dipole_change,*[C-](C)C(C)=O,*[C-](C)c1ccccc1
3911,4581,dipole_change,*C,*C(=O)OC
3990,3996,dipole_change,*C(=O)OC,*C(=O)NC
3990,4274,dipole_change,*C(=O)OC,*c1ccccc1
4008,4287,dipole_change,*C(=O)OC,*c1ccccc1
4089,4384,dipole_change,*C(=O)NC,*c1ccccc1
4266,4581,dipole_change,*[NH+]=C(C)C(=O)OC,*[N+](C)=C(C)C(=O)NC
4287,4561,dipole_change,*C(C)=O,*C(=O)NC
4384,4924,dipole_change,*[C-](C#N)C#N,*[C-](C#N)C(=O)NC
4454,4581,dipole_change,*[C-](C)c1ccccc1,*[C-](C(C)=O)C(=O)OC
4650,4958,dipole_change,*[C-](C#N)C(=O)OC,*[C-](C(C)=O)C(=O)NC
4677,4920,dipole_change,*[C-](C#N)C(C)=O,*[C-](C(C)=O)C(C)=O
4920,4925,dipole_change,*C(=O)OC,*C(=O)NC
4991,5215,dipole_change,*C,*NC
3284,3402,dipole_change,*C#N,*C(=O)OC
3402,3731,dipole_change,*C(C)=O,*c1ccccc1
3568,3731,dipole_change,*C(=[NH+][NH-])C(C)=O,*[C-]([N+]#N)C(=O)OC
3282,3331,dipole_change,*[N-][O+]=C(C#N)C#N,*C(C#N)=[NH+][N-]C(C)=O
3282,3408,dipole_change,*C(C#N)=[O+][N-]C,*C(=[NH+][N-]C)C(=O)OC
3331,3408,dipole_change,*C(C)=[NH+][N-]C(C)=O,*C(=[NH+][N-]C)C(=O)OC
3408,3458,dipole_change,*C(C#N)=[NH+][N-]C,*C(C#N)=[O+][N-]C#N
3821,3963,dipole_change,*C(=[NH+][N-]C#N)C(C)=O,*C(=[NH+][N-]C)C(=O)NC
3821,4343,dipole_change,*C(C)=O,*c1ccccc1
3223,3238,dipole_change,*[N-][N+]#N,*C(=O)N=[NH+][NH-]
3223,3257,dipole_change,*[N-]C,*[N-]C(=O)NC
3223,3260,dipole_change,*[N-]C,*[N-]C(=O)OC
3238,3257,dipole_change,*C(=O)N=[NH+][NH-],*NC(=O)[N-][N+]#N
3238,3260,dipole_change,*C(=O)N=[NH+][NH-],*OC(=O)[N-][N+]#N
3238,3317,dipole_change,*[NH+]=NC(C)=O,*[NH+]=Nc1ccccc1
3257,3260,dipole_change,*NC,*OC
3571,3954,dipole_change,*N=[NH+][N-]C(C)=O,*[N-][N+](C)=NC(=O)OC
3233,3297,dipole_change,*C#[N+][CH-]C#N,*NC(=O)C#[N+][CH-]C
3233,3343,dipole_change,*[CH-][N+]#CC,*[CH-][NH+]=CC(=O)NC
3233,3437,dipole_change,*[N+]#CC,*[O+]=Cc1ccccc1
3297,3343,dipole_change,*C#[N+][CH-]C,*C=[NH+][CH-]C#N
3297,3433,dipole_change,*C#[N+][CH-]C,*[CH-][NH+]=CC(C)=O
3343,3433,dipole_change,*C=[NH+][CH-]C#N,*[CH-][NH+]=CC(C)=O
3343,3437,dipole_change,*[NH+]=CC(=O)NC,*[O+]=Cc1ccccc1
3437,3554,dipole_change,*C=[O+][CH-]C#N,*C#[N+][CH-]C(C)=O
3437,3573,dipole_change,*C=[O+][CH-]C#N,*C=[O+][CH-]C(C)=O
3437,3745,dipole_change,*C=[O+][CH-]C#N,*[CH-][N+]#CC(=O)OC
3437,3770,dipole_change,*C=[O+][CH-]C#N,*C=[NH+][CH-]C(=O)OC
3554,3573,dipole_change,*[N+]#Cc1ccccc1,*[O+]=Cc1ccccc1
3554,3745,dipole_change,*C#[N+][CH-]C(C)=O,*[CH-][N+]#CC(=O)OC
3554,3770,dipole_change,*C#[N+][CH-]C(C)=O,*C=[NH+][CH-]C(=O)OC
3573,3745,dipole_change,*C=[O+][CH-]C(C)=O,*[CH-][N+]#CC(=O)OC
3573,3770,dipole_change,*C=[O+][CH-]C(C)=O,*C=[NH+][CH-]C(=O)OC
3745,3770,dipole_change,*[CH-][N+]#CC(=O)OC,*C=[NH+][CH-]C(=O)OC
3296,3320,dipole_change,*[CH-][N+](C)=C(C)C#N,*[N+](=CC)[C-](C#N)C#N
3296,3324,dipole_change,*[CH-][N+](C)=C(C)C#N,*[C-]([N+]#CC#N)C(C)=O
3296,3363,dipole_change,*C(C)=[N+](C)[CH-]C,*[C-]([N+]#CC#N)C(C)=O
3296,3500,dipole_change,*[CH-]C,*[CH-]C(=O)OC
3296,3516,dipole_change,*[CH-]C,*[CH-]C(=O)NC
3320,3324,dipole_change,*[N+](=CC)[C-](C#N)C#N,*[C-]([N+]#CC#N)C(C)=O
3320,3363,dipole_change,*[C-](C#N)[N+](C)=CC,*[C-]([N+]#CC#N)C(C)=O
3320,3439,dipole_change,*[N+](C)=CC,*[N+]#CC(=O)NC
3324,3363,dipole_change,*[C-](C)C(C)=O,*[C-](C#N)C(C)=O
3324,3494,dipole_change,*[C-](C)C(C)=O,*[C-](C)c1ccccc1
3324,3574,dipole_change,*[C-](C)C(C)=O,*[C-](C(C)=O)C(=O)NC
3324,3585,dipole_change,*[C-](C)C(C)=O,*[C-](C(C)=O)C(=O)OC
3363,3494,dipole_change,*[C-](C#N)C(C)=O,*[C-](C)c1ccccc1
3363,3574,dipole_change,*C#N,*C(=O)NC
3363,3580,dipole_change,*C(C)=O,*c1ccccc1
3363,3585,dipole_change,*C#N,*C(=O)OC
3439,3516,dipole_change,*C#[N+][C-](C#N)C#N,*[CH-][N+](C)=C(C)C#N
3439,3574,dipole_change,*C#[N+][C-](C#N)C#N,*[C-]([N+]#CC#N)C(C)=O
3439,3579,dipole_change,*C#[N+][C-](C#N)C#N,*[C-](C#N)[N+]#CC(C)=O
3439,3589,dipole_change,*C#[N+][C-](C#N)C#N,*[CH-][N+](C)=C(C#N)C#N
3439,3654,dipole_change,*C#[N+][C-](C#N)C#N,*C(=[O+][CH-]C#N)C(C)=O
3439,3715,dipole_change,*C#[N+][C-](C#N)C#N,*C=[O+][C-](C)C(=O)OC
3439,3880,dipole_change,*[C-](C#N)C#N,*[C-](C)c1ccccc1
3482,3494,dipole_change,*[CH-][O+]=C(C)C,*[C-](C)[N+]#CC#N
3482,3580,dipole_change,*[CH-][O+]=C(C)C,*[C-](C#N)[N+]#CC#N
3482,3741,dipole_change,*[CH-][O+]=C(C)C,*[C-](C)[N+]#CC(C)=O
3482,3874,dipole_change,*[CH-][O+]=C(C)C,*[C-](C)[N+]#CC(=O)OC
3482,3880,dipole_change,*[CH-][O+]=C(C)C,*[C-](C)[N+]#CC(=O)NC
3482,3947,dipole_change,*[CH-][O+]=C(C)C,*[CH-][NH+]=C(C)C(=O)OC
3482,3949,dipole_change,*[CH-][O+]=C(C)C,*C=[O+][C-](C)C(=O)NC
3494,3574,dipole_change,*[C-](C)c1ccccc1,*[C-](C(C)=O)C(=O)NC
3494,3580,dipole_change,*[C-](C)[N+]#CC#N,*[C-](C#N)[N+]#CC#N
3494,3585,dipole_change,*[C-](C)c1ccccc1,*[C-](C(C)=O)C(=O)OC
3494,3741,dipole_change,*[C-](C)[N+]#CC#N,*[C-](C)[N+]#CC(C)=O
3494,3874,dipole_change,*[C-](C)[N+]#CC#N,*[C-](C)[N+]#CC(=O)OC
3494,3880,dipole_change,*[C-](C)[N+]#CC#N,*[C-](C)[N+]#CC(=O)NC
3494,3947,dipole_change,*[C-](C)[N+]#CC#N,*[CH-][NH+]=C(C)C(=O)OC
3494,3949,dipole_change,*[C-](C)[N+]#CC#N,*C=[O+][C-](C)C(=O)NC
3500,3516,dipole_change,*OC,*NC
3500,3585,dipole_change,*[CH-][N+](C)=C(C)C#N,*[C-]([N+]#CC#N)C(C)=O
3500,3617,dipole_change,*[CH-][N+](C)=C(C)C#N,*[C-](C#N)[NH+]=CC(C)=O
3500,3658,dipole_change,*[CH-][N+](C)=C(C)C#N,*[C-]([NH+]=CC#N)C(C)=O
3500,3676,dipole_change,*[CH-][N+](C)=C(C)C#N,*[C-]([N+]#CC)C(=O)OC
3500,3715,dipole_change,*[CH-][N+](C)=C(C)C#N,*[C-](C)[O+]=CC(=O)NC
3500,3755,dipole_change,*[CH-][N+](C)=C(C)C#N,*C(C)=[N+](C)[CH-]C(C)=O
3516,3574,dipole_change,*[CH-][N+](C)=C(C)C#N,*[C-]([N+]#CC#N)C(C)=O
3516,3579,dipole_change,*[CH-][N+](C)=C(C)C#N,*[C-](C#N)[N+]#CC(C)=O
3516,3589,dipole_change,*C,*C#N
3516,3654,dipole_change,*[CH-][N+](C)=C(C)C#N,*C(=[O+][CH-]C#N)C(C)=O
3516,3715,dipole_change,*[CH-][N+](C)=C(C)C#N,*C=[O+][C-](C)C(=O)OC
3574,3579,dipole_change,*[C-]([N+]#CC#N)C(C)=O,*[C-](C#N)[N+]#CC(C)=O
3574,3585,dipole_change,*[C-](C(C)=O)C(=O)NC,*[C-](C(C)=O)C(=O)OC
3574,3589,dipole_change,*[C-]([N+]#CC#N)C(C)=O,*[CH-][N+](C)=C(C#N)C#N
3574,3654,dipole_change,*[C-]([N+]#CC#N)C(C)=O,*C(=[O+][CH-]C#N)C(C)=O
3574,3715,dipole_change,*[C-]([N+]#CC#N)C(C)=O,*C=[O+][C-](C)C(=O)OC
3574,3854,dipole_change,*[N+]#CC#N,*[NH+]=CC(C)=O
3579,3589,dipole_change,*[C-](C#N)[N+]#CC(C)=O,*[CH-][N+](C)=C(C#N)C#N
3579,3654,dipole_change,*[C-](C#N)[N+]#CC(C)=O,*C(=[O+][CH-]C#N)C(C)=O
3579,3715,dipole_change,*[C-](C#N)[N+]#CC(C)=O,*C=[O+][C-](C)C(=O)OC
3579,3741,dipole_change,*[C-](C#N)C(=O)NC,*[C-](C)c1ccccc1
3579,3800,dipole_change,*[N+]#CC(C)=O,*[O+]=CC(=O)OC
3579,4275,dipole_change,*C#N,*c1ccccc1
3580,3741,dipole_change,*[C-](C#N)[N+]#CC#N,*[C-](C)[N+]#CC(C)=O
3580,3874,dipole_change,*[C-](C#N)[N+]#CC#N,*[C-](C)[N+]#CC(=O)OC
3580,3880,dipole_change,*[C-](C#N)[N+]#CC#N,*[C-](C)[N+]#CC(=O)NC
3580,3947,dipole_change,*[C-](C#N)[N+]#CC#N,*[CH-][NH+]=C(C)C(=O)OC
3580,3949,dipole_change,*[C-](C#N)[N+]#CC#N,*C=[O+][C-](C)C(=O)NC
3585,3617,dipole_change,*[C-]([N+]#CC#N)C(C)=O,*[C-](C#N)[NH+]=CC(C)=O
3585,3658,dipole_change,*[N+]#CC#N,*[NH+]=CC#N
3585,3676,dipole_change,*[C-]([N+]#CC#N)C(C)=O,*[C-]([N+]#CC)C(=O)OC
3585,3715,dipole_change,*[C-]([N+]#CC#N)C(C)=O,*[C-](C)[O+]=CC(=O)NC
3585,3755,dipole_change,*[C-]([N+]#CC#N)C(C)=O,*C(C)=[N+](C)[CH-]C(C)=O
3585,3765,dipole_change,*C,*OC
3589,3654,dipole_change,*[CH-][N+](C)=C(C#N)C#N,*C(=[O+][CH-]C#N)C(C)=O
3589,3715,dipole_change,*[CH-][N+](C)=C(C#N)C#N,*C=[O+][C-](C)C(=O)OC
3617,3658,dipole_change,*[C-](C#N)[NH+]=CC(C)=O,*[C-]([NH+]=CC#N)C(C)=O
3617,3676,dipole_change,*[C-](C#N)[NH+]=CC(C)=O,*[C-]([N+]#CC)C(=O)OC
3617,3715,dipole_change,*[C-](C#N)[NH+]=CC(C)=O,*[C-](C)[O+]=CC(=O)NC
3617,3755,dipole_change,*[C-](C#N)[NH+]=CC(C)=O,*C(C)=[N+](C)[CH-]C(C)=O
3617,3791,dipole_change,*[NH+]=CC(C)=O,*[N+]#CC(=O)OC
3617,3854,dipole_change,*[C-](C#N)C(=O)OC,*[C-](C(C)=O)C(=O)NC
3617,4055,dipole_change,*C#N,*C(=O)OC
3654,3715,dipole_change,*C(=[O+][CH-]C#N)C(C)=O,*C=[O+][C-](C)C(=O)OC
3658,3676,dipole_change,*[C-]([NH+]=CC#N)C(C)=O,*[C-]([N+]#CC)C(=O)OC
3658,3715,dipole_change,*[C-]([NH+]=CC#N)C(C)=O,*[C-](C)[O+]=CC(=O)NC
3658,3755,dipole_change,*[C-]([NH+]=CC#N)C(C)=O,*C(C)=[N+](C)[CH-]C(C)=O
3676,3715,dipole_change,*[C-]([N+]#CC)C(=O)OC,*[C-](C)[O+]=CC(=O)NC
3676,3755,dipole_change,*[C-]([N+]#CC)C(=O)OC,*C(C)=[N+](C)[CH-]C(C)=O
3676,3765,dipole_change,*[N+]#CC,*[N+]#CC#N
3676,3808,dipole_change,*[N+]#CC,*[O+]=CC#N
3676,4055,dipole_change,*[N+]#CC,*[NH+]=CC(C)=O
3715,3755,dipole_change,*[C-](C)[O+]=CC(=O)NC,*C(C)=[N+](C)[CH-]C(C)=O
3741,3874,dipole_change,*[C-](C)[N+]#CC(C)=O,*[C-](C)[N+]#CC(=O)OC
3741,3880,dipole_change,*[C-](C)[N+]#CC(C)=O,*[C-](C)[N+]#CC(=O)NC
3741,3947,dipole_change,*[C-](C)[N+]#CC(C)=O,*[CH-][NH+]=C(C)C(=O)OC
3741,3949,dipole_change,*[C-](C)[N+]#CC(C)=O,*C=[O+][C-](C)C(=O)NC
3741,4275,dipole_change,*C,*C(=O)NC
3741,4596,dipole_change,*C,*c1ccccc1
3765,3808,dipole_change,*[N+]#CC#N,*[O+]=CC#N
3765,4055,dipole_change,*[N+]#CC#N,*[NH+]=CC(C)=O
3791,3874,dipole_change,*[C-](C#N)C(=O)OC,*[C-](C)c1ccccc1
3808,4055,dipole_change,*[O+]=CC#N,*[NH+]=CC(C)=O
3874,3880,dipole_change,*C(=O)OC,*C(=O)NC
3874,3947,dipole_change,*[C-](C)[N+]#CC(=O)OC,*[CH-][NH+]=C(C)C(=O)OC
3874,3949,dipole_change,*[C-](C)[N+]#CC(=O)OC,*C=[O+][C-](C)C(=O)NC
