rxn_id,ts_file,n_atoms,n_f1,n_f2,rel1_file,rel2_file,formed_d1,formed_d2
20,TS_ts_guess_HEENHP_template_1-10_4-5.xyz,25,13,12,r1_C3H8N2.xyz,r0_C6H3N3.xyz,2.1873706334775553,2.6058463518404147
22,TS_ts_guess_2o_XzU_template_2-5_7-10.xyz,25,14,11,r0_C4F2H6O2.xyz,r1_C3H6N2.xyz,2.3865504030922957,2.279399614745076
23,TS_ts_guess_tvU8cK_template_2-5_9-10.xyz,25,14,11,r0_C4F2H6O2.xyz,r1_C3H6N2.xyz,2.373437226682012,2.1823165715816764
24,TS_ts_guess_xvr478_template_4-11_5-6.xyz,21,10,11,r0_C4H4O2.xyz,r1_C3H3N3O2.xyz,2.471259244636224,2.131498254679088
25,TS_ts_guess_xiHRe4_template_4-10_5-6.xyz,21,10,11,r0_C4H4O2.xyz,r1_C3H3N3O2.xyz,2.3028652404124736,2.241156704672835
26,TS_ts_guess_iJUjpM_template_3-13_5-7.xyz,26,13,13,r1_C4H6N2O.xyz,r0_C6H6O.xyz,2.3488895071075606,2.6445851042649395
27,TS_ts_guess_SCRNcv_template_4-13_6-7.xyz,29,12,17,r0_C4H5NO2.xyz,r1_C7H10.xyz,2.805322126423274,2.306603480986708
28,TS_rdBnO7_ll_ad_3-11_5-8.xyz,23,11,12,r1_C4H3N3O.xyz,r0_C4F2H6.xyz,2.638713793612335,2.3213061077333164
29,TS_ts_guess_uGApjY_template_4-10_6-9.xyz,27,18,9,r1_C5H9NO3.xyz,r0_C4H4O.xyz,2.4620840057357913,2.1106951151930966
30,TS_vCwM3z_ll_ad_4-5_6-10.xyz,27,18,9,r1_C5H9NO3.xyz,r0_C4H4O.xyz,2.010113133358419,2.723844855971059
31,TS_ts_guess_oz73Rj_template_1-10_2-7.xyz,20,10,10,r0_C4F3H3.xyz,r1_C3H3NO3.xyz,2.2481159148273475,2.323998592297336
33,TS_B3Ce4Q_ll_ad_4-10_5-7.xyz,21,10,11,r1_C4FH3O2.xyz,r0_C5H3N3.xyz,2.887658133141803,2.18009570812843
34,TS_ehURVB_ll_ad_4-13_5-7.xyz,21,10,11,r1_C4FH3O2.xyz,r0_C5H3N3.xyz,2.6389405166657323,2.1368737780224643
35,TS_ts_guess_J29f0S_template_1-12_4-5.xyz,28,12,16,r0_C3H7NO.xyz,r1_C7FH7O.xyz,2.5484803486587846,2.605503035193012
36,TS_ts_guess_e0eBnf_template_7-8_10-13.xyz,28,16,12,r1_C7FH7O.xyz,r0_C3H7NO.xyz,2.5197607770183263,2.56368602326806
37,TS_ts_guess_sB1_jE_template_7-11_8-9.xyz,28,16,12,r1_C7FH7O.xyz,r0_C3H7NO.xyz,2.5468640360451125,2.5818017788745906
38,TS_MHFbAm_ll_ad_1-12_4-5.xyz,28,12,16,r0_C3H7NO.xyz,r1_C7FH7O.xyz,2.6395910412221055,2.521283676502904
41,TS_ts_guess_XRDgG0_template_4-9_5-7.xyz,26,13,13,r0_C5H6O2.xyz,r1_C5H5NO2.xyz,2.7123331902072803,2.2070499553476357
42,TS_ts_guess_aPoynF_template_4-14_5-7.xyz,26,13,13,r0_C5H6O2.xyz,r1_C5H5NO2.xyz,2.3355003043887623,2.7230111634365364
44,TS_ts_guess_1sH2ol_template_3-13_5-7.xyz,28,15,13,r0_C5H8O2.xyz,r1_C6FH5O.xyz,2.7307666398101462,2.5563966989495195
45,TS_ts_guess_H6FkmA_template_3-14_5-7.xyz,28,15,13,r0_C5H8O2.xyz,r1_C6FH5O.xyz,2.7262419002355602,2.6597423331781593
46,TS_ts_guess_m0lbQU_template_3-14_5-7.xyz,28,15,13,r0_C5H8O2.xyz,r1_C6FH5O.xyz,2.7852662563388804,2.4091645916582785
47,TS_ts_guess_-Z_CEu_template_4-14_5-9.xyz,26,16,10,r1_C6H7NO2.xyz,r0_C2H4N2O2.xyz,2.044780241052813,2.148558879342151
48,TS_ts_guess_jnX0-V_template_4-11_5-9.xyz,26,16,10,r1_C6H7NO2.xyz,r0_C2H4N2O2.xyz,2.1931480523211375,1.9955737739808068
49,TS_yJ-xQw_hl_ad_4-13_6-7.xyz,30,13,17,r1_C4H6N2O.xyz,r0_C7FH9.xyz,2.3552831848845694,2.5884201431181912
50,TS_ts_guess_zbrUQ2_template_4-14_6-7.xyz,30,13,17,r1_C4H6N2O.xyz,r0_C7FH9.xyz,2.4940646403210964,2.4463832252735878
51,TS_ts_guess_fcLiCp_template_4-13_5-8.xyz,29,15,14,r0_C5H7NO2.xyz,r1_C5H7NO.xyz,2.6360159809454875,2.4456912466826224
52,TS_ts_guess_Kmf8wo_template_4-11_5-8.xyz,29,15,14,r0_C5H7NO2.xyz,r1_C5H7NO.xyz,2.8461640856422883,2.2941040082350237
55,TS_ts_guess_5ssKZA_template_4-5_7-9.xyz,32,23,9,r0_C9H12O2.xyz,r1_C3H5N.xyz,2.9065346550488607,2.5643133795423676
56,TS_ts_guess_WEmU5t_template_4-5_8-9.xyz,32,23,9,r0_C9H12O2.xyz,r1_C3H5N.xyz,2.6744894201697638,2.5647225447404636
57,TS_ts_guess_v0BSJD_template_4-13_8-11.xyz,27,20,7,r1_C7H9NO3.xyz,r0_C3FH3.xyz,2.328090733133054,2.535204688974837
58,TS_ts_guess_CtbRdw_template_4-13_8-11.xyz,27,20,7,r1_C7H9NO3.xyz,r0_C3FH3.xyz,2.709450755799042,2.295887025922661
61,TS_ts_guess_wU0vWx_template_4-6_7-9.xyz,31,24,7,r1_C8H12O4.xyz,r0_C3H4.xyz,2.3286169371753696,2.5745828506575585
62,TS_ts_guess_iDitov_template_4-13_7-12.xyz,31,24,7,r1_C8H12O4.xyz,r0_C3H4.xyz,2.5226871793585506,2.3510664661808267
63,TS_ts_guess_AA10QL_template_4-9_10-13.xyz,30,22,8,r1_C6H11N3O2.xyz,r0_C3H4O.xyz,2.536522100613358,2.2559477499268463
64,TS_etRB_4_ll_ad_4-12_10-11.xyz,30,22,8,r1_C6H11N3O2.xyz,r0_C3H4O.xyz,2.4582256833334077,2.3187701470607216
65,TS_ts_guess_UaOWqs_template_4-11_6-7.xyz,25,11,14,r0_C3H4N2O2.xyz,r1_C4F2H6O2.xyz,3.3026941816946964,2.1595497576578317
66,TS_ts_guess_Ybc3gq_template_2-14_3-6.xyz,26,9,17,r0_C4H3NO.xyz,r1_C9H6N2.xyz,2.2521476121471258,2.9112059667601673
67,TS_ts_guess_8PEFDL_template_2-10_3-6.xyz,26,9,17,r0_C4H3NO.xyz,r1_C9H6N2.xyz,2.300034362808521,2.7930480091111933
68,TS_ts_guess_36lXsd_template_4-9_7-8.xyz,31,17,14,r1_C5H9NO2.xyz,r0_C8H6.xyz,2.7281073550357213,2.1526699704552947
69,TS_ts_guess_UVPuEk_template_4-6_7-14.xyz,31,17,14,r1_C5H9NO2.xyz,r0_C8H6.xyz,2.260990895824218,2.4232187808780288
70,TS_ts_guess_DYN1GU_template_3-10_12-13.xyz,33,26,7,r1_C11H13NO.xyz,r0_C3H4.xyz,2.8886684550152166,2.038455368949735
71,TS_ts_guess_reZHm0_template_3-10_11-13.xyz,33,26,7,r1_C11H13NO.xyz,r0_C3H4.xyz,2.4887414965399683,2.184417792387711
72,TS_ts_guess_d3SoTZ_template_4-13_6-10.xyz,25,17,8,r0_C6H7N3O.xyz,r1_C3ClH3O.xyz,2.359940382594442,2.5921875907619034
73,TS_ts_guess_FHq81N_template_4-12_6-10.xyz,25,17,8,r0_C6H7N3O.xyz,r1_C3ClH3O.xyz,2.316292182325019,2.7289828286927715
74,TS_ts_guess_D1SMkS_template_1-16_3-8.xyz,26,12,14,r0_C4H4N4.xyz,r1_C7H5NO.xyz,2.1177824070003033,2.3625161868016904
75,TS_ts_guess_X1FNdY_template_1-16_3-8.xyz,26,12,14,r0_C4H4N4.xyz,r1_C7H5NO.xyz,2.0323564105244927,2.570334269039729
76,TS_ts_guess_P8rCUD_template_1-14_3-8.xyz,26,12,14,r0_C4H4N4.xyz,r1_C7H5NO.xyz,2.1925899654062087,2.292834883741086
77,TS_ts_guess_WZYoHV_template_1-16_3-8.xyz,26,12,14,r0_C4H4N4.xyz,r1_C7H5NO.xyz,1.9854009901025034,2.5799524538835983
78,TS_ts_guess_K2nJht_template_4-14_9-12.xyz,28,21,7,r1_C7H9N3O2.xyz,r0_C3FH3.xyz,2.292525900071796,2.4145030432989723
79,TS_ts_guess_r0na16_template_4-14_9-12.xyz,28,21,7,r1_C7H9N3O2.xyz,r0_C3FH3.xyz,2.6778998879532447,2.1840332267161138
80,TS_ts_guess_nyg_l5_template_3-11_4-6.xyz,22,9,13,r0_C4ClH3O.xyz,r1_C6H3N3O.xyz,2.4863070863833374,2.5790151395639382
81,TS_ts_guess_P3xqig_template_3-12_4-6.xyz,22,9,13,r0_C4ClH3O.xyz,r1_C6H3N3O.xyz,2.513677525797611,2.461744701710557
82,TS_ts_guess_IJMnIX_template_4-10_5-6.xyz,29,11,18,r0_C4H5NO.xyz,r1_C9H7NO.xyz,2.6692040138775455,2.3705916784845087
83,TS_ts_guess_ulQnBj_template_4-14_5-6.xyz,29,11,18,r0_C4H5NO.xyz,r1_C9H7NO.xyz,2.663457736571016,2.367980100359798
84,TS_ts_guess_98Jr-e_template_4-13_9-10.xyz,26,18,8,r0_C6H8N2O2.xyz,r1_C3ClH3O.xyz,2.8042724792180946,2.2461764679116376
85,TS_Gk5roB_ll_ad_4-12_9-10.xyz,26,18,8,r0_C6H8N2O2.xyz,r1_C3ClH3O.xyz,3.8316760351835595,2.1048222949218305
86,TS_ts_guess__sadcz_template_2-3_5-9.xyz,33,24,9,r1_C9H14O.xyz,r0_C3H3NO2.xyz,3.1495632511191136,2.29432392381721
87,TS_ts_guess_KNefvg_template_2-3_8-9.xyz,33,24,9,r1_C9H14O.xyz,r0_C3H3NO2.xyz,2.4047373742885103,2.5609396134036433
88,TS_WfTSFv_ll_ad_4-14_6-7.xyz,36,13,23,r1_C4H6N2O.xyz,r0_C9H14.xyz,2.431368349345693,2.512282378276773
89,TS_ts_guess_seEx_E_template_4-9_5-7.xyz,31,14,17,r1_C5H7NO.xyz,r0_C6H8O3.xyz,2.7096678418581126,2.206673205551742
90,TS_ts_guess_nd725o_template_4-15_5-7.xyz,31,14,17,r1_C5H7NO.xyz,r0_C6H8O3.xyz,2.275921274099787,2.800575948014979
91,TS_ts_guess_ixtSWm_template_4-13_6-9.xyz,31,18,13,r1_C6H9NO2.xyz,r0_C5H6O2.xyz,2.3138033673153817,3.3983644476277113
92,TS_e_zlqr_ll_ad_4-12_6-9.xyz,31,18,13,r1_C6H9NO2.xyz,r0_C5H6O2.xyz,2.374279224480558,2.681227246113242
93,TS_YvNWft_hl_ad_3-14_6-7.xyz,28,15,13,r0_C4H8N2O.xyz,r1_C6F2H4O.xyz,2.408913094343588,2.4642679189974452
94,TS_ts_guess_-KXbiL_template_3-4_12-13.xyz,28,15,13,r0_C4H8N2O.xyz,r1_C6F2H4O.xyz,2.3654862259374925,2.3900330924278017
95,TS_ts_guess__qzm2J_template_2-10_3-5.xyz,29,8,21,r1_C3FH3O.xyz,r0_C9H9N3.xyz,2.404432996051252,2.312221819181715
96,TS_ts_guess_itHptJ_template_2-13_3-5.xyz,29,8,21,r1_C3FH3O.xyz,r0_C9H9N3.xyz,2.4977262989767315,2.2095649155659585
97,TS_ts_guess_GF3qIj_template_4-14_5-9.xyz,26,15,11,r1_C6H6O3.xyz,r0_C4H3N3O.xyz,2.499584378591769,2.261958639520184
98,TS_ts_guess_b5_9Mv_template_4-5_10-13.xyz,26,15,11,r1_C6H6O3.xyz,r0_C4H3N3O.xyz,2.25803583700525,2.4961786356549083
99,TS_ts_guess_BxuP90_template_3-15_6-7.xyz,30,13,17,r0_C4H6N2O.xyz,r1_C8H7NO.xyz,2.237104017563779,2.3045460893199774
100,TS_ts_guess_uPn3xh_template_3-14_6-7.xyz,30,13,17,r0_C4H6N2O.xyz,r1_C8H7NO.xyz,2.4174894654992816,2.0794988026926102
101,TS_ts_guess_4MBY4N_template_3-16_6-7.xyz,30,13,17,r0_C4H6N2O.xyz,r1_C8H7NO.xyz,2.3214433726886385,2.214260422037119
102,TS_ts_guess_tjgpdD_template_3-16_6-7.xyz,30,13,17,r0_C4H6N2O.xyz,r1_C8H7NO.xyz,2.3294148161501846,2.201101797214295
103,TS_ts_guess_7SN1DJ_template_3-9_6-8.xyz,34,18,16,r1_C5H10N2O.xyz,r0_C6H8O2.xyz,3.049542991154576,2.04889379334313
105,TS_ts_guess__qoq-F_template_3-12_4-5.xyz,27,9,18,r0_C4H4O.xyz,r1_C7H6N2O3.xyz,2.606879753383343,1.9566819844829155
106,TS_3nEQHO_hl_ad_3-11_4-5.xyz,27,9,18,r0_C4H4O.xyz,r1_C7H6N2O3.xyz,2.4994648717275467,1.9407595473422254
107,TS_ts_guess_ZREfUX_template_3-12_5-10.xyz,23,13,10,r1_C6H3N3O.xyz,r0_C4F3H3.xyz,2.2141417296550827,2.6582291942193397
108,TS_ts_guess_HVJ70u_template_3-15_5-10.xyz,23,13,10,r1_C6H3N3O.xyz,r0_C4F3H3.xyz,2.2323089522062127,2.563022396254079
109,TS_ts_guess_zZcznB_template_3-9_5-6.xyz,34,12,22,r1_C3H6N2O.xyz,r0_C8H12O2.xyz,2.8466328067385156,1.9257597589782585
110,TS_ts_guess_XIdM8w_template_3-13_5-6.xyz,34,12,22,r1_C3H6N2O.xyz,r0_C8H12O2.xyz,2.0161871273768215,2.4559975699092216
112,TS_ts_guess_Pb0Czb_template_4-10_6-7.xyz,26,14,12,r0_C3H7N3O.xyz,r1_C4F3H3O2.xyz,2.72739152902549,2.0604562615595605
113,TS_ts_guess_fjUaIL_template_4-13_6-7.xyz,26,14,12,r0_C3H7N3O.xyz,r1_C4F3H3O2.xyz,2.0885789744704413,2.3987798592200993
114,TS_ts_guess_v_Rtqv_template_3-16_5-9.xyz,29,16,13,r0_C6H7NO2.xyz,r1_C6FH5O.xyz,2.5791927990749355,2.688112990668361
115,TS_KbEaT0_ll_ad_3-16_5-9.xyz,29,16,13,r0_C6H7NO2.xyz,r1_C6FH5O.xyz,2.5786552733159196,2.8005011205496775
118,TS_ts_guess_YimS-Y_template_3-12_4-6.xyz,24,9,15,r0_BrC4H3O.xyz,r1_C5H8O2.xyz,2.750657521430103,2.80874209611705
120,TS_ts_guess_kQnJuk_template_2-3_6-9.xyz,36,21,15,r1_C8FH11O.xyz,r0_C4H9NO.xyz,2.253542399534564,2.215770979004825
121,TS_ts_guess_92BIby_template_2-13_8-10.xyz,36,21,15,r1_C8FH11O.xyz,r0_C4H9NO.xyz,2.3437784468033662,2.0176663919984392
122,TS_ts_guess_J348-__template_2-14_3-10.xyz,30,18,12,r0_C9H8O.xyz,r1_C5H4N2O.xyz,2.4278057102247703,2.6788552556269254
123,TS_ts_guess_kSZg2a_template_2-15_3-10.xyz,30,18,12,r0_C9H8O.xyz,r1_C5H4N2O.xyz,2.4034957826049954,2.7566553995920495
124,TS_ts_guess_1xf8UI_template_10-11_14-15.xyz,27,19,8,r0_C8ClH7O3.xyz,r1_C2H4N2.xyz,2.2782200812256925,2.4408489309459527
125,TS_ts_guess_Npk6gd_template_4-5_8-9.xyz,27,19,8,r0_C8ClH7O3.xyz,r1_C2H4N2.xyz,2.3954285064054823,2.2281512588242296
126,TS_ts_guess_DsRUwL_template_10-11_13-15.xyz,27,19,8,r0_C8ClH7O3.xyz,r1_C2H4N2.xyz,2.4075050270975553,2.294601915474665
127,TS_ts_guess_0HlbCp_template_4-5_7-9.xyz,27,19,8,r0_C8ClH7O3.xyz,r1_C2H4N2.xyz,2.5617911181241926,2.2641982695426655
128,TS_ts_guess_ZvKV8w_template_4-5_7-11.xyz,33,23,10,r1_C9H12O2.xyz,r0_C3H4N2O.xyz,2.736174887557446,2.2273532302937493
129,TS_ts_guess_CFs-47_template_4-5_10-11.xyz,33,23,10,r1_C9H12O2.xyz,r0_C3H4N2O.xyz,2.406697090163197,2.3814778966011843
130,TS_ts_guess_fGZn_S_template_4-5_9-12.xyz,29,16,13,r1_C4H6N4O2.xyz,r0_C5H6O2.xyz,2.339812531315276,1.9684956458676763
131,TS_ts_guess_Im63nE_template_4-5_8-12.xyz,29,16,13,r1_C4H6N4O2.xyz,r0_C5H6O2.xyz,2.0304226792961115,2.2131176135939996
132,TS_ts_guess_V-DKVt_template_4-15_6-7.xyz,25,10,15,r0_C2H3N3O2.xyz,r1_C8H4N2O.xyz,2.118722601687158,2.200943220848734
133,TS_ts_guess_9EwLue_template_4-17_6-7.xyz,25,10,15,r0_C2H3N3O2.xyz,r1_C8H4N2O.xyz,2.237450712619163,2.2128609320967283
134,TS_3Kyxtu_ll_ad_4-10_5-7.xyz,28,11,17,r1_C4FH4NO.xyz,r0_C6H7NO3.xyz,2.6237975083836025,2.0815012703575273
135,TS_ZadKek_hl_ad_4-12_5-7.xyz,28,11,17,r1_C4FH4NO.xyz,r0_C6H7NO3.xyz,2.7889484919768597,2.12112493158701
136,TS_ts_guess_z3iZDg_template_4-5_6-8.xyz,30,23,7,r1_C7H9N3O4.xyz,r0_C3H4.xyz,2.009901477212254,2.545841795340001
137,TS_Qzzp-Y_ll_ad_4-5_6-8.xyz,30,23,7,r1_C7H9N3O4.xyz,r0_C3H4.xyz,2.2960686777620567,2.1154824562496377
138,TS_ts_guess_RYUqdO_template_4-11_7-9.xyz,26,19,7,r1_C6H10O3.xyz,r0_BrC3H3.xyz,2.736041653301353,2.5520570475206856
139,TS_ts_guess_uMq5gx_template_4-11_7-9.xyz,26,19,7,r1_C6H10O3.xyz,r0_BrC3H3.xyz,2.5954653259097875,2.5481799600499175
140,TS_ts_guess_a-3iXk_template_3-14_5-6.xyz,36,11,25,r0_C3H5NO2.xyz,r1_C11H14.xyz,2.193578261517013,2.1001606627589235
141,TS_ts_guess_UhCO9y_template_3-9_5-6.xyz,36,11,25,r0_C3H5NO2.xyz,r1_C11H14.xyz,2.2867642616369532,2.0091534236588307
142,TS_ts_guess_-Co7Ia_template_7-14_8-9.xyz,33,19,14,r0_C8H10O.xyz,r1_C4H6N2O2.xyz,2.5458019232846847,2.0087954563120656
143,TS_ts_guess_n_ekb5_template_2-15_6-8.xyz,33,14,19,r1_C4H6N2O2.xyz,r0_C8H10O.xyz,2.554942161556695,1.9869347881347288
144,TS_ts_guess_9ODmHj_template_4-11_6-8.xyz,31,17,14,r0_C4H9N3O.xyz,r1_C4F2H6O2.xyz,3.277584403703435,2.034527922762428
145,TS_ts_guess_GE0Z4r_template_4-13_6-8.xyz,31,17,14,r0_C4H9N3O.xyz,r1_C4F2H6O2.xyz,2.186346859283769,2.28332333448419
146,TS_ts_guess_91c5aa_template_4-8_10-12.xyz,33,23,10,r1_C8H10N2O3.xyz,r0_C4H6.xyz,2.514213718083648,2.161607569865539
147,TS_ts_guess_-2aAPK_template_4-12_5-6.xyz,28,10,18,r0_C4H4O2.xyz,r1_C4H7N3O4.xyz,2.415575576234368,1.8452714843350286
148,TS_ts_guess_3GulkN_template_3-14_9-11.xyz,34,22,12,r1_C9ClH11O.xyz,r0_C4H7N.xyz,3.046863110413725,2.7206028704866134
149,TS_IQBnoW_hl_ad_3-4_7-9.xyz,34,22,12,r1_C9ClH11O.xyz,r0_C4H7N.xyz,2.6127127004322537,2.5260093810197937
150,TS_ts_guess_ZeAbzr_template_4-16_6-8.xyz,30,17,13,r0_C4H9N3O.xyz,r1_C6F2H4O.xyz,2.3309949531047898,2.431983025701454
151,TS_ts_guess_sSPcLH_template_4-15_6-8.xyz,30,17,13,r0_C4H9N3O.xyz,r1_C6F2H4O.xyz,2.4342197142821766,2.375714935466795
152,TS_ts_guess_Dyvmzi_template_3-11_4-6.xyz,31,9,22,r0_C4FH3O.xyz,r1_C10H10N2.xyz,3.193505996675128,2.5271909575257663
153,TS_ts_guess_3-sSYN_template_3-15_4-6.xyz,31,9,22,r0_C4FH3O.xyz,r1_C10H10N2.xyz,2.870149641307923,2.319430414110326
154,TS_ts_guess_7wJ0Wx_template_2-3_6-14.xyz,36,14,22,r1_C4H8O2.xyz,r0_C9H11NO.xyz,2.1476375114995547,2.164473710281555
155,TS_ts_guess_61-mg8_template_4-14_5-9.xyz,33,15,18,r1_C6H6O3.xyz,r0_C6H10O2.xyz,2.659758605700901,2.4056319207227026
156,TS_ts_guess_CCFcCq_template_4-13_5-9.xyz,33,15,18,r1_C6H6O3.xyz,r0_C6H10O2.xyz,2.4798790461431786,2.8512928673322917
157,TS_ts_guess_79NpBU_template_4-12_6-10.xyz,25,16,9,r1_C4H6N2O4.xyz,r0_C4ClH3O.xyz,2.7442088891700647,2.2395438546498703
158,TS_ts_guess_zXUezz_template_4-14_6-10.xyz,25,16,9,r1_C4H6N2O4.xyz,r0_C4ClH3O.xyz,2.9137738359728607,2.2038977661860812
159,TS_ts_guess_GN_JGB_template_4-5_8-9.xyz,30,23,7,r1_C9ClH11O2.xyz,r0_C2H3NO.xyz,2.2384962618016586,2.281910859433383
160,TS_ts_guess_XxErv3_template_4-5_7-9.xyz,30,23,7,r1_C9ClH11O2.xyz,r0_C2H3NO.xyz,2.4133972328441913,2.1356238563239547
161,TS_ts_guess_3bsKLx_template_4-14_6-11.xyz,27,19,8,r0_C6H8N2O3.xyz,r1_C3ClH3O.xyz,2.3008592882225543,2.433213144506662
163,TS_ts_guess_oTV59F_template_4-12_5-6.xyz,31,11,20,r0_C4H5NO.xyz,r1_C5H9N3O3.xyz,2.392519203371208,2.063005698416754
164,TS_ts_guess_uSms7p_template_4-12_5-6.xyz,31,11,20,r0_C4H5NO.xyz,r1_C5H9N3O3.xyz,2.3970274253750206,2.186955651813726
165,TS_ts_guess_qKFphN_template_4-13_6-10.xyz,29,18,11,r0_C6H8N2O2.xyz,r1_C5H3NO2.xyz,2.5249746222487066,2.299805722860085
166,TS_ts_guess_Efj9hL_template_4-15_6-10.xyz,29,18,11,r0_C6H8N2O2.xyz,r1_C5H3NO2.xyz,2.809775610756133,2.213008652897679
167,TS_ts_guess_LbWWS4_template_2-5_12-13.xyz,36,23,13,r0_C7H15N.xyz,r1_C6ClH5O.xyz,2.9028089082989945,2.949079260277689
168,TS_ts_guess_-euN1a_template_2-5_11-13.xyz,36,23,13,r0_C7H15N.xyz,r1_C6ClH5O.xyz,2.8281378814690066,3.1764201787232116
169,TS_ts_guess_1q4lvs_template_4-13_5-8.xyz,29,12,17,r1_C5H4N2O.xyz,r0_C6H7NO3.xyz,2.2426014362565634,2.2065075191578205
170,TS_ts_guess_nuTOh2_template_4-11_5-8.xyz,29,12,17,r1_C5H4N2O.xyz,r0_C6H7NO3.xyz,2.066694944712451,2.48123886034779
171,TS_ts_guess_SFnR1C_template_1-2_4-11.xyz,32,17,15,r0_C7F2H8.xyz,r1_C7H6N2.xyz,2.5310256582263246,2.366539002721062
172,TS_ts_guess_YoxYU__template_4-16_6-12.xyz,26,17,9,r1_C6H5N3O3.xyz,r0_C4FH3O.xyz,2.051780600868426,2.7510738757983217
173,TS_ts_guess_h3szIj_template_4-14_6-12.xyz,26,17,9,r1_C6H5N3O3.xyz,r0_C4FH3O.xyz,2.8492727919418313,1.9928752951953617
174,TS_ts_guess_v3X8Q5_template_3-17_4-11.xyz,35,19,16,r1_C10H8O.xyz,r0_C5H9NO.xyz,2.2449858904456392,2.463621747164122
175,TS_ts_guess_gZhgqE_template_3-14_4-11.xyz,35,19,16,r1_C10H8O.xyz,r0_C5H9NO.xyz,2.756543329461737,2.1806466628502656
176,TS_ts_guess_nZpaDr_template_4-17_6-8.xyz,29,15,14,r0_C4H7N3O.xyz,r1_C7FH4NO.xyz,2.47967265029076,2.3011012251311325
177,TS_ts_guess_dW-dN2_template_4-17_6-8.xyz,29,15,14,r0_C4H7N3O.xyz,r1_C7FH4NO.xyz,2.455637529970578,2.368649906592361
178,TS_ts_guess_691z68_template_4-16_6-8.xyz,29,15,14,r0_C4H7N3O.xyz,r1_C7FH4NO.xyz,2.245568526609687,2.4532353662255892
179,TS_ts_guess_hE3XZ6_template_4-15_6-8.xyz,29,15,14,r0_C4H7N3O.xyz,r1_C7FH4NO.xyz,2.5978397495034216,2.206477519237393
180,TS_ts_guess_n3pK0A_template_4-14_8-9.xyz,26,14,12,r0_C5H5N3O.xyz,r1_C5F3H3O.xyz,2.912926389269046,2.3041934473693826
181,TS_-iknCI_hl_ad_4-13_8-9.xyz,26,14,12,r0_C5H5N3O.xyz,r1_C5F3H3O.xyz,2.529970749099681,2.3445638901510018
182,TS_ts_guess_bAEkDL_template_4-9_10-15.xyz,33,19,14,r1_C5H8N2O4.xyz,r0_C4H8O2.xyz,2.0131002165317056,2.6708801551174104
