rxn_id,fold,scaffold
35,0,CC(C)=[O+][NH-].CC1=C(F)C2C=CC1O2
36,0,CC(C)=[O+][NH-].CC1=C(F)C2C=CC1O2
37,0,CC(C)=[O+][NH-].CC1=C(F)C2C=CC1O2
38,0,CC(C)=[O+][NH-].CC1=C(F)C2C=CC1O2
41,1,CC#CC(=O)OC.[CH2-][O+]=C(C#N)C(C)=O
42,1,CC#CC(=O)OC.[CH2-][O+]=C(C#N)C(C)=O
44,4,CC=[O+][CH-]C(C)=O.FC1=CC2C=CC1O2
45,4,CC=[O+][CH-]C(C)=O.FC1=CC2C=CC1O2
46,4,CC=[O+][CH-]C(C)=O.FC1=CC2C=CC1O2
47,2,CC(=O)N=[NH+][O-].CNC(=O)C#CC(C)=O
48,2,CC(=O)N=[NH+][O-].CNC(=O)C#CC(C)=O
49,3,FC1=CC2CCC1C2.[CH2-][N+]#CC(=O)NC
50,3,FC1=CC2CCC1C2.[CH2-][N+]#CC(=O)NC
51,4,CNC(=O)C#COC.C[CH-][O+]=C(C)C#N
52,4,CNC(=O)C#COC.C[CH-][O+]=C(C)C#N
55,0,COC(=O)C1=CC2CCC1C2.[CH2-][N+]#CC
56,0,COC(=O)C1=CC2CCC1C2.[CH2-][N+]#CC
57,1,CC#CF.COC(=O)[C-](C#N)[O+]=C(C)C
58,1,CC#CF.COC(=O)[C-](C#N)[O+]=C(C)C
61,2,C#CC.COC(=O)[C-](C)[O+]=C(C)C(C)=O
62,2,C#CC.COC(=O)[C-](C)[O+]=C(C)C(C)=O
63,3,C#COC.[CH2-][NH+]=C(C(=O)NC)C(=O)NC
64,3,C#COC.[CH2-][NH+]=C(C(=O)NC)C(=O)NC
65,3,C#[N+][N-]C(=O)OC.CO/C(F)=C(\F)OC
66,4,COC#CC#N.N#C[CH-][N+]#Cc1ccccc1
67,4,COC#CC#N.N#C[CH-][N+]#Cc1ccccc1
68,0,C#Cc1ccccc1.[CH2-][NH+]=C(C)C(=O)OC
69,0,C#Cc1ccccc1.[CH2-][NH+]=C(C)C(=O)OC
70,1,C#CC.[CH2-][N+](C)=C(C(C)=O)c1ccccc1
71,1,C#CC.[CH2-][N+](C)=C(C(C)=O)c1ccccc1
72,2,CNC(=O)C#[N+][C-](C)C#N.COC#CCl
73,2,CNC(=O)C#[N+][C-](C)C#N.COC#CCl
74,1,C[N-][NH+]=C(C#N)C#N.N#CC1=CC2C=CC1O2
75,1,C[N-][NH+]=C(C#N)C#N.N#CC1=CC2C=CC1O2
76,1,C[N-][NH+]=C(C#N)C#N.N#CC1=CC2C=CC1O2
77,1,C[N-][NH+]=C(C#N)C#N.N#CC1=CC2C=CC1O2
78,3,CC#CF.CNC(=O)C(=[NH+][CH-]C#N)C(C)=O
79,3,CC#CF.CNC(=O)C(=[NH+][CH-]C#N)C(C)=O
80,4,CC(=O)C#CCl.C[C-](C#N)[O+]=C(C#N)C#N
81,4,CC(=O)C#CCl.C[C-](C#N)[O+]=C(C#N)C#N
82,0,C#CC(=O)NC.N#CC=[O+][CH-]c1ccccc1
83,0,C#CC(=O)NC.N#CC=[O+][CH-]c1ccccc1
84,1,C#[N+][C-](C(C)=O)C(=O)NC.COC#CCl
85,1,C#[N+][C-](C(C)=O)C(=O)NC.COC#CCl
86,2,CC(=O)C#[N+][O-].COC1=C(C)C2CCC1C2
87,2,CC(=O)C#[N+][O-].COC1=C(C)C2CCC1C2
88,4,CC1=C(C)C2CCC1C2.[CH2-][N+]#CC(=O)NC
89,3,C=[O+][C-](C(C)=O)C(C)=O.CC#CC(=O)NC
90,3,C=[O+][C-](C(C)=O)C(C)=O.CC#CC(=O)NC
91,4,COC#CC(C)=O.COC(=O)C#[N+][C-](C)C
92,4,COC#CC(C)=O.COC(=O)C#[N+][C-](C)C
93,0,C=[N+](C)[N-]C(C)=O.FC1=C(F)C2C=CC1O2
94,0,C=[N+](C)[N-]C(C)=O.FC1=C(F)C2C=CC1O2
95,1,CC(C#N)=[NH+][N-]c1ccccc1.COC#CF
96,1,CC(C#N)=[NH+][N-]c1ccccc1.COC#CF
97,2,CC(=O)C#[N+][N-]C#N.COC(=O)C#CC(C)=O
98,2,CC(=O)C#[N+][N-]C#N.COC(=O)C#CC(C)=O
99,0,CC(=O)[C-](C)[N+]#N.CC1=C(C#N)C2C=CC1O2
100,0,CC(=O)[C-](C)[N+]#N.CC1=C(C#N)C2C=CC1O2
101,0,CC(=O)[C-](C)[N+]#N.CC1=C(C#N)C2C=CC1O2
102,0,CC(=O)[C-](C)[N+]#N.CC1=C(C#N)C2C=CC1O2
103,0,C=C(C(C)=O)C(C)=O.C[N-][N+](C)=CC(C)=O
105,3,C#CC(C)=O.CC(=O)c1oc(=O)[c-](C#N)[n+]1C
106,3,C#CC(C)=O.CC(=O)c1oc(=O)[c-](C#N)[n+]1C
107,4,CC#CC(F)(F)F.CC(=O)C#[N+][C-](C#N)C#N
108,4,CC#CC(F)(F)F.CC(=O)C#[N+][C-](C#N)C#N
109,0,CC(=O)C(C(C)=O)=C(C)C.CC(=O)C=[NH+][NH-]
110,0,CC(=O)C(C(C)=O)=C(C)C.CC(=O)C=[NH+][NH-]
112,1,CNC(=O)C=[NH+][NH-].COC(=O)C(F)=C(F)F
113,1,CNC(=O)C=[NH+][NH-].COC(=O)C(F)=C(F)F
114,2,CC(=O)C=[O+][C-](C)C#N.FC1=CC2C=CC1O2
115,2,CC(=O)C=[O+][C-](C)C#N.FC1=CC2C=CC1O2
118,1,CC(=O)C#CBr.[CH2-][O+]=C(C)C(C)=O
120,3,CC(C)=[N+](C)[O-].COC1=C(F)C2CCC1C2
121,3,CC(C)=[N+](C)[O-].COC1=C(F)C2CCC1C2
122,4,COC#Cc1ccccc1.C[C-](C#N)[O+]=CC#N
123,4,COC#Cc1ccccc1.C[C-](C#N)[O+]=CC#N
124,1,COC(=O)C1=C(Cl)C2C=CC1O2.C[CH-][N+]#N
125,1,COC(=O)C1=C(Cl)C2C=CC1O2.C[CH-][N+]#N
126,1,COC(=O)C1=C(Cl)C2C=CC1O2.C[CH-][N+]#N
127,1,COC(=O)C1=C(Cl)C2C=CC1O2.C[CH-][N+]#N
128,0,CC(=O)C#[N+][NH-].COC(=O)C1=CC2CCC1C2
129,0,CC(=O)C#[N+][NH-].COC(=O)C1=CC2CCC1C2
130,1,COC#CC(C)=O.COC(=O)N=[N+](C)[N-]C#N
131,1,COC#CC(C)=O.COC(=O)N=[N+](C)[N-]C#N
132,2,COC(=O)[N-][N+]#N.N#CC1=C(C#N)C2C=CC1O2
133,2,COC(=O)[N-][N+]#N.N#CC1=C(C#N)C2C=CC1O2
134,3,CC(=O)c1[nH+][c-](C)c(=O)o1.CNC(=O)C#CF
135,3,CC(=O)c1[nH+][c-](C)c(=O)o1.CNC(=O)C#CF
136,4,C#CC.CNC(=O)c1[nH+][c-](C(=O)NC)c(=O)o1
137,4,C#CC.CNC(=O)c1[nH+][c-](C(=O)NC)c(=O)o1
138,0,CC#CBr.C[CH-][O+]=C(C)C(=O)OC
139,0,CC#CBr.C[CH-][O+]=C(C)C(=O)OC
140,1,CC(=O)C=[NH+][O-].CC(C)=C(C)c1ccccc1
141,1,CC(=O)C=[NH+][O-].CC(C)=C(C)c1ccccc1
142,2,CC1=C(C)C2C=CC1O2.Cc1oc(=O)[n-][n+]1C
143,2,CC1=C(C)C2C=CC1O2.Cc1oc(=O)[n-][n+]1C
144,3,CC=[NH+][N-]C(=O)NC.COC(OC)=C(F)F
145,3,CC=[NH+][N-]C(=O)NC.COC(OC)=C(F)F
146,2,CC#CC.COC(=O)[C-](C(C)=O)[N+](C)=CC#N
147,3,C#CC(=O)OC.COC(=O)N=[NH+][N-]C(=O)OC
148,4,CC#[N+][CH-]C.CC(=O)C1=C(Cl)C2CCC1C2
149,4,CC#[N+][CH-]C.CC(=O)C1=C(Cl)C2CCC1C2
150,0,C[N-][NH+]=CC(=O)NC.FC1=C(F)C2C=CC1O2
151,0,C[N-][NH+]=CC(=O)NC.FC1=C(F)C2C=CC1O2
152,1,CC(=O)C#CF.C[N+](=CC#N)[CH-]c1ccccc1
153,1,CC(=O)C#CF.C[N+](=CC#N)[CH-]c1ccccc1
154,4,CC(c1ccccc1)=[N+](C)[O-].CO/C=C\OC
155,2,CC(=O)C=[O+][C-](C)C.COC(=O)C#CC(C)=O
156,2,CC(=O)C=[O+][C-](C)C.COC(=O)C#CC(C)=O
157,3,CC(=O)C#CCl.COC(=O)N=[O+][N-]C(C)=O
158,3,CC(=O)C#CCl.COC(=O)N=[O+][N-]C(C)=O
159,4,CC#[N+][O-].COC(=O)C1=C(Cl)C2CCC1C2
160,4,CC#[N+][O-].COC(=O)C1=C(Cl)C2CCC1C2
161,0,CNC(=O)c1[nH+][c-](C)c(=O)o1.COC#CCl
163,0,C#CC(=O)NC.CNC(=O)[N-][NH+]=CC(=O)OC
164,0,C#CC(=O)NC.CNC(=O)[N-][NH+]=CC(=O)OC
165,1,CNC(=O)[CH-][N+]#CC(C)=O.COC(=O)C#CC#N
166,1,CNC(=O)[CH-][N+]#CC(C)=O.COC(=O)C#CC#N
167,2,CC(C)=[N+](C)[C-](C)C.ClC1=CC2C=CC1O2
168,2,CC(C)=[N+](C)[C-](C)C.ClC1=CC2C=CC1O2
169,3,CC(=O)c1[nH+][c-](C)c(=O)o1.CNC(=O)C#CC#N
170,3,CC(=O)c1[nH+][c-](C)c(=O)o1.CNC(=O)C#CC#N
171,1,FC1=C(F)C2CCC1C2.[NH-][N+]#Cc1ccccc1
172,4,CC(=O)C#CF.CNC(=O)c1[nH+][c-](C#N)c(=O)o1
173,4,CC(=O)C#CF.CNC(=O)c1[nH+][c-](C#N)c(=O)o1
174,0,C=[N+](C)[CH-]C(C)=O.CC(=O)C#Cc1ccccc1
175,0,C=[N+](C)[CH-]C(C)=O.CC(=O)C#Cc1ccccc1
176,2,CC#[N+][N-]C(=O)NC.N#CC1=C(F)C2C=CC1O2
177,2,CC#[N+][N-]C(=O)NC.N#CC1=C(F)C2C=CC1O2
178,2,CC#[N+][N-]C(=O)NC.N#CC1=C(F)C2C=CC1O2
179,2,CC#[N+][N-]C(=O)NC.N#CC1=C(F)C2C=CC1O2
180,1,C#[N+][C-](C#N)C(=O)NC.CC(=O)C#CC(F)(F)F
181,1,C#[N+][C-](C#N)C(=O)NC.CC(=O)C#CC(F)(F)F
182,2,C=C(OC)OC.CNC(=O)C(=[NH+][O-])C(=O)OC
183,2,C=C(OC)OC.CNC(=O)C(=[NH+][O-])C(=O)OC
184,3,CC(=O)C(C#N)=[NH+][O-].N#CC1=C(C#N)C2C=CC1O2
185,3,CC(=O)C(C#N)=[NH+][O-].N#CC1=C(C#N)C2C=CC1O2
186,3,CC=[NH+][CH-]C(C)=O.COC1=C(C#N)C2C=CC1O2
187,3,CC=[NH+][CH-]C(C)=O.COC1=C(C#N)C2C=CC1O2
188,3,CC=[NH+][CH-]C(C)=O.COC1=C(C#N)C2C=CC1O2
189,3,CC=[NH+][CH-]C(C)=O.COC1=C(C#N)C2C=CC1O2
190,4,CC=[NH+][C-](C(C)=O)C(C)=O.CNC(=O)C#CC#N
191,4,CC=[NH+][C-](C(C)=O)C(C)=O.CNC(=O)C#CC#N
192,0,CC=[O+][C-](C)C#N.COC1=C(C#N)C2CCC1C2
193,0,CC=[O+][C-](C)C#N.COC1=C(C#N)C2CCC1C2
194,4,CC#[N+][CH-]C(C)=O.CC(=O)C1=C(C)C2C=CC1O2
195,4,CC#[N+][CH-]C(C)=O.CC(=O)C1=C(C)C2C=CC1O2
196,4,CC#[N+][CH-]C(C)=O.CC(=O)C1=C(C)C2C=CC1O2
197,4,CC#[N+][CH-]C(C)=O.CC(=O)C1=C(C)C2C=CC1O2
198,2,C#[N+][C-](c1ccccc1)c1ccccc1.CC#CC
199,0,C#[N+][CH-]C(C)=O.COC(=O)C1=C(F)C2C=CC1O2
200,0,C#[N+][CH-]C(C)=O.COC(=O)C1=C(F)C2C=CC1O2
201,0,C#[N+][CH-]C(C)=O.COC(=O)C1=C(F)C2C=CC1O2
202,0,C#[N+][CH-]C(C)=O.COC(=O)C1=C(F)C2C=CC1O2
203,1,C=CC(=O)OC.CC(=O)c1oc(=O)[c-](C#N)[n+]1C
204,1,C=CC(=O)OC.CC(=O)c1oc(=O)[c-](C#N)[n+]1C
205,2,CC(=O)C#[N+][C-](C(C)=O)C(C)=O.COC#CCl
206,2,CC(=O)C#[N+][C-](C(C)=O)C(C)=O.COC#CCl
207,3,CC(=O)c1oc(=O)[c-](C)[o+]1.CNC(=O)C#COC
208,3,CC(=O)c1oc(=O)[c-](C)[o+]1.CNC(=O)C#COC
209,4,COC#CC(=O)OC.N#CC#[N+][CH-]c1ccccc1
210,4,COC#CC(=O)OC.N#CC#[N+][CH-]c1ccccc1
211,3,COC#COC.COC(=O)[C-](C#N)[O+]=CC(C)=O
212,1,CC(C)=[O+][C-](C)C#N.COC1=C(C)C2C=CC1O2
213,1,CC(C)=[O+][C-](C)C#N.COC1=C(C)C2C=CC1O2
214,1,CC(C)=[O+][C-](C)C#N.COC1=C(C)C2C=CC1O2
215,1,CC(C)=[O+][C-](C)C#N.COC1=C(C)C2C=CC1O2
216,0,COC#CF.C[N+]([N-]c1ccccc1)=C(C#N)C#N
217,0,COC#CF.C[N+]([N-]c1ccccc1)=C(C#N)C#N
218,1,C=CC(C)=O.N#Cc1oc(=O)[c-](-c2ccccc2)[o+]1
219,1,C=CC(C)=O.N#Cc1oc(=O)[c-](-c2ccccc2)[o+]1
220,4,C1=CC2CCC1C2.COC(=O)c1oc(=O)[n-][n+]1C
221,2,CC1=C(C#N)C2CCC1C2.CNC(=O)C(C)=[NH+][NH-]
222,2,CC1=C(C#N)C2CCC1C2.CNC(=O)C(C)=[NH+][NH-]
224,0,CN=[NH+][NH-].FC1(Br)C#CCCCCC1
225,3,CC#[N+][N-]C#N.COC1(Cl)C#CCCCCC1
226,3,CC#[N+][N-]C#N.COC1(Cl)C#CCCCCC1
227,4,CC#CC#N.CNC(=O)[C-](C#N)[NH+]=C(C#N)C(C)=O
228,4,CC#CC#N.CNC(=O)[C-](C#N)[NH+]=C(C#N)C(C)=O
231,0,COC(=O)[C-](C)[N+]#N.COC1=C(F)C2CCC1C2
232,0,COC(=O)[C-](C)[N+]#N.COC1=C(F)C2CCC1C2
233,1,CC#[N+][C-](C#N)C(=O)OC.CO/C(F)=C(\F)OC
234,2,CNC(=O)C(C)=[NH+][C-](C)C.FC1=CC2C=CC1O2
235,2,CNC(=O)C(C)=[NH+][C-](C)C.FC1=CC2C=CC1O2
236,2,CNC(=O)C(C)=[NH+][C-](C)C.FC1=CC2C=CC1O2
237,2,CNC(=O)C(C)=[NH+][C-](C)C.FC1=CC2C=CC1O2
238,1,CC(=O)C#CCl.CC(=O)[N-][N+]#Cc1ccccc1
239,1,CC(=O)C#CCl.CC(=O)[N-][N+]#Cc1ccccc1
240,2,CC(=O)C1=C(C)C2CCC1C2.CC=[NH+][N-]C(C)=O
241,2,CC(=O)C1=C(C)C2CCC1C2.CC=[NH+][N-]C(C)=O
242,3,C[N-][N+]#CC(=O)NC.FC1=C(Cl)C2CCC1C2
243,3,C[N-][N+]#CC(=O)NC.FC1=C(Cl)C2CCC1C2
244,4,CC(=O)C#CCl.[CH2-][N+](C)=C(C#N)c1ccccc1
245,4,CC(=O)C#CCl.[CH2-][N+](C)=C(C#N)c1ccccc1
246,0,CC#CC#N.CNC(=O)[CH-][N+](C)=Cc1ccccc1
247,0,CC#CC#N.CNC(=O)[CH-][N+](C)=Cc1ccccc1
248,1,C#Cc1ccccc1.CC(=O)[N-][N+]#Cc1ccccc1
249,1,C#Cc1ccccc1.CC(=O)[N-][N+]#Cc1ccccc1
251,2,CNC(=O)c1[nH+][c-](C#N)c(=O)o1.COC(=O)C#CF
252,3,CC(C)=[O+][C-](C#N)C#N.CNC(=O)C#CC(=O)NC
255,2,C#Cc1ccccc1.COC(=O)[N-][O+]=C(C)C(C)=O
256,2,C#Cc1ccccc1.COC(=O)[N-][O+]=C(C)C(C)=O
257,3,CC(C)=[N+](C)[CH-]C#N.CNC(=O)C#CBr
258,3,CC(C)=[N+](C)[CH-]C#N.CNC(=O)C#CBr
259,4,C#Cc1ccccc1.CC(=O)[CH-][N+]#Cc1ccccc1
260,4,C#Cc1ccccc1.CC(=O)[CH-][N+]#Cc1ccccc1
261,0,CNC(=O)C#CBr.COC(=O)[C-](C)[N+]#N
262,0,CNC(=O)C#CBr.COC(=O)[C-](C)[N+]#N
263,1,CC(=O)C#[N+][C-](C)C.COC(=O)C#CBr
264,1,CC(=O)C#[N+][C-](C)C.COC(=O)C#CBr
265,2,C#CC(=O)NC.CNC(=O)c1oc(=O)[c-](C#N)[n+]1C
266,2,C#CC(=O)NC.CNC(=O)c1oc(=O)[c-](C#N)[n+]1C
267,3,CC#CCl.CNC(=O)C(=[O+][C-](C#N)C#N)C(C)=O
268,3,CC#CCl.CNC(=O)C(=[O+][C-](C#N)C#N)C(C)=O
269,4,CN=[O+][N-]C#N.COC(=O)C1=C(C#N)C2CCC1C2
270,4,CN=[O+][N-]C#N.COC(=O)C1=C(C#N)C2CCC1C2
271,3,CC(=O)C(=[NH+][NH-])C(C)=O.CC1=C(C#N)C2C=CC1O2
272,3,CC(=O)C(=[NH+][NH-])C(C)=O.CC1=C(C#N)C2C=CC1O2
273,3,CC(=O)C(=[NH+][NH-])C(C)=O.CC1=C(C#N)C2C=CC1O2
274,3,CC(=O)C(=[NH+][NH-])C(C)=O.CC1=C(C#N)C2C=CC1O2
275,0,CNC(=O)C1=C(C)C2CCC1C2.C[C-](C)[N+]#CC#N
276,0,CNC(=O)C1=C(C)C2CCC1C2.C[C-](C)[N+]#CC#N
278,4,CC#[N+][CH-]C#N.CNC(=O)C1=C(OC)C2CCC1C2
279,1,CC(=O)C1=C(C#N)C2CCC1C2.CNC(=O)C=[NH+][NH-]
280,1,CC(=O)C1=C(C#N)C2CCC1C2.CNC(=O)C=[NH+][NH-]
281,2,CC(=O)C#CC#N.CNC(=O)C(C(=O)OC)=[N+](C)[NH-]
282,2,CC(=O)C#CC#N.CNC(=O)C(C(=O)OC)=[N+](C)[NH-]
283,4,COC1=C(C#N)C2C=CC1O2.[CH2-][N+]#Cc1ccccc1
284,4,COC1=C(C#N)C2C=CC1O2.[CH2-][N+]#Cc1ccccc1
285,4,COC1=C(C#N)C2C=CC1O2.[CH2-][N+]#Cc1ccccc1
286,4,COC1=C(C#N)C2C=CC1O2.[CH2-][N+]#Cc1ccccc1
287,0,CC(C#N)=[O+][O-].COC(=O)C1=C(OC)C2C=CC1O2
288,0,CC(C#N)=[O+][O-].COC(=O)C1=C(OC)C2C=CC1O2
289,0,CC(C#N)=[O+][O-].COC(=O)C1=C(OC)C2C=CC1O2
290,0,CC(C#N)=[O+][O-].COC(=O)C1=C(OC)C2C=CC1O2
291,3,C[CH-][N+](C)=C(C)C#N.N#CC1=C(Cl)C2CCC1C2
292,3,C[CH-][N+](C)=C(C)C#N.N#CC1=C(Cl)C2CCC1C2
293,1,CC(=O)[CH-][N+](C)=CC#N.COC1=C(C)C2C=CC1O2
294,1,CC(=O)[CH-][N+](C)=CC#N.COC1=C(C)C2C=CC1O2
295,1,CC(=O)[CH-][N+](C)=CC#N.COC1=C(C)C2C=CC1O2
296,1,CC(=O)[CH-][N+](C)=CC#N.COC1=C(C)C2C=CC1O2
297,4,CC=[NH+][N-]C.COC1C#CC(C#N)(C#N)CCCC1
298,4,CC=[NH+][N-]C.COC1C#CC(C#N)(C#N)CCCC1
299,0,CNC(=O)C(C)=[NH+][O-].COC(=O)C#CBr
300,0,CNC(=O)C(C)=[NH+][O-].COC(=O)C#CBr
301,0,C#[N+][C-](C#N)C(C)=O.ClC1=C(Cl)C2CCC1C2
302,1,CC#CC(F)(F)F.CNC(=O)c1oc(=O)[c-](C#N)[o+]1
303,1,CC#CC(F)(F)F.CNC(=O)c1oc(=O)[c-](C#N)[o+]1
304,2,C#CC(=O)OC.COC(=O)[N-][O+]=C(C(C)=O)C(C)=O
305,2,C#CC(=O)OC.COC(=O)[N-][O+]=C(C(C)=O)C(C)=O
306,3,CNC(=O)[C-]([N+]#CC(C)=O)C(C)=O.COC#CCl
307,3,CNC(=O)[C-]([N+]#CC(C)=O)C(C)=O.COC#CCl
308,4,C#[N+][C-](C)C(=O)OC.COC1=C(OC)C2C=CC1O2
309,4,C#[N+][C-](C)C(=O)OC.COC1=C(OC)C2C=CC1O2
310,2,CC(=O)C#[N+][CH-]c1ccccc1.FC1=CC2C=CC1O2
311,2,CC(=O)C#[N+][CH-]c1ccccc1.FC1=CC2C=CC1O2
312,2,CC(=O)C#[N+][CH-]c1ccccc1.FC1=CC2C=CC1O2
313,2,CC(=O)C#[N+][CH-]c1ccccc1.FC1=CC2C=CC1O2
314,1,C1=CC2C=CC1O2.C[CH-][O+]=C(C(=O)NC)C(=O)OC
315,4,COC(=O)C=[NH+][N-]C(C)=O.ClC1=CC2C=CC1O2
316,4,COC(=O)C=[NH+][N-]C(C)=O.ClC1=CC2C=CC1O2
317,4,COC(=O)C=[NH+][N-]C(C)=O.ClC1=CC2C=CC1O2
319,0,C#CC(C)=O.CNC(=O)C(=[O+][C-](C)C(C)=O)C(C)=O
320,0,C#CC(C)=O.CNC(=O)C(=[O+][C-](C)C(C)=O)C(C)=O
321,1,N#CC1=C(Br)C2CCC1C2.[CH2-][O+]=CC(C)=O
322,1,N#CC1=C(Br)C2CCC1C2.[CH2-][O+]=CC(C)=O
323,2,CNC(=O)C1C#CC(C#N)(C#N)CCCC1.[CH2-][N+]#CC
325,2,CC#CC(F)(F)F.CC(=O)C=[O+][C-](C(C)=O)C(C)=O
326,2,CC#CC(F)(F)F.CC(=O)C=[O+][C-](C(C)=O)C(C)=O
327,3,CC(=O)N=[NH+][N-]c1ccccc1.CC1=CC2C=CC1O2
328,3,CC(=O)N=[NH+][N-]c1ccccc1.CC1=CC2C=CC1O2
329,3,CC(=O)N=[NH+][N-]c1ccccc1.CC1=CC2C=CC1O2
330,3,CC(=O)N=[NH+][N-]c1ccccc1.CC1=CC2C=CC1O2
331,3,CC(=O)C(C)=C(C)C.CNC(=O)c1[nH+][c-](C)c(=O)o1
332,3,CC(=O)C(C)=C(C)C.CNC(=O)c1[nH+][c-](C)c(=O)o1
334,3,C#COC.CNC(=O)[N-][O+]=C(C(=O)NC)C(=O)NC
335,4,COC(=O)C#CCl.COC(=O)C=[O+][CH-]C(=O)OC
336,4,CNC(=O)C#CC(C)=O.COC(=O)C(C#N)=[O+][N-]C#N
337,4,CNC(=O)C#CC(C)=O.COC(=O)C(C#N)=[O+][N-]C#N
338,0,C=CC(C)=O.CNC(=O)C(C#N)=[O+][CH-]c1ccccc1
339,0,C=CC(C)=O.CNC(=O)C(C#N)=[O+][CH-]c1ccccc1
340,1,CC#CC(=O)NC.COC(=O)[C-]([NH+]=C(C)C)C(C)=O
341,1,CC#CC(=O)NC.COC(=O)[C-]([NH+]=C(C)C)C(C)=O
344,2,CNC(=O)C#CC(C)=O.CNC(=O)[C-](C#N)[O+]=CC#N
345,2,CNC(=O)C#CC(C)=O.CNC(=O)[C-](C#N)[O+]=CC#N
346,3,CNC(=O)[CH-][O+]=C(C)C(=O)NC.COC#CC(C)=O
347,3,CNC(=O)[CH-][O+]=C(C)C(=O)NC.COC#CC(C)=O
348,4,CC#CF.CNC(=O)[c-]1[nH+]c(-c2ccccc2)oc1=O
349,4,CC#CF.CNC(=O)[c-]1[nH+]c(-c2ccccc2)oc1=O
350,0,CC1=C(C(F)(F)F)C2CCC1C2.C[CH-][NH+]=C(C)C#N
351,0,CC1=C(C(F)(F)F)C2CCC1C2.C[CH-][NH+]=C(C)C#N
352,1,CC1=CC2CCC1C2.COC(=O)[C-](C#N)[N+](C)=CC#N
353,1,CC1=CC2CCC1C2.COC(=O)[C-](C#N)[N+](C)=CC#N
354,4,CC(=O)C(=[NH+][CH-]C#N)C(C)=O.COC1=CC2C=CC1O2
355,4,CC(=O)C(=[NH+][CH-]C#N)C(C)=O.COC1=CC2C=CC1O2
356,4,CC(=O)C(=[NH+][CH-]C#N)C(C)=O.COC1=CC2C=CC1O2
357,4,CC(=O)C(=[NH+][CH-]C#N)C(C)=O.COC1=CC2C=CC1O2
358,2,C=[N+](C)[C-](C#N)C(=O)NC.N#CC1=C(F)C2CCC1C2
359,2,C=[N+](C)[C-](C#N)C(=O)NC.N#CC1=C(F)C2CCC1C2
360,3,COC#CC(=O)OC.COC(=O)C=[N+](C)[C-](C#N)C#N
361,3,COC#CC(=O)OC.COC(=O)C=[N+](C)[C-](C#N)C#N
362,4,CNC(=O)C(C)=[NH+][C-](C#N)C#N.COC#CC(=O)OC
363,4,CNC(=O)C(C)=[NH+][C-](C#N)C#N.COC#CC(=O)OC
364,0,COC#CC#N.COC(=O)C(C(=O)OC)=[N+](C)[N-]C#N
365,0,COC#CC#N.COC(=O)C(C(=O)OC)=[N+](C)[N-]C#N
366,0,C1=CC2C=CC1O2.CC(=[NH+][C-](C#N)C#N)c1ccccc1
367,1,C#[N+][N-]C(C)=O.ClC1=C(Br)C2CCC1C2
368,1,C#[N+][N-]C(C)=O.ClC1=C(Br)C2CCC1C2
369,1,COC(=O)C=[O+][NH-].COC1C#CC(C)(C)CCCC1
371,0,CNC(=O)[C-](C#N)[NH+]=CC(C)=O.FC1=CC2C=CC1O2
372,0,CNC(=O)[C-](C#N)[NH+]=CC(C)=O.FC1=CC2C=CC1O2
373,0,CNC(=O)[C-](C#N)[NH+]=CC(C)=O.FC1=CC2C=CC1O2
374,0,CNC(=O)[C-](C#N)[NH+]=CC(C)=O.FC1=CC2C=CC1O2
375,2,C#[N+][C-](C)C(=O)NC.CC(=O)C1=C(C#N)C2CCC1C2
