rxn_id,ts_file,n_atoms,n_f1,n_f2,rel1_file,rel2_file,formed_d1,formed_d2,eda_exists
201,TS_ts_guess_OHa82z_template_4-5_7-11.xyz,30,19,11,r1_C8FH7O3.xyz,r0_C4H5NO.xyz,2.502206483965702,2.4568188161930054,True
266,TS_ts_guess_oOZamv_template_4-14_5-6.xyz,31,11,20,r0_C4H5NO.xyz,r1_C7H7N3O3.xyz,2.587708294398733,1.9533794132477182,True
269,TS_ts_guess_s_97si_template_4-17_10-13.xyz,33,24,9,r1_C10H11NO2.xyz,r0_C2H3N3O.xyz,2.2375916234648363,2.403109904519558,True
270,TS_ts_guess_tHcjIt_template_4-16_10-13.xyz,33,24,9,r1_C10H11NO2.xyz,r0_C2H3N3O.xyz,2.3235806037019673,2.2689586210638573,True
287,TS_ts_guess_9YZD-J_template_11-15_12-13.xyz,32,23,9,r1_C9H10O4.xyz,r0_C3H3NO2.xyz,2.3936518834199765,2.436245905917545,True
289,TS_ts_guess_LHbtkD_template_4-5_7-11.xyz,32,23,9,r1_C9H10O4.xyz,r0_C3H3NO2.xyz,2.258924848462206,2.476432655858019,True
299,TS_ts_guess_-_cB67_template_4-10_7-8.xyz,26,16,10,r0_C4H8N2O2.xyz,r1_BrC4H3O2.xyz,2.6095687891680495,1.7670169239993148,True
308,TS_ts_guess_L0uR_l_template_4-16_7-8.xyz,36,15,21,r0_C5H7NO2.xyz,r1_C8H10O3.xyz,2.9059889411007744,2.3596274586044297,True
454,TS_ts_guess_4qsZbF_template_4-16_6-13.xyz,39,20,19,r0_C7H7NO5.xyz,r1_C6H12O.xyz,2.730226924378265,2.012606910675803,True
458,TS_ts_guess_qysXYc_template_4-16_7-9.xyz,35,18,17,r0_C4H9N3O2.xyz,r1_C7ClH7O2.xyz,2.256444188740329,2.300121294845122,True
486,TS_ts_guess_lAu1L-_template_4-16_10-13.xyz,37,21,16,r1_C9H8N2O2.xyz,r0_C4H8N2O2.xyz,2.1312631639710755,2.3120817554749227,True
492,TS_ts_guess_c4hZZF_template_4-18_7-8.xyz,34,14,20,r0_C4H6O4.xyz,r1_C8F4H8.xyz,2.4935682072283485,2.3101084547267474,True
493,TS_ts_guess_xFeXuM_template_4-15_7-8.xyz,34,14,20,r0_C4H6O4.xyz,r1_C8F4H8.xyz,2.652921483666639,2.2786671434415338,True
499,TS_ts_guess_sSSk3b_template_2-3_6-13.xyz,37,17,20,r1_C7ClH7O2.xyz,r0_C8H10N2.xyz,2.333544918980563,2.4142981803000225,True
516,TS_ts_guess_vbIQSf_template_4-18_9-10.xyz,42,17,25,r1_C5H7N3O2.xyz,r0_C11H14.xyz,2.270912484751449,2.01358786301964,True
518,TS_ts_guess_xGOiNK_template_4-18_9-14.xyz,30,20,10,r0_C8H6N4O2.xyz,r1_C3F3H3O.xyz,2.304281515874308,2.3545819445498175,True
520,TS_ts_guess_nKsdVG_template_8-9_11-19.xyz,36,17,19,r1_C7ClH7O2.xyz,r0_C8H9NO.xyz,2.4034171830333575,2.5495119228197383,True
521,TS_ts_guess_6UFP5n_template_8-12_9-10.xyz,36,17,19,r1_C7ClH7O2.xyz,r0_C8H9NO.xyz,2.5330607291772536,2.455071158846521,True
526,TS_ts_guess_E5aD6q_template_4-14_5-7.xyz,33,10,23,r0_C4ClH3O2.xyz,r1_C8H10N2O3.xyz,2.7370475766781985,2.1637235241823296,True
592,TS_ts_guess_vPslVQ_template_4-5_7-15.xyz,42,23,19,r1_C9H11NO2.xyz,r0_C8H9NO.xyz,2.058758730230427,2.261516386277137,True
596,TS_ts_guess_Q2vhIQ_template_4-21_8-11.xyz,38,15,23,r0_C5H4N4O2.xyz,r1_C9H12O2.xyz,2.1874286303786006,2.246778485053656,True
617,TS_ts_guess_P62HeI_template_4-5_8-14.xyz,40,24,16,r1_C10H11NO2.xyz,r0_C5H7N3O.xyz,1.9039347570229397,2.7116116721426025,True
665,TS_ts_guess_2rr89D_template_4-21_5-10.xyz,33,13,20,r1_C5F3H3O2.xyz,r0_C9H8O3.xyz,2.1771378901668124,2.3941096915972753,True
666,TS_ts_guess_A_pz52_template_4-12_5-10.xyz,33,13,20,r1_C5F3H3O2.xyz,r0_C9H8O3.xyz,2.577226547143266,2.031654403042013,True
686,TS_ts_guess_JL_tXn_template_15-19_16-17.xyz,39,30,9,r0_C14H13NO2.xyz,r1_C3H3N3.xyz,2.3412228360410294,2.276120710968555,True
747,TS_ts_guess_hvUnYP_template_3-21_7-12.xyz,34,15,19,r0_C7H3N3O2.xyz,r1_C9H7NO2.xyz,2.6050075782039483,2.44680082953231,True
749,TS_ts_guess_1IUzsp_template_4-22_6-16.xyz,42,25,17,r1_C11H9NO4.xyz,r0_C7H10.xyz,2.459391237704973,2.040600058928746,True
755,TS_ts_guess_W4L5Iv_template_4-18_7-8.xyz,43,15,28,r0_C4H7NO3.xyz,r1_C11H14O3.xyz,2.5367346160369237,2.2474540637129823,True
769,TS_ts_guess_YsbCM8_template_4-5_8-14.xyz,38,20,18,r0_C8ClH8NO2.xyz,r1_C5H9NO3.xyz,2.054852133706949,2.278212831629214,True
803,TS_ts_guess_JdGwbr_template_4-18_9-10.xyz,39,18,21,r0_C5H8N2O3.xyz,r1_C9H8N2O2.xyz,2.213757373087665,2.0332483880480514,True
806,TS_ts_guess_yl_WEx_template_4-20_9-10.xyz,39,18,21,r0_C5H8N2O3.xyz,r1_C9H8N2O2.xyz,2.347251993502189,1.9457082873853417,True
822,TS_ts_guess_ryhs0s_template_3-22_6-9.xyz,44,21,23,r0_C7H12O2.xyz,r1_C12FH9O.xyz,2.7522345479446333,2.5983524138576737,True
845,TS_ts_guess_2nPI9m_template_4-20_8-11.xyz,40,17,23,r1_C5H6N2O4.xyz,r0_C10H11NO.xyz,2.32939479672296,1.7982964227846308,True
864,TS_ts_guess_QxmPR7_template_3-4_12-13.xyz,31,18,13,r0_C7H7N3O.xyz,r1_BrC6FH4O.xyz,2.2348068403555597,2.6757876757695107,True
890,TS_ts_guess_CrB0-M_template_4-16_10-11.xyz,42,23,19,r1_C9H12O2.xyz,r0_C7H7NO4.xyz,2.201576803793136,2.1311675720599728,True
903,TS_ts_guess_22EI-f_template_4-13_5-9.xyz,40,16,24,r0_C6H7NO2.xyz,r1_C10H9N3O2.xyz,2.303938055959838,2.3856308046510466,True
912,TS_ts_guess_LXu5f4_template_4-17_9-10.xyz,40,17,23,r0_C5H7N3O2.xyz,r1_C9ClH11O2.xyz,2.3595396627732277,1.9896687367247845,True
923,TS_ts_guess_7UF2e1_template_4-20_10-12.xyz,44,24,20,r0_C9FH12NO.xyz,r1_C7H9NO3.xyz,2.4361640277493635,2.4980164003865144,True
944,TS_ts_guess_wB2IYp_template_4-9_17-19.xyz,41,22,19,r0_C8H8N4O2.xyz,r1_C8H9NO.xyz,2.382534140489911,2.284784385450846,True
973,TS_ts_guess_OanA3M_template_4-17_8-9.xyz,43,12,31,r0_C4H3N3O2.xyz,r1_C14H16O.xyz,2.5167316341239085,2.0059590963177687,True
1023,TS_ts_guess_yNid4O_template_12-20_13-14.xyz,41,25,16,r0_C10H11NO3.xyz,r1_C6H6N2O2.xyz,2.504193151196609,2.1388251828048035,True
1025,TS_ts_guess_p1XsxR_template_1-18_3-16.xyz,44,30,14,r0_C14H14N2.xyz,r1_C8FH5.xyz,2.552181829494129,2.202950537324885,True
1026,TS_ts_guess__8o-h__template_4-18_10-15.xyz,37,26,11,r0_C8H11N3O4.xyz,r1_C4F3H3O.xyz,2.785851293967429,2.217271586251896,True
1051,TS_ts_guess_P7oyXA_template_4-17_10-12.xyz,42,24,18,r0_C9FH12NO.xyz,r1_C7H6N2O3.xyz,2.6092569757308306,2.5046864858101503,True
1059,TS_ts_guess_HsXg2y_template_4-16_10-12.xyz,41,23,18,r0_C9FH11O2.xyz,r1_C10H5N3.xyz,2.8152878067082234,2.235930970781522,True
1086,TS_0-C7ox_ll_ad_12-17_13-14.xyz,40,24,16,r0_C10H10O4.xyz,r1_C5H6N2O3.xyz,2.7908624349293896,2.2034446130320586,True
1109,TS_ts_guess_8QDUDT_template_4-18_8-11.xyz,33,15,18,r0_C5H4N4O2.xyz,r1_BrC8H8N.xyz,2.4887339748554886,2.3820019808975808,True
1147,TS_ts_guess_3N8I9n_template_15-21_16-17.xyz,49,35,14,r1_C13H18O4.xyz,r0_C4H7N3.xyz,2.2409254421778515,2.269790630212399,True
1160,TS_ts_guess_eQM2up_template_4-19_8-11.xyz,37,16,21,r0_C6H5N3O2.xyz,r1_BrC8H11O.xyz,2.7770732461532233,2.6581176800510544,True
1273,TS_ts_guess_Od0CBA_template_4-23_10-12.xyz,48,23,25,r0_C9FH11O2.xyz,r1_C11H12O2.xyz,2.5662889526123123,2.7210066216383963,True
1300,TS_ts_guess_HNfMlo_template_10-19_11-12.xyz,44,22,22,r1_C9H10O3.xyz,r0_C8H9NO4.xyz,2.140698924043267,2.3510624511909506,True
1378,TS_BiVSNQ_hl_ad_4-16_10-13.xyz,49,25,24,r0_C10H12N2O.xyz,r1_C10H11NO2.xyz,2.625023141345615,2.293420663441402,True
1461,TS_ts_guess_lHlKKO_template_4-25_10-13.xyz,44,21,23,r1_C6H8N4O3.xyz,r0_C10H10O3.xyz,2.3613027638784487,2.1185068872439383,True
1477,TS_JFBrCn_hl_ad_4-23_6-13.xyz,40,21,19,r1_C8H8N2O3.xyz,r0_C8ClH7O3.xyz,2.4254997845804893,2.391507680167471,True
1479,TS_XqLWBz_ll_ad_4-20_6-13.xyz,40,21,19,r1_C8H8N2O3.xyz,r0_C8ClH7O3.xyz,2.279834457784161,2.2814323311682947,True
1511,TS_ts_guess_ltyjyS_template_9-13_10-11.xyz,47,21,26,r0_C9ClH10N.xyz,r1_C13H11NO.xyz,2.3221272838929394,1.9670375378472065,True
1515,TS_ts_guess_kXa0mJ_template_11-22_12-13.xyz,46,24,22,r0_C9H11NO3.xyz,r1_C7H9N3O3.xyz,2.2127866508997203,2.4868534685823365,True
1557,TS_ts_guess_NLjLSD_template_4-24_7-16.xyz,45,27,18,r0_C11H11N3O2.xyz,r1_C8ClH8N.xyz,2.030366184977478,2.63962855381207,True
1564,TS_ts_guess_O_66LK_template_4-26_6-10.xyz,48,19,29,r0_C6H9N3O.xyz,r1_C14H12O3.xyz,2.382261823519825,2.5613188243559217,True
1631,TS_ts_guess_OkPwjb_template_14-18_15-16.xyz,46,30,16,r0_C11F3H14NO.xyz,r1_C8H5N3.xyz,2.334266021472274,2.276293791319565,True
1699,TS_ts_guess_dHG2sJ_template_4-8_20-21.xyz,49,26,23,r1_C8H12N2O4.xyz,r0_C10H10O3.xyz,2.559242819741808,2.2241094227353115,True
1702,TS_lkDVjU_ll_ad_4-22_10-17.xyz,45,29,16,r1_C11H12N2O4.xyz,r0_C6F2H6O2.xyz,2.032336128375422,2.120648918609584,True
1703,TS_ts_guess_gKp9tX_template_4-26_9-16.xyz,48,29,19,r0_C10H13NO5.xyz,r1_C8H8O3.xyz,2.5697949986137028,2.6714445434258973,True
1725,TS_ts_guess_DNSSPJ_template_3-6_16-17.xyz,44,28,16,r0_C13H11N3O.xyz,r1_C7F3H5O.xyz,2.3692757959342767,2.364519398841972,True
1748,TS_ts_guess_TKgGJR_template_4-24_11-18.xyz,53,35,18,r0_C11H17N3O4.xyz,r1_C8H9N.xyz,2.610948384208313,2.2164293169194456,True
1752,TS_ts_guess_KyFCTZ_template_4-23_6-16.xyz,49,26,23,r1_C11H10N2O3.xyz,r0_C9H11NO2.xyz,2.1270030005855656,2.392586391104823,True
1853,TS_ts_guess_H9-qWU_template_4-20_10-15.xyz,44,28,16,r1_C9H13NO5.xyz,r0_C6Cl2H6O2.xyz,2.531791345826113,2.481532600148545,True
1878,TS_ts_guess_t5WUhQ_template_3-24_8-17.xyz,46,29,17,r1_C13H12N2O2.xyz,r0_BrC7H9.xyz,2.2118069453277336,2.5418125873871977,True
1906,TS_ts_guess_MREXCf_template_4-7_8-9.xyz,53,18,35,r0_C6H8N2O2.xyz,r1_C17H16N2.xyz,2.602733670124548,2.1953474501089802,True
1913,TS_ts_guess_OLUikh_template_4-24_9-16.xyz,52,28,24,r0_C11H12N4O.xyz,r1_C10H11NO2.xyz,2.253320466200935,2.0410731108169546,True
1967,TS_ts_guess_lefIyO_template_4-25_6-15.xyz,52,24,28,r1_C11H9NO3.xyz,r0_C11H14O3.xyz,2.370714033724861,2.753344884699336,True
1986,TS_ts_guess_m_RxzE_template_4-26_8-14.xyz,51,24,27,r0_C8H10N2O4.xyz,r1_C13H12O2.xyz,2.5528723670602886,1.989074695103228,True
2016,TS_ts_guess__31Wsi_template_4-23_10-13.xyz,49,27,22,r0_C8H14N2O3.xyz,r1_C9F3H7O3.xyz,2.6293739282574475,2.6627742432658463,True
2021,TS_ts_guess_hSqA0p_template_4-29_12-15.xyz,51,24,27,r0_C10H9N3O2.xyz,r1_C13H12O2.xyz,2.2334000387077992,2.4393357545651644,True
2097,TS_ts_guess_2sWLlL_template_4-23_12-13.xyz,52,22,30,r0_C9H9N3O.xyz,r1_C14F3H13.xyz,2.383859818298886,2.0634073768890135,True
2099,TS_ts_guess_6dCe5s_template_13-18_14-15.xyz,57,32,25,r0_C12FH17O2.xyz,r1_C10H11NO3.xyz,2.743798859045612,2.2913424509880667,True
2123,TS_ts_guess_G5sbvs_template_4-14_12-13.xyz,49,22,27,r1_C9H9NO3.xyz,r0_C12ClH11N2O.xyz,2.6563319405714343,2.176077641514659,True
2138,TS_ts_guess_8NfWkc_template_4-21_7-8.xyz,55,15,40,r1_C3H7N3O2.xyz,r0_C18H18N2O2.xyz,1.928193024310585,2.026603002094885,True
2168,TS_ts_guess_730smY_template_16-24_17-18.xyz,48,34,14,r0_C12ClFH16N2O2.xyz,r1_C4H4N2O4.xyz,2.1641562502970992,2.5457442346983723,True
2201,TS_ts_guess_goLGLV_template_4-29_12-15.xyz,44,25,19,r0_C11H10N2O2.xyz,r1_C8F6H4O.xyz,2.715894580170593,2.7897361030212156,True
2205,TS_ts_guess_GgtUIh_template_20-27_21-22.xyz,53,41,12,r1_C17F3H19O2.xyz,r0_C4H4N4.xyz,2.2822478050378314,2.299089499802041,True
2269,TS_ts_guess_HCKqJB_template_4-6_14-15.xyz,52,36,16,r1_C14H18N2O2.xyz,r0_BrC7H7O.xyz,2.4218305269155396,2.560245196577859,True
2295,TS_ts_guess_SJZ2UV_template_1-19_3-16.xyz,63,31,32,r1_C15H15N.xyz,r0_C16H16.xyz,2.1306101342807886,2.5283312932248414,True
2298,TS_ts_guess_0actH2_template_3-19_6-9.xyz,56,15,41,r1_C5H6N2O2.xyz,r0_C22H18O.xyz,2.544621714479384,2.3046584236931946,True
2299,TS_ts_guess_VJ99SQ_template_3-22_6-9.xyz,56,15,41,r1_C5H6N2O2.xyz,r0_C22H18O.xyz,2.2233036029521474,2.407078604657521,True
2310,TS_ts_guess_HRFstW_template_14-25_15-16.xyz,56,27,29,r1_C10F5H11O.xyz,r0_C12H15NO.xyz,2.5412592707356723,2.550504641615067,True
2326,TS_ts_guess_pzrARG_template_4-17_9-16.xyz,54,26,28,r0_C9H10N2O5.xyz,r1_C10F2H14O2.xyz,2.6582795775463497,2.608079355330278,True
2353,TS_ts_guess_I8m_Iy_template_4-29_11-17.xyz,59,33,26,r1_C10H16N2O5.xyz,r0_C13H12O.xyz,2.4960294199588273,2.4293143944948747,True
2402,TS_ts_guess_R1jOHX_template_20-25_21-22.xyz,53,38,15,r1_C14F3H16N3O2.xyz,r0_C5H6N2O2.xyz,2.324319914426584,1.9565425511345262,True
2416,TS_ts_guess_rCoTMl_template_4-29_12-19.xyz,58,34,24,r0_C15H15N3O.xyz,r1_C9H11NO3.xyz,2.283703993997471,2.3148382147571347,True
2456,TS_ts_guess_BBWITw_template_4-25_7-15.xyz,57,28,29,r0_C8H13N3O4.xyz,r1_C14H12O3.xyz,2.11835759327834,2.4455750208488802,True
2457,TS_ts_guess_DQ2Hfz_template_4-27_7-15.xyz,57,28,29,r0_C8H13N3O4.xyz,r1_C14H12O3.xyz,2.0373671057273897,2.5418289472936606,True
2459,TS_ts_guess_gBAVMI_template_4-5_21-22.xyz,57,28,29,r0_C8H13N3O4.xyz,r1_C14H12O3.xyz,2.192615947059585,2.6418178345222825,True
2509,TS_ts_guess_ZYUMpq_template_4-14_6-13.xyz,54,21,33,r0_C6H8N4O3.xyz,r1_C13FH14NO4.xyz,2.1971569620307063,2.339927789826003,True
2541,TS_ts_guess_1aUSjL_template_4-26_10-14.xyz,63,26,37,r0_C8H12N2O4.xyz,r1_C19H18.xyz,2.3541888353528484,2.0828947393711474,True
2600,TS_ts_guess_Rfip_w_template_4-23_12-16.xyz,51,28,23,r1_C11H12N2O3.xyz,r0_BrC12H9O.xyz,2.547716789244833,2.267461278809409,True
2678,TS_ts_guess_va58TP_template_4-25_10-17.xyz,51,29,22,r1_C11H12N2O4.xyz,r0_C8F6H6O2.xyz,2.3822871471969957,2.3362028757366087,True
2687,TS_ts_guess__DVDxW_template_21-29_22-23.xyz,62,44,18,r0_C22H21N.xyz,r1_C9H5N3O.xyz,2.4114298092832818,2.3708647932347384,True
2688,TS_ts_guess_UXC3IG_template_21-31_22-23.xyz,62,44,18,r0_C22H21N.xyz,r1_C9H5N3O.xyz,2.711247131948691,2.326094272401701,True
2708,TS_ts_guess_4i3HEt_template_4-27_10-18.xyz,64,32,32,r1_C10H14N2O6.xyz,r0_C15H16O.xyz,2.662292143266775,2.517782322481433,True
2786,TS_ts_guess_ZULs36_template_3-34_8-21.xyz,60,37,23,r0_C18H16O3.xyz,r1_C12ClH9O.xyz,2.5806493505705106,2.441722443604105,True
2828,TS_ts_guess_JQzA19_template_4-11_9-10.xyz,56,16,40,r0_C5H6O5.xyz,r1_BrC20FH18.xyz,2.745244376681246,2.3194793267886653,True
2862,TS_ts_guess_G7jgW3_template_1-11_9-10.xyz,69,18,51,r0_C8H8N2.xyz,r1_C27H23N.xyz,2.3993418690340897,2.2603018499527887,True
2869,TS_ts_guess_pAtjK6_template_4-6_16-21.xyz,40,13,27,r0_Br3C4H4NO.xyz,r1_C9H12O6.xyz,2.3756352842345136,2.501225599441202,True
2959,TS_ts_guess_t_o2G-_template_19-29_20-21.xyz,61,38,23,r1_C14ClH17O6.xyz,r0_C10H8N2O3.xyz,2.5234580130447983,2.406144655855087,True
3109,TS_ts_guess_Po4-Q2_template_3-14_6-13.xyz,63,24,39,r0_C10H11NO2.xyz,r1_C17F9H13.xyz,2.365982556085316,2.508964433087882,True
3136,TS_ts_guess_0rOaev_template_18-24_19-20.xyz,62,37,25,r0_Br2C16H17NO.xyz,r1_C8H12O5.xyz,2.5491336334135175,2.3553993881505533,True
3220,TS_ts_guess_f9Lbj6_template_1-4_5-6.xyz,15,9,6,r1_C3H3NO2.xyz,r0_C2H4.xyz,2.367925591504091,2.413285414326287,True
3226,TS_ts_guess_hThr_b_template_1-9_3-8.xyz,17,11,6,r1_C5H3N3.xyz,r0_C2H4.xyz,2.2052890651567654,2.6492643034246317,True
3276,TS_ts_guess_lMW9yR_template_3-4_6-8.xyz,25,13,12,r1_C3H6N2O2.xyz,r0_C4H8.xyz,2.1112297467826657,2.1054505654609894,True
3287,TS_ts_guess_tBruNK_template_3-10_7-8.xyz,23,11,12,r1_C4H3NO3.xyz,r0_C4H8.xyz,2.5148949687412396,2.5845825691975874,True
3304,TS_ts_guess_LSg6pW_template_4-10_6-8.xyz,27,15,12,r1_C3H7N3O2.xyz,r0_C4H8.xyz,2.5349037832825134,2.2204822878149693,True
3355,TS_ts_guess_5CyVWF_template_1-10_3-7.xyz,32,14,18,r1_C5H7NO.xyz,r0_C6H12.xyz,2.47141306545466,2.6775428263615133,True
3358,TS_083wqP_ll_ad_4-5_6-7.xyz,25,19,6,r1_C4H8N4O3.xyz,r0_C2H4.xyz,2.452214165381972,2.4457101759202784,True
3407,TS_ts_guess_S8alyp_template_4-5_7-9.xyz,29,17,12,r1_C4H7N5O.xyz,r0_C4H8.xyz,2.1112105915090518,2.2985972343801335,True
3449,TS_ts_guess_wnvPc9_template_4-14_6-7.xyz,24,12,12,r0_C2H5N3O2.xyz,r1_C6H4O2.xyz,2.4312560041468276,2.234573318779225,True
3452,TS_ts_guess_RaINl7_template_3-11_5-8.xyz,35,17,18,r0_C5H9NO2.xyz,r1_C6H12.xyz,2.5215385347243853,2.2256325144551603,True
3457,TS_ts_guess_04sOp__template_4-5_7-9.xyz,35,23,12,r1_C6H13N3O.xyz,r0_C4H8.xyz,2.243383605226712,2.223187473448877,True
3467,TS_ts_guess_RqzJh2_template_4-5_6-7.xyz,29,23,6,r1_C9H10N2O2.xyz,r0_C2H4.xyz,2.272181297894162,2.3062868700575825,True
3475,TS_ts_guess_4yvEL5_template_3-15_5-14.xyz,28,22,6,r1_C11H8N2O.xyz,r0_C2H4.xyz,2.216957645558435,2.588643847693228,True
3583,TS_ts_guess_OE3X_j_template_4-12_7-9.xyz,37,19,18,r1_C4H10N4O.xyz,r0_C6H12.xyz,2.1466716440573768,2.1781769019985497,True
3597,TS_ts_guess_yRJ6i0_template_4-8_6-7.xyz,34,11,23,r1_C3H4N2O2.xyz,r0_C9H14.xyz,2.2233868582862497,2.3383575007684345,True
3635,TS_ts_guess_qD4_0M_template_6-13_8-9.xyz,36,23,13,r0_C9H14.xyz,r1_C4H6N2O.xyz,3.0500692227718376,2.2019091669049384,True
3652,TS_ts_guess_MTAAxf_template_5-6_9-13.xyz,36,23,13,r0_C9H14.xyz,r1_C4H6N2O.xyz,2.2536813695595925,2.4663236957463637,True
3689,TS_ts_guess_qaOp5l_template_3-10_11-12.xyz,32,26,6,r1_C12H11NO2.xyz,r0_C2H4.xyz,2.5557286086750293,2.5226102757659574,True
3690,TS_ts_guess_FlvooF_template_4-16_8-9.xyz,24,12,12,r0_C4H3NO4.xyz,r1_C6H4O2.xyz,2.474777599543038,2.2795379424128916,True
3783,TS_y8b_j-_ll_ad_4-16_6-7.xyz,32,12,20,r1_C3H5N3O.xyz,r0_C7H10N2O.xyz,2.309263977136438,2.1345214063344504,True
3810,TS_hHGXZ7_hl_ad_4-8_6-7.xyz,32,12,20,r1_C2H5N3O2.xyz,r0_C7H10N2O.xyz,2.4220274739358345,2.2170939086335517,True
3821,TS_ts_guess_VMtTZc_template_3-16_11-14.xyz,35,23,12,r1_C10H9N3O.xyz,r0_C4H8.xyz,2.213994799203467,2.239902630093549,True
3829,TS_ts_guess_zvfqvK_template_5-6_12-14.xyz,39,23,16,r0_C9H14.xyz,r1_C3H8N4O.xyz,2.3646604745290603,1.884385088404172,True
3836,TS_DLrlyQ_ll_ad_1-8_3-6.xyz,31,14,17,r0_C5H8O.xyz,r1_C8H5NO3.xyz,2.0116414621149565,2.2936921400658807,True
3888,TS_ts_guess_1H0cbR_template_2-18_10-11.xyz,31,19,12,r1_C9H8N2.xyz,r0_C6H4O2.xyz,2.5879350710170455,2.2440607739542173,True
3897,TS_ts_guess_XJVF53_template_4-14_7-11.xyz,38,20,18,r1_C5H9N3O3.xyz,r0_C6H12.xyz,2.2973310104553937,2.261104639484869,True
3903,TS_ts_guess_gFpsBx_template_5-11_6-9.xyz,35,23,12,r0_C9H14.xyz,r1_C4H3N3O2.xyz,2.5280365632245116,1.9638811612976992,True
3909,TS_ts_guess_ko0PBM_template_1-14_2-4.xyz,32,12,20,r0_C4H8.xyz,r1_C11H5N3O.xyz,2.5468486733608655,2.409700927272926,True
3931,TS_ts_guess_2Kn9tx_template_5-6_11-15.xyz,38,23,15,r0_C9H14.xyz,r1_C4H6N4O.xyz,2.528251735844356,2.032049909770919,True
3932,TS_ts_guess_aXxoXJ_template_3-15_4-9.xyz,38,23,15,r0_C9H14.xyz,r1_C4H6N4O.xyz,2.237113949467036,2.0432130179939634,True
3934,TS_ts_guess_uSAiPT_template_3-15_5-12.xyz,39,21,18,r0_C8H9N3O.xyz,r1_C6H12.xyz,2.157252565162457,2.0699697721464436,True
3963,TS_ts_guess_0-3AJG_template_4-16_12-14.xyz,39,27,12,r1_C10H13N3O.xyz,r0_C4H8.xyz,2.32821418194289,2.0964098113202962,True
3966,TS_ts_guess_CF4-Sv_template_8-14_9-10.xyz,37,20,17,r1_C7H10N2O.xyz,r0_C6H9NO.xyz,2.5275119455701884,2.4377981745419373,True
3974,TS_ts_guess_0PKLuN_template_3-4_9-13.xyz,40,23,17,r0_C9H14.xyz,r1_C6H8N2O.xyz,2.185421840698038,2.3105997895135366,True
3983,TS_ts_guess_crkCbu_template_5-6_8-15.xyz,38,23,15,r0_C9H14.xyz,r1_C5H6O4.xyz,2.445885308942347,2.4069736148533076,True
3986,TS_ts_guess_m3ofBc_template_3-4_6-13.xyz,38,23,15,r0_C9H14.xyz,r1_C5H6O4.xyz,2.3489163028298816,2.8026351669277254,True
3988,TS_ts_guess_3ve6ll_template_3-11_4-9.xyz,38,23,15,r0_C9H14.xyz,r1_C5H6O4.xyz,2.415913850140356,2.4969845583222976,True
3989,TS_ts_guess_CLVW4d_template_4-9_11-13.xyz,38,26,12,r1_C8H12N4O2.xyz,r0_C4H8.xyz,2.5256418690503213,2.2043419689558155,True
3990,TS_ts_guess_cWazuz_template_4-16_8-14.xyz,32,20,12,r1_C7H6O7.xyz,r0_C4H8.xyz,2.173980851755599,2.6086943655016395,True
4004,TS_ts_guess_eTBbvo_template_4-17_7-8.xyz,34,14,20,r1_C4H6O4.xyz,r0_C7H10N2O.xyz,2.325898515176447,2.1777447613529,True
4006,TS_ts_guess_2auM8U_template_4-17_7-8.xyz,34,14,20,r1_C4H6O4.xyz,r0_C7H10N2O.xyz,2.4100542417132442,2.2405859192184527,True
