reaction_id,verdict,failed_checks,warn_flags,dE_act_kcal,dE_rxn_kcal,max_abs_res_cons_kcal,max_abs_res_ref_kcal,offset_spread_kcal,recovered,level_ok,n_points,n_components_ok,dStrain_TS,dElst_TS,dPauli_TS,dOi_TS,dDisp_TS
Halogen_BrC4H4NO_rxn10075,WARN,,recovered;sign_strain;sign_pauli;sign_oi,85.228272,37.807537,0.008544,0.009171,0.008544,True,True,3,3,-99.42981,146.302956,-457.577274,496.528791,-0.593534
Halogen_BrC4H4NO_rxn10080,WARN,,recovered;sign_strain;sign_pauli;sign_oi,121.178355,82.931539,0.003875,0.003488,0.003875,True,True,3,3,-123.25625,93.281976,-174.816346,326.671871,-0.699021
Halogen_BrC4H4NO_rxn10082,WARN,,recovered;sign_pauli;sign_oi,202.148448,71.899516,0.007023,0.006448,0.007023,True,True,3,3,119.09508,157.143192,-358.572998,284.512996,-0.036845
Halogen_BrC4H4NO_rxn10084,WARN,,recovered;sign_pauli;sign_oi,59.631489,19.773786,0.012145,0.010171,0.012145,True,True,3,3,27.050236,35.704636,-118.229602,115.561113,-0.445649
Halogen_BrC4H4NO_rxn10088,WARN,,recovered;sign_pauli;sign_oi,223.927049,139.889672,0.014211,0.015851,0.014211,True,True,3,3,54.099239,180.542321,-557.124256,547.644315,-1.22341
Halogen_BrC4H4NO_rxn10091,WARN,,recovered;sign_strain;sign_pauli;sign_oi,171.590911,128.60464,0.002099,0.003282,0.004037,True,True,3,3,-113.398581,120.917555,-635.558155,800.268719,-0.636689
Halogen_BrC4H4NO_rxn10093,WARN,,recovered;sign_oi,207.664333,85.53728,0.001762,0.001537,0.001956,True,True,3,3,119.058881,22.731499,1.93272,64.410038,-0.468611
Halogen_BrC4H4NS_rxn10103,WARN,,recovered;sign_oi,116.694438,74.116133,0.003685,0.003438,0.005709,True,True,3,3,44.27786,7.14174,58.854624,6.609923,-0.187684
Halogen_BrC4H4NS_rxn10110,WARN,,recovered,122.462897,45.324107,0.002311,0.003962,0.004083,True,True,3,3,47.32249,-17.064719,138.962233,-46.730733,-0.024604
Halogen_BrC4H4NS_rxn10113,FAIL,3;4,recovered;sign_pauli;sign_oi;dist_outlier:disp,136.22833,314.575026,234.879849,234.876732,234.879849,True,True,3,3,91.161622,104.947711,-235.794375,174.218562,1.671012
Halogen_BrC4H4NS_rxn10115,WARN,,recovered;sign_pauli;sign_oi,96.371272,47.797555,0.002971,0.005547,0.003647,True,True,3,3,0.046193,55.176916,-160.419735,202.09003,-0.525104
Halogen_BrC4H4NS_rxn10117,WARN,,recovered;sign_pauli;sign_oi,96.383051,42.53626,0.008583,0.004871,0.008583,True,True,3,3,0.109134,55.198506,-160.612598,202.211637,-0.528271
Halogen_BrC4H4NS_rxn10121,WARN,,recovered;sign_pauli;sign_oi,192.342081,97.667733,0.014913,0.009578,0.014913,True,True,3,3,88.751609,-0.507356,-146.795376,250.776755,0.131362
Halogen_BrC4H4NS_rxn10125,WARN,,recovered;sign_pauli;sign_oi,84.375031,41.311473,0.002231,0.001645,0.002341,True,True,3,3,20.693888,30.068933,-106.397147,140.518153,-0.508686
Halogen_BrC4H4N_rxn10034,FAIL,4,recovered;sign_oi,225.818315,70.351489,4.396992,4.39535,4.397378,True,True,3,3,101.666344,16.716434,32.798825,70.495257,-0.255537
Halogen_BrC4H4N_rxn10035,WARN,,recovered,71.208944,51.528409,0.003361,0.005002,0.004527,True,True,3,3,22.954049,-21.216416,152.551343,-82.894567,-0.182105
Halogen_BrC4H4N_rxn10036,WARN,,recovered;sign_oi,116.51526,50.830439,0.046225,0.026943,0.046225,True,True,3,3,47.16632,-51.475797,43.042984,77.561217,0.240302
Halogen_BrC4H4N_rxn10038,WARN,,recovered;sign_oi,194.389968,49.846191,0.003296,0.001655,0.003296,True,True,3,3,93.315609,22.761011,6.870553,71.903826,-0.463951
Halogen_BrC4H4N_rxn10039,FAIL,4,recovered,198.931267,38.39266,27.199649,27.198008,27.200003,True,True,3,3,105.051813,-7.216798,134.115507,-60.241729,0.022826
Halogen_BrC4H4N_rxn10040,WARN,,recovered;sign_strain;sign_pauli;sign_oi;dist_outlier:elst,172.657487,110.846516,0.025139,0.023042,0.026693,True,True,3,3,-59.655955,498.856856,-1173.835691,907.795851,-0.478435
Halogen_BrC4H5N2O_rxn10243,WARN,,recovered;sign_oi,120.850266,48.5655,0.001654,0.002644,0.00317,True,True,3,3,36.805135,18.223388,17.668879,49.165542,-1.014194
Halogen_BrC4H5N2O_rxn10331,WARN,,recovered;sign_pauli;sign_oi,117.032706,95.008154,0.008898,0.007565,0.008898,True,True,3,3,72.075058,270.041795,-658.723091,434.691083,-1.043241
Halogen_BrC4H5N2O_rxn10464,WARN,,recovered;sign_pauli;sign_oi,98.190079,57.537824,0.041205,0.026103,0.041205,True,True,3,3,32.48676,27.771841,-30.543584,68.972895,-0.456628
Halogen_BrC4H5N2O_rxn10488,WARN,,recovered;sign_pauli;sign_oi,153.621097,68.131146,0.001561,0.002124,0.001561,True,True,3,3,96.090233,87.093646,-262.354948,233.558954,-0.765227
Halogen_BrC4H5N2S_rxn10522,FAIL,4,recovered,116.282262,36.37676,6.693965,6.693313,6.693965,True,True,3,3,54.649883,-21.979955,106.518524,-28.895867,-0.704288
Halogen_BrC4H5N2S_rxn10557,WARN,,recovered;sign_pauli;sign_oi,79.748884,29.772715,0.003092,0.002758,0.003092,True,True,3,3,37.72251,39.910548,-148.675317,151.300011,-0.505776
Halogen_BrC4H5N2S_rxn10569,FAIL,4,recovered;sign_pauli;sign_oi,111.038596,45.208114,3.54789,3.554252,3.548181,True,True,3,3,9.090697,134.611987,-279.897559,244.240915,-0.555335
Halogen_BrC4H5N2_rxn10136,WARN,,recovered;sign_strain;sign_pauli;sign_oi,90.487355,48.701489,0.008288,0.00641,0.008288,True,True,3,3,-96.280982,140.459646,-447.832887,494.992734,-0.842868
Halogen_BrC4H5N2_rxn10147,FAIL,1,recovered,235.453926,133.272467,,,,True,True,3,0,,,,,
Halogen_BrC4H5N2_rxn10151,WARN,,recovered;sign_pauli;sign_oi,108.162903,52.906996,0.002446,0.003662,0.002446,True,True,3,3,53.470067,35.500176,-120.278488,139.535922,-0.065036
Halogen_BrC4H5N2_rxn10155,WARN,,recovered;sign_pauli;sign_oi,70.969021,44.57642,0.008727,0.008001,0.008727,True,True,3,3,28.664953,9.587706,-39.610854,72.682983,-0.364495
Halogen_BrC4H5N2_rxn10156,FAIL,4,recovered;sign_pauli;sign_oi,206.143078,91.173074,6.529607,6.527995,6.530012,True,True,3,3,152.716315,78.268837,-248.851123,218.266693,-0.787251
Halogen_BrC5H4NO_rxn10739,FAIL,4,recovered,136.281442,69.080147,2.27699,2.275302,2.27699,True,True,3,3,46.001467,-15.053126,148.420954,-43.566695,0.475868
Halogen_BrC5H4NO_rxn10768,WARN,,recovered;sign_pauli;sign_oi,64.233632,18.19223,0.002782,0.005124,0.003787,True,True,3,3,13.920744,53.500007,-176.828538,173.746432,-0.102231
Halogen_BrC5H5N2_rxn10897,WARN,,recovered;sign_strain;sign_pauli;sign_oi,101.07463,70.659373,0.003869,0.006231,0.005345,True,True,3,3,-126.51348,114.838501,-235.548175,349.458352,-1.162044
Halogen_BrC5H5N2_rxn11008,WARN,,recovered;sign_pauli;sign_oi,219.039426,127.706028,0.027771,0.027173,0.045679,True,True,3,3,38.97733,404.472293,-1037.931544,812.485564,1.008013
Halogen_BrC5H5O_rxn11015,WARN,,recovered,124.225956,14.957446,0.002807,0.003323,0.002807,True,True,3,3,26.546033,-19.992737,118.516592,-0.367959,-0.475223
Halogen_BrC5H5O_rxn11020,WARN,,recovered;sign_strain;sign_pauli;sign_oi;dist_outlier:strain,152.377421,104.042389,0.028247,0.015239,0.028247,True,True,3,3,-236.338789,201.915504,-449.09459,636.17916,-0.255617
Halogen_BrC5H5O_rxn11021,FAIL,4,recovered;sign_oi,83.952519,15.517261,1.471458,1.470092,1.473897,True,True,3,3,2.489657,4.901237,51.162331,24.216251,-0.288416
Halogen_BrC5H5S_rxn11028,WARN,,recovered;sign_pauli;sign_oi,95.613505,37.719672,0.017167,0.013608,0.017167,True,True,3,3,43.090269,86.666134,-249.454785,214.356767,0.972288
Halogen_BrC5H5S_rxn11029,WARN,,recovered;sign_pauli;sign_oi,136.513567,60.187941,0.013605,0.015453,0.022876,True,True,3,3,31.464728,18.310206,-166.933014,254.415118,-0.729867
Halogen_BrC5H5S_rxn11030,WARN,,recovered;sign_strain;sign_pauli;sign_oi,141.149166,138.196271,0.021627,0.016948,0.021627,True,True,3,3,-72.643521,444.827219,-979.581775,748.313026,0.248061
Halogen_BrC5H6NO_rxn11106,WARN,,recovered;sign_pauli;sign_oi,87.426664,32.409946,0.002758,0.002447,0.002758,True,True,3,3,58.073894,18.338958,-72.23243,83.135988,0.11287
Halogen_BrC5H6NO_rxn11208,WARN,,recovered;sign_oi,86.897569,43.16093,0.003086,0.003122,0.003086,True,True,3,3,24.81617,-1.624153,63.809818,0.185026,-0.286205
Halogen_BrC5H6NO_rxn11224,FAIL,1,recovered;barrier_high,432.589953,39.584698,,,,True,True,3,0,,,,,
Halogen_BrC5H6NO_rxn11265,WARN,,recovered;sign_pauli;sign_oi,165.846246,32.885917,0.006903,0.010215,0.006903,True,True,3,3,79.205672,71.576013,-232.956046,248.737583,-0.710072
Halogen_BrC5H6NO_rxn11328,WARN,,recovered;sign_strain;sign_pauli;sign_oi,173.617622,48.100218,0.022672,0.014797,0.022672,True,True,3,3,-8.465883,156.507866,-237.072648,262.91902,-0.293406
Halogen_BrC5H6NO_rxn11384,WARN,,recovered;sign_pauli;sign_oi,109.331823,25.722719,0.007824,0.00504,0.007824,True,True,3,3,51.307376,141.938697,-349.432458,265.759918,-0.242341
Halogen_BrC5H6NO_rxn11392,WARN,,recovered;sign_strain;sign_pauli;sign_oi,89.254997,36.383809,0.006695,0.003983,0.006695,True,True,3,3,-106.736262,127.68866,-358.430524,428.006782,-1.280354
Halogen_BrC5H6NO_rxn11417,FAIL,1,recovered,115.443951,49.277148,,0.012228,0.00074,True,True,3,2,,,,,
Halogen_BrC5H6NS_rxn11470,WARN,,recovered,168.245744,74.120817,0.013422,0.01327,0.020746,True,True,3,3,90.238893,-51.622052,198.255947,-68.624282,0.01066
Halogen_BrC5H6NS_rxn11494,WARN,,recovered;sign_pauli;sign_oi,123.255749,71.276567,0.011245,0.010179,0.019971,True,True,3,3,94.796552,68.444466,-206.654523,166.489986,0.170542
Halogen_BrC5H6NS_rxn11501,WARN,,recovered;sign_strain;sign_pauli;sign_oi,125.416238,35.312383,0.002092,0.005135,0.002157,True,True,3,3,-92.257966,124.838575,-609.738964,703.588159,-1.013631
Halogen_BrC5H6NS_rxn11529,WARN,,recovered;sign_pauli;sign_oi,93.703327,32.526061,0.050544,0.0555,0.050544,True,True,3,3,37.047288,172.819043,-306.610967,190.181639,0.313024
Halogen_BrC5H6NS_rxn11567,WARN,,recovered;sign_strain;sign_pauli;sign_oi,104.757704,72.685201,0.004783,0.009263,0.007272,True,True,3,3,-155.925222,200.206459,-377.519074,438.371991,-0.378938
Halogen_BrC5H6NS_rxn11583,WARN,,recovered;conservation_soft;sign_pauli;sign_oi,258.889382,79.587483,0.141181,0.142506,0.141898,True,True,3,3,186.415633,71.221204,-173.686741,175.848258,-1.050152
Halogen_BrC5H6N_rxn11040,FAIL,4,recovered;sign_oi,225.88903,70.733928,5.208481,5.204549,5.208481,True,True,3,3,102.322419,17.207858,32.938519,68.454719,-0.242966
Halogen_BrC5H6N_rxn11045,WARN,,recovered;sign_oi,217.418324,49.335662,0.029578,0.030645,0.030106,True,True,3,3,93.500364,13.85871,34.173333,76.316458,-0.460118
Halogen_BrC5H6N_rxn11047,WARN,,recovered,114.227532,45.135813,0.004518,0.003656,0.006976,True,True,3,3,27.852236,-27.476359,128.963346,-14.580642,-0.528591
Halogen_BrC5H6N_rxn11049,WARN,,recovered,87.234899,75.052261,0.004953,0.005663,0.004953,True,True,3,3,15.145081,-25.621001,178.786057,-81.031905,-0.03838
Halogen_BrC5H7N2_rxn11714,WARN,,recovered;sign_strain;sign_pauli;sign_oi,105.496562,25.289814,0.002407,0.00327,0.002407,True,True,3,3,-18.812556,41.811545,-114.226352,197.510168,-0.783837
Halogen_BrC6H3S_rxn11952,WARN,,recovered,101.188642,49.728519,0.006162,0.006861,0.006162,True,True,3,3,30.164331,-20.480704,149.455754,-58.146275,0.201697
Halogen_BrC6H4N_rxn11968,WARN,,recovered,119.585033,38.161019,0.006445,0.004777,0.007445,True,True,3,3,45.811071,-22.259246,156.120289,-59.890844,-0.202682
Halogen_BrC6H5O_rxn12016,WARN,,recovered,110.344302,96.227682,0.005692,0.004787,0.005692,True,True,3,3,66.67518,-14.192004,161.576952,-103.845771,0.135638
Halogen_BrC6H6N_rxn12076,WARN,,recovered;sign_strain;sign_pauli;sign_oi,148.369074,100.82311,0.001787,0.002894,0.002061,True,True,3,3,-61.320422,72.101613,-465.483328,603.349598,-0.280173
Halogen_BrC6H6N_rxn12206,WARN,,recovered;sign_oi,228.546441,104.151749,0.00407,0.002437,0.00407,True,True,3,3,140.465063,9.34242,55.952412,22.855306,-0.06469
Halogen_BrC6H6N_rxn12285,WARN,,recovered,101.999684,44.484429,0.003497,0.002489,0.003497,True,True,3,3,29.030169,-26.60592,182.102524,-82.710689,0.184404
Halogen_BrC6H7O_rxn12356,WARN,,recovered;sign_pauli;sign_oi,117.585608,25.929284,0.015159,0.01115,0.016578,True,True,3,3,35.599125,67.038565,-310.121762,324.682227,0.388871
Halogen_BrC6H7S_rxn12386,FAIL,4,recovered;sign_oi,177.126957,142.444873,3.741574,3.745877,3.741574,True,True,3,3,87.300852,19.398999,25.410905,45.351437,-1.092032
Halogen_BrC6H8N_rxn12472,FAIL,1,recovered,132.180338,93.169161,,0.01442,0.015547,True,True,3,2,,,,,
Halogen_BrC6H8N_rxn12539.json,FAIL,1,recovered,,,,,,True,True,0,0,,,,,
Halogen_C4ClH3N2O_rxn12774,WARN,,recovered,113.674688,107.28536,0.004038,0.002311,0.004038,True,True,3,3,79.611308,-16.06951,180.3358,-130.094749,-0.111221
Halogen_C4ClH3O_rxn12793,FAIL,4,recovered,143.581673,20.007769,0.535066,0.537083,0.536561,True,True,3,3,77.602478,-5.710691,106.550132,-35.424463,0.029152
Halogen_C4ClH3O_rxn12794,WARN,,recovered;sign_strain;sign_pauli;sign_oi,120.418583,57.89602,0.023287,0.01749,0.023287,True,True,3,3,-107.654588,371.867846,-926.920721,783.516399,-0.367065
Halogen_C4ClH3O_rxn12796,WARN,,recovered;sign_pauli;sign_oi,92.716997,47.964682,0.020452,0.01058,0.020452,True,True,3,3,18.536209,47.484096,-214.45348,241.037751,0.126591
Halogen_C4ClH3O_rxn12797,FAIL,4,recovered;barrier_high;dist_outlier:strain,354.947937,50.786721,23.441265,23.440905,23.441265,True,True,3,3,289.097056,-52.567473,259.85776,-164.650408,-0.230263
Halogen_C4ClH3S_rxn12800,WARN,,recovered;sign_pauli;sign_oi,104.782235,38.873441,0.004035,0.004819,0.007659,True,True,3,3,46.538308,92.657403,-300.82885,265.843887,0.567862
Halogen_C4ClH3S_rxn12801,WARN,,recovered;sign_pauli;sign_oi,207.830041,151.69251,0.005202,0.006362,0.005202,True,True,3,3,4.937444,313.190058,-956.242003,845.478074,0.465134
Halogen_C4ClH3S_rxn12803,FAIL,4,recovered,187.938791,65.042438,0.936004,0.938229,0.939027,True,True,3,3,88.810157,-16.452817,153.114839,-38.501729,0.032337
Halogen_C4ClH3S_rxn12808,WARN,,recovered;sign_oi,167.024294,99.120404,0.003504,0.002225,0.003504,True,True,3,3,79.093407,9.440847,48.37301,30.376984,-0.257467
Halogen_C4ClH4NO_rxn12813,WARN,,recovered;sign_pauli;sign_oi,141.219023,37.980791,0.002948,0.003585,0.00342,True,True,3,3,70.855546,64.03589,-202.815668,209.966864,-0.820661
Halogen_C4ClH4NO_rxn12819,WARN,,recovered,87.260071,25.923346,0.001209,0.00121,0.001209,True,True,3,3,11.279754,-11.901528,107.10699,-19.310469,0.086275
Halogen_C4ClH4NO_rxn12845,WARN,,recovered;sign_pauli;sign_oi,188.858736,33.599761,0.003043,0.002775,0.003043,True,True,3,3,89.548545,33.24938,-32.289161,98.713828,-0.361048
Halogen_C4ClH4NO_rxn12850,WARN,,recovered;sign_strain;sign_pauli;sign_oi;dist_outlier:strain,143.780055,45.005556,0.009021,0.006837,0.009021,True,True,3,3,-344.785239,131.896821,-528.696296,884.765071,0.590676
Halogen_C4ClH4NO_rxn12854,FAIL,4,recovered;sign_pauli;sign_oi,180.18413,79.455904,0.579805,0.586125,0.588951,True,True,3,3,152.52342,80.347452,-201.511613,148.125174,0.119892
Halogen_C4ClH4NO_rxn12859,WARN,,recovered;sign_pauli;sign_oi,203.735978,80.671201,0.014122,0.011693,0.014122,True,True,3,3,14.764306,106.091006,-439.284889,522.159266,0.013439
Halogen_C4ClH4NO_rxn12865,WARN,,recovered;conservation_soft;sign_pauli;sign_oi,182.64183,54.044417,0.29294,0.294164,0.294346,True,True,3,3,67.645885,45.539343,-38.168777,107.905021,-0.572582
Halogen_C4ClH4NO_rxn12872,WARN,,recovered;sign_pauli;sign_oi,217.873484,44.777833,0.01509,0.009975,0.018115,True,True,3,3,115.374532,114.87266,-244.46159,232.03061,0.054246
Halogen_C4ClH4NO_rxn12877,WARN,,recovered;conservation_soft;sign_pauli;sign_oi,108.463303,45.115395,0.298351,0.301315,0.30182,True,True,3,3,59.634195,48.288897,-154.991392,155.352058,-0.118806
Halogen_C4ClH4NS_rxn12884,WARN,,recovered;sign_strain;sign_oi,102.43685,46.215541,0.074507,0.073435,0.074507,True,True,3,3,-7.040814,-9.733574,89.419057,29.87762,-0.159946
Halogen_C4ClH4NS_rxn12885,FAIL,4,recovered;sign_pauli;sign_oi,183.339866,88.874126,6.142892,6.141821,6.143112,True,True,3,3,63.454453,41.796158,-50.24866,123.618304,-1.423281
Halogen_C4ClH4NS_rxn12886,FAIL,1,recovered;sign_pauli;sign_oi,233.872482,41.131919,0.010338,0.005939,0.010338,True,True,3,2,135.065011,101.523282,-386.660903,384.77293,-0.817499
Halogen_C4ClH4NS_rxn12888,WARN,,recovered;sign_strain,90.599562,28.989193,0.003133,0.002734,0.004796,True,True,3,3,-8.696267,-17.729386,137.698454,-20.321571,-0.354799
Halogen_C4ClH4NS_rxn12892,WARN,,recovered,106.459251,53.570912,0.002313,0.003384,0.003412,True,True,3,3,28.462407,-25.395991,138.256104,-34.519224,-0.341731
Halogen_C4ClH4NS_rxn12904,WARN,,recovered;sign_pauli;sign_oi,107.939154,38.186112,0.004953,0.010749,0.004953,True,True,3,3,38.651839,-48.340706,-23.896144,141.155566,0.363646
Halogen_C4ClH4NS_rxn12907,WARN,,recovered;sign_oi,100.949874,80.148494,0.008421,0.005839,0.008421,True,True,3,3,41.84315,-2.672011,54.349809,7.517588,-0.080241
Halogen_C4ClH4NS_rxn12909,WARN,,recovered;sign_pauli;sign_oi,96.485023,44.971329,0.002367,0.002572,0.002367,True,True,3,3,0.487766,54.039236,-156.702996,199.145774,-0.487124
Halogen_C4ClH4NS_rxn12911,WARN,,recovered;sign_strain;sign_pauli;sign_oi,218.402845,103.942556,0.009877,0.012652,0.009877,True,True,3,3,-49.140126,148.82211,-301.233699,419.174788,0.786319
Halogen_C4ClH4NS_rxn12915,WARN,,recovered;sign_strain;sign_pauli;sign_oi,133.022833,86.798709,0.016325,0.011991,0.016325,True,True,3,3,-74.702652,282.828692,-671.627939,596.024301,0.516756
Halogen_C4ClH4NS_rxn12917,FAIL,4,recovered;sign_strain;sign_pauli;sign_oi,170.79993,91.306739,35.866427,35.879749,35.901332,True,True,3,3,-122.062529,267.474598,-867.773922,857.576717,-0.281362
Halogen_C4ClH4NS_rxn12927,WARN,,recovered;sign_pauli;sign_oi,76.528914,41.12999,0.004926,0.003587,0.004962,True,True,3,3,9.827566,34.829595,-61.819566,93.823854,-0.132571
Halogen_C4ClH4NS_rxn12928,WARN,,recovered,149.611277,46.627891,0.005831,0.004347,0.005831,True,True,3,3,83.509449,-9.657673,140.286243,-64.536612,0.015701
Halogen_C4ClH4NS_rxn12932,FAIL,4,recovered;sign_strain;sign_pauli;sign_oi,165.191232,88.784526,13.454247,13.460424,13.454247,True,True,3,3,-126.057559,253.721801,-821.700646,845.905298,-0.131909
Halogen_C4ClH4N_rxn12810,WARN,,recovered;sign_strain;sign_pauli;sign_oi,171.505836,84.285482,0.01981,0.019571,0.01981,True,True,3,3,-38.085889,430.798508,-1021.530918,800.732201,-0.388255
Halogen_C4ClH4N_rxn12812,FAIL,4,recovered,134.678051,77.170728,1.114894,1.113845,1.115243,True,True,3,3,48.783661,-11.664811,165.098235,-68.651762,-0.002168
Halogen_C4ClH5N2O_rxn13198,WARN,,recovered;sign_pauli;sign_oi,79.845353,-2.513438,0.02389,0.022643,0.02389,True,True,3,3,16.028749,33.881961,-73.905968,103.981326,-0.164605
Halogen_C4ClH5N2O_rxn13289,WARN,,recovered;sign_pauli;sign_oi,97.988815,39.212389,0.006011,0.009876,0.007636,True,True,3,3,29.698283,64.437838,-63.232853,67.647736,-0.563814
Halogen_C4ClH5N2_rxn12937,WARN,,recovered;sign_pauli;sign_oi,132.199603,44.011918,0.004045,0.008218,0.004045,True,True,3,3,37.720925,92.426643,-318.528304,320.613502,-0.029281
Halogen_C4ClH5N2_rxn12941,FAIL,4,recovered;sign_strain;sign_pauli;sign_oi,269.794567,99.660368,82.387177,82.38659,82.387177,True,True,3,3,-12.380755,138.146818,-480.184252,543.035044,-1.209465
Halogen_C4ClH5N2_rxn12956,WARN,,recovered;sign_strain;sign_pauli;sign_oi,91.331034,49.81832,0.005926,0.005231,0.005926,True,True,3,3,-94.486371,135.613995,-432.483537,483.477834,-0.796815
Halogen_C4ClH5N2_rxn12960,FAIL,4,recovered;sign_pauli;sign_oi,68.38831,65.127195,0.582317,0.582262,0.582317,True,True,3,3,2.540733,30.455877,-56.58351,92.221067,-0.247249
Halogen_C4ClH5N2_rxn12962,FAIL,4,recovered;barrier_high;sign_strain;sign_pauli;sign_oi;dist_outlier:elst,325.165909,153.43588,139.134179,139.146558,139.149163,True,True,3,3,-82.205973,514.529509,-1173.372612,926.948947,0.131858
Halogen_C4ClH5N2_rxn12964,FAIL,4,recovered;sign_pauli;sign_oi,215.156684,94.711469,4.09938,4.101146,4.100894,True,True,3,3,152.16481,81.057441,-237.513598,216.12495,-0.776299
Halogen_C4FH3N2O_rxn13599,WARN,,recovered;sign_pauli;sign_oi,169.742595,34.236341,0.040448,0.038178,0.040448,True,True,3,3,32.246529,346.263295,-794.84274,585.655687,0.447318
Halogen_C4FH3O_rxn13708,WARN,,recovered,85.424228,28.795991,0.00115,0.001572,0.00115,True,True,3,3,25.063434,-18.517971,126.492777,-47.640105,0.027242
Halogen_C4FH3O_rxn13709,FAIL,4,recovered,149.166223,7.679794,8.63937,8.639266,8.63937,True,True,3,3,60.043316,3.00097,103.308269,-25.803626,-0.022077
Halogen_C4FH3O_rxn13711,FAIL,4,recovered,120.636518,17.910128,0.714269,0.714165,0.715498,True,True,3,3,70.189296,-1.864701,83.210436,-31.628907,0.016125
Halogen_C4FH3O_rxn13714,WARN,,recovered,200.777026,101.691585,0.003485,0.003062,0.003485,True,True,3,3,120.116224,-16.995027,121.143116,-23.569306,0.078536
Halogen_C4FH3S_rxn13715,WARN,,recovered;sign_pauli;sign_oi,107.77401,39.174446,0.013896,0.008805,0.013896,True,True,3,3,27.222317,135.983689,-479.209404,423.856532,-0.092721
Halogen_C4FH3S_rxn13717,WARN,,recovered;sign_strain;sign_pauli;sign_oi,212.243115,114.7426,0.012864,0.010314,0.012864,True,True,3,3,-8.687544,322.142226,-985.063337,883.416157,0.441536
Halogen_C4FH3S_rxn13718,WARN,,recovered;sign_strain;sign_pauli;sign_oi,145.652856,113.813754,0.019731,0.014488,0.019731,True,True,3,3,-59.486408,226.658087,-732.851665,711.495295,-0.142721
Halogen_C4FH3S_rxn13721,WARN,,recovered;sign_strain;sign_pauli;sign_oi,195.864658,138.969003,0.028282,0.019641,0.028282,True,True,3,3,-60.436848,237.536804,-568.010261,586.413037,0.340161
Halogen_C4FH4NO_rxn13734,WARN,,recovered;sign_pauli;sign_oi,190.303306,72.960047,0.007734,0.009333,0.009466,True,True,3,3,178.993281,158.592769,-333.0799,186.715026,-0.925604
Halogen_C4FH4NO_rxn13739,WARN,,recovered;conservation_soft,136.289625,64.398703,0.157598,0.155886,0.157598,True,True,3,3,56.228854,-1.152894,85.117184,-4.070296,0.009179
Halogen_C4FH4NO_rxn13740,WARN,,recovered,91.837344,82.518144,0.002916,0.002016,0.002916,True,True,3,3,12.420648,-49.061407,254.989861,-126.326157,-0.183508
