reaction_id,family,quartile,delta_Ea,source,kind
dipolar_002315,dipolar,1,14.629105744007411,reuse,reuse
dipolar_002400,dipolar,2,21.46505791446558,reuse,reuse
dipolar_002441,dipolar,1,15.198089589987974,reuse,reuse
dipolar_002484,dipolar,1,14.232485555499892,reuse,reuse
dipolar_002516,dipolar,1,15.841240397669669,reuse,reuse
dipolar_002542,dipolar,3,36.17950748071156,reuse,reuse
dipolar_002593,dipolar,2,23.77570761573557,reuse,reuse
dipolar_002619,dipolar,3,28.88299519687376,reuse,reuse
dipolar_002700,dipolar,0,13.05276559592376,reuse,reuse
dipolar_002702,dipolar,3,30.54641353923993,reuse,reuse
dipolar_002765,dipolar,2,21.84170317153428,reuse,reuse
dipolar_002823,dipolar,2,21.11695893788237,reuse,reuse
dipolar_003049,dipolar,3,27.956353902089948,reuse,reuse
dipolar_004168,dipolar,0,12.98922300932998,reuse,reuse
dipolar_004882,dipolar,3,26.96952520633365,reuse,reuse
dipolar_005104,dipolar,2,24.534697088032143,reuse,reuse
dipolar_005454,dipolar,0,9.88724737685632,reuse,reuse
dipolar_005473,dipolar,3,40.01422578136975,reuse,reuse
dipolar_005551,dipolar,2,26.603176818399323,reuse,reuse
dipolar_005729,dipolar,2,24.00993270764669,reuse,reuse
dipolar_005734,dipolar,3,29.39909672815428,reuse,reuse
dipolar_005745,dipolar,0,5.428706463827203,reuse,reuse
dipolar_005862,dipolar,3,29.579764242969706,reuse,reuse
qmrxn20_e2_A_A_A_A_B_C,e2,3,31.994987999864087,reuse,reuse
qmrxn20_e2_A_A_A_D_A_B,e2,0,-7.149812372082583,reuse,reuse
qmrxn20_e2_A_A_A_E_B_B,e2,1,-0.0599106337689559,reuse,reuse
qmrxn20_e2_A_A_C_A_B_A,e2,2,2.042408608715492,reuse,reuse
qmrxn20_e2_A_A_C_D_C_A,e2,1,0.5489991564303073,reuse,reuse
qmrxn20_e2_A_A_C_E_B_B,e2,0,-4.792804361544798,reuse,reuse
qmrxn20_e2_A_A_C_E_C_D,e2,3,28.4064344251564,reuse,reuse
qmrxn20_e2_A_A_E_A_A_B,e2,3,17.430305976713374,reuse,reuse
qmrxn20_e2_A_A_E_B_B_B,e2,1,-2.530256051969404,reuse,reuse
qmrxn20_e2_A_A_E_D_C_B,e2,1,-2.494493382766131,reuse,reuse
qmrxn20_e2_A_B_A_A_C_C,e2,3,23.81725103362707,reuse,reuse
qmrxn20_e2_A_B_A_D_A_A,e2,2,5.48417032677184,reuse,reuse
qmrxn20_e2_A_B_A_E_B_D,e2,3,31.92832080126968,reuse,reuse
qmrxn20_e2_A_B_A_E_C_B,e2,0,-3.4961902019605056,reuse,reuse
qmrxn20_e2_A_B_B_A_B_A,e2,2,1.530926663582415,reuse,reuse
qmrxn20_e2_A_B_C_A_A_A,e2,0,-2.607440248742424,reuse,reuse
qmrxn20_e2_A_B_C_D_B_A,e2,0,-3.740690367198594,reuse,reuse
qmrxn20_e2_A_B_D_D_C_B,e2,0,-3.843425512201992,reuse,reuse
qmrxn20_e2_A_B_E_A_B_B,e2,2,0.7431302790375663,reuse,reuse
qmrxn20_e2_A_B_E_A_C_A,e2,2,1.6009131960269964,reuse,reuse
qmrxn20_e2_A_C_A_C_B_B,e2,0,-5.617649324128032,reuse,reuse
qmrxn20_e2_A_C_A_C_C_D,e2,3,21.635601843671328,reuse,reuse
qmrxn20_e2_A_C_A_E_C_A,e2,0,-2.7917007302006525,reuse,reuse
qmrxn20_e2_A_C_C_B_B_A,e2,2,4.350481611761419,reuse,reuse
qmrxn20_e2_A_C_D_A_B_B,e2,1,-2.534758288166215,reuse,reuse
qmrxn20_e2_A_C_D_A_C_B,e2,0,-4.105112396612469,reuse,reuse
qmrxn20_e2_A_C_E_C_B_B,e2,1,-0.6529132287396294,reuse,reuse
qmrxn20_e2_A_D_A_D_B_B,e2,2,4.3301281625636765,reuse,reuse
qmrxn20_e2_A_D_B_E_A_A,e2,0,-3.798118791858277,reuse,reuse
qmrxn20_e2_A_D_B_E_B_B,e2,2,2.4354936286495663,reuse,reuse
qmrxn20_e2_A_D_D_C_A_A,e2,0,-6.851217261208807,reuse,reuse
qmrxn20_e2_A_D_D_D_C_B,e2,1,0.6751044992031534,reuse,reuse
qmrxn20_e2_A_D_E_C_C_A,e2,2,3.640249604566829,reuse,reuse
qmrxn20_e2_A_D_E_C_C_B,e2,0,-4.026311588412346,reuse,reuse
qmrxn20_e2_A_E_A_C_B_B,e2,2,1.5328522931551574,reuse,reuse
qmrxn20_e2_A_E_A_C_C_B,e2,1,-2.052740008126833,reuse,reuse
qmrxn20_e2_A_E_A_E_B_B,e2,3,7.797138172410717,reuse,reuse
qmrxn20_e2_A_E_A_E_C_B,e2,2,4.507176104038139,reuse,reuse
qmrxn20_e2_A_E_C_D_A_B,e2,3,9.049628040231864,reuse,reuse
qmrxn20_e2_A_E_D_E_B_B,e2,3,8.72049458842941,reuse,reuse
qmrxn20_e2_A_E_E_C_A_A,e2,1,-2.164857499835545,reuse,reuse
qmrxn20_e2_A_E_E_E_C_B,e2,3,7.588009676903527,reuse,reuse
qmrxn20_e2_B_A_A_A_A_B,e2,1,-0.2891308573915734,reuse,reuse
qmrxn20_e2_B_A_A_C_A_A,e2,1,-1.774475367048613,reuse,reuse
qmrxn20_e2_B_A_B_E_C_C,e2,3,17.38728688545245,reuse,reuse
qmrxn20_e2_B_D_A_E_A_A,e2,3,6.795636184964488,reuse,reuse
qmrxn20_e2_B_D_B_E_C_B,e2,1,-0.1715695972902455,reuse,reuse
qmrxn20_e2_B_D_D_A_B_B,e2,1,0.3365418493973502,reuse,reuse
qmrxn20_e2_B_D_D_E_B_B,e2,2,4.03394472426527,reuse,reuse
qmrxn20_e2_B_D_E_D_B_A,e2,1,-2.324089680469574,reuse,reuse
qmrxn20_e2_B_D_E_E_B_B,e2,3,6.978928535197738,reuse,reuse
qmrxn20_e2_B_E_A_A_C_A,e2,0,-6.786225356792826,reuse,reuse
qmrxn20_e2_B_E_A_D_C_B,e2,3,12.17633229462525,reuse,reuse
qmrxn20_e2_B_E_E_C_B_B,e2,1,0.4332437005037654,reuse,reuse
qmrxn20_e2_B_E_E_E_B_B,e2,2,2.924250537676977,reuse,reuse
qmrxn20_e2_B_E_E_E_C_A,e2,2,0.8361107742161608,reuse,reuse
qmrxn20_e2_C_C_B_B_B_A,e2,0,-8.431964388118667,reuse,reuse
qmrxn20_e2_C_C_C_D_B_C,e2,3,12.533123798929022,reuse,reuse
qmrxn20_e2_C_C_D_D_B_B,e2,0,-4.405269912612891,reuse,reuse
qmrxn20_e2_C_D_A_E_A_A,e2,2,6.195606702389004,reuse,reuse
qmrxn20_e2_C_D_A_E_B_B,e2,2,2.0113271714642567,reuse,reuse
qmrxn20_e2_C_D_D_D_B_A,e2,1,-0.0803043627847791,reuse,reuse
qmrxn20_e2_C_D_E_A_C_A,e2,0,-2.548852695468704,reuse,reuse
qmrxn20_e2_C_E_A_A_B_A,e2,3,6.721177276176903,reuse,reuse
qmrxn20_e2_C_E_A_B_C_B,e2,2,2.2843493742905725,reuse,reuse
qmrxn20_e2_C_E_A_E_B_C,e2,3,24.801533840507087,reuse,reuse
qmrxn20_e2_C_E_B_A_C_B,e2,1,-0.0592153154666175,reuse,reuse
qmrxn20_e2_C_E_C_A_A_B,e2,2,1.3769687169602771,reuse,reuse
qmrxn20_e2_D_C_E_B_B_C,e2,3,27.489854700353355,reuse,reuse
qmrxn20_e2_D_D_A_C_C_B,e2,0,-3.0179594980893096,reuse,reuse
qmrxn20_e2_D_E_A_B_A_A,e2,1,-1.7399031467054742,reuse,reuse
qmrxn20_e2_D_E_A_B_C_B,e2,0,-4.160193098163036,reuse,reuse
qmrxn20_e2_D_E_A_E_B_B,e2,3,11.067430889814696,reuse,reuse
qmrxn20_e2_D_E_B_D_B_B,e2,0,-2.8593351363866564,reuse,reuse
qmrxn20_e2_D_E_D_D_C_B,e2,2,5.269437723769223,reuse,reuse
qmrxn20_e2_E_A_A_D_A_B,e2,1,-0.7009415696086092,reuse,reuse
qmrxn20_e2_E_A_B_E_B_A,e2,1,-1.2147213583307968,reuse,reuse
qmrxn20_e2_E_B_A_B_B_A,e2,0,-5.044577997427757,reuse,reuse
qmrxn20_sn2_A_A_A_C_B_A,sn2,0,6.45059971910984,reuse,reuse
qmrxn20_sn2_A_A_A_E_A_C,sn2,3,40.28365579547559,reuse,reuse
qmrxn20_sn2_A_A_B_C_B_A,sn2,0,4.995762580912035,reuse,reuse
qmrxn20_sn2_A_A_B_D_A_C,sn2,3,39.882345425181896,reuse,reuse
qmrxn20_sn2_A_A_B_E_B_B,sn2,1,12.95760822141887,reuse,reuse
qmrxn20_sn2_A_A_C_A_A_D,sn2,3,45.90240637731061,reuse,reuse
qmrxn20_sn2_A_A_C_C_C_D,sn2,2,22.854158280620247,reuse,reuse
qmrxn20_sn2_A_A_C_E_C_B,sn2,0,8.961009671694478,reuse,reuse
qmrxn20_sn2_A_A_D_E_A_B,sn2,2,24.55789310336267,reuse,reuse
qmrxn20_sn2_A_A_D_E_A_D,sn2,3,39.80136585400553,reuse,reuse
qmrxn20_sn2_A_A_E_E_C_B,sn2,1,17.674502415881967,reuse,reuse
qmrxn20_sn2_A_B_A_B_A_A,sn2,0,2.3368732859221995,reuse,reuse
qmrxn20_sn2_A_B_D_D_A_C,sn2,2,30.767206222292387,reuse,reuse
qmrxn20_sn2_A_B_D_E_C_B,sn2,0,10.47425507630967,reuse,reuse
qmrxn20_sn2_A_B_E_A_A_D,sn2,3,36.44381394520358,reuse,reuse
qmrxn20_sn2_A_B_E_E_A_A,sn2,0,2.959946444958547,reuse,reuse
qmrxn20_sn2_A_C_A_B_A_B,sn2,1,15.937936135189146,reuse,reuse
qmrxn20_sn2_A_C_A_B_A_C,sn2,3,33.33724538539421,reuse,reuse
qmrxn20_sn2_A_C_E_D_A_C,sn2,3,40.06303833324513,reuse,reuse
qmrxn20_sn2_A_D_A_B_A_A,sn2,2,22.078945989226508,reuse,reuse
qmrxn20_sn2_A_D_A_C_A_D,sn2,3,48.91345803081203,reuse,reuse
qmrxn20_sn2_A_D_A_D_A_C,sn2,3,44.3574696341465,reuse,reuse
qmrxn20_sn2_A_D_C_A_B_A,sn2,1,12.779552487201382,reuse,reuse
qmrxn20_sn2_A_D_C_D_A_A,sn2,2,22.53862108911154,reuse,reuse
qmrxn20_sn2_A_D_C_D_C_A,sn2,0,8.395615092294362,reuse,reuse
qmrxn20_sn2_A_D_D_B_C_A,sn2,1,11.449015396787802,reuse,reuse
qmrxn20_sn2_A_E_A_A_A_B,sn2,2,31.52148911797136,reuse,reuse
qmrxn20_sn2_A_E_A_A_A_C,sn2,3,49.40893298365251,reuse,reuse
qmrxn20_sn2_A_E_A_B_B_B,sn2,2,19.76089892694944,reuse,reuse
qmrxn20_sn2_A_E_A_D_B_B,sn2,1,13.265342563524602,reuse,reuse
qmrxn20_sn2_A_E_A_E_B_B,sn2,2,20.250665724605035,reuse,reuse
qmrxn20_sn2_A_E_B_C_A_A,sn2,2,23.557704427991677,reuse,reuse
qmrxn20_sn2_A_E_B_E_A_B,sn2,3,35.227201221123714,reuse,reuse
qmrxn20_sn2_A_E_C_B_C_B,sn2,2,21.128137928761973,reuse,reuse
qmrxn20_sn2_A_E_C_C_A_B,sn2,3,32.82821224575925,reuse,reuse
qmrxn20_sn2_B_B_D_D_A_A,sn2,0,-4.661985841960231,reuse,reuse
qmrxn20_sn2_B_C_D_A_B_B,sn2,0,0.3917791627009915,reuse,reuse
qmrxn20_sn2_B_C_E_C_B_C,sn2,1,18.259044791802356,reuse,reuse
qmrxn20_sn2_B_D_B_A_A_B,sn2,1,16.276038787034082,reuse,reuse
qmrxn20_sn2_B_D_D_E_C_A,sn2,0,1.0731737963652657,reuse,reuse
qmrxn20_sn2_B_E_A_A_A_C,sn2,3,49.473510860825705,reuse,reuse
qmrxn20_sn2_B_E_A_A_B_A,sn2,1,11.333403639367836,reuse,reuse
qmrxn20_sn2_B_E_A_A_C_D,sn2,2,19.472750016011165,reuse,reuse
qmrxn20_sn2_B_E_A_C_A_A,sn2,2,20.205016104137048,reuse,reuse
qmrxn20_sn2_B_E_A_D_A_B,sn2,2,27.848167909953983,reuse,reuse
qmrxn20_sn2_B_E_A_E_A_C,sn2,3,51.88690057873551,reuse,reuse
qmrxn20_sn2_B_E_B_A_B_A,sn2,0,9.412483579508438,reuse,reuse
qmrxn20_sn2_B_E_B_E_A_A,sn2,1,15.159824691652531,reuse,reuse
qmrxn20_sn2_B_E_C_C_A_A,sn2,0,6.399712019629903,reuse,reuse
qmrxn20_sn2_C_D_D_E_B_B,sn2,2,20.23638855881316,reuse,reuse
qmrxn20_sn2_C_D_D_E_C_B,sn2,1,16.818541784183953,reuse,reuse
qmrxn20_sn2_C_D_E_A_A_C,sn2,3,42.72376300298161,reuse,reuse
qmrxn20_sn2_C_E_A_B_C_A,sn2,0,6.073105743479044,reuse,reuse
qmrxn20_sn2_C_E_A_C_C_C,sn2,2,25.49484516604782,reuse,reuse
qmrxn20_sn2_C_E_A_D_A_A,sn2,1,18.754105448235865,reuse,reuse
qmrxn20_sn2_C_E_A_E_A_A,sn2,2,21.97859064424145,reuse,reuse
qmrxn20_sn2_C_E_B_D_B_A,sn2,0,8.309067217382152,reuse,reuse
qmrxn20_sn2_C_E_B_E_A_A,sn2,1,15.68091294332726,reuse,reuse
qmrxn20_sn2_C_E_C_D_B_B,sn2,1,18.198123523264677,reuse,reuse
qmrxn20_sn2_C_E_D_C_C_C,sn2,2,27.58852102549849,reuse,reuse
qmrxn20_sn2_C_E_D_D_A_C,sn2,3,44.46737927648876,reuse,reuse
qmrxn20_sn2_C_E_E_E_B_A,sn2,0,8.257908550534193,reuse,reuse
qmrxn20_sn2_D_A_A_E_C_B,sn2,0,10.699059712096735,reuse,reuse
qmrxn20_sn2_D_C_C_C_C_B,sn2,0,-0.874390031922478,reuse,reuse
qmrxn20_sn2_D_C_D_B_A_C,sn2,3,36.121931110486805,reuse,reuse
qmrxn20_sn2_D_C_E_A_A_A,sn2,0,9.372039594208106,reuse,reuse
qmrxn20_sn2_D_E_C_D_A_A,sn2,3,35.890063724908245,reuse,reuse
qmrxn20_sn2_D_E_E_A_B_B,sn2,1,11.909261245460293,reuse,reuse
qmrxn20_sn2_E_A_A_B_C_D,sn2,0,11.0685519735723,reuse,reuse
qmrxn20_sn2_E_A_A_C_A_A,sn2,2,29.518216058861448,reuse,reuse
qmrxn20_sn2_E_A_A_D_B_B,sn2,0,7.000181767249448,reuse,reuse
qmrxn20_sn2_E_A_B_E_B_A,sn2,1,11.56979721871788,reuse,reuse
qmrxn20_sn2_E_A_C_D_C_A,sn2,1,15.248828914153291,reuse,reuse
qmrxn20_sn2_E_A_C_E_B_B,sn2,1,17.540604083833163,reuse,reuse
qmrxn20_sn2_E_A_D_B_B_D,sn2,1,16.16478789297426,reuse,reuse
qmrxn20_sn2_E_A_E_B_B_A,sn2,2,20.51374169840765,reuse,reuse
qmrxn20_sn2_E_B_A_E_C_B,sn2,1,14.32300257904936,reuse,reuse
qmrxn20_sn2_E_B_E_C_A_D,sn2,3,43.16520848246707,reuse,reuse
